姓,名,家庭手机,工作手机
金沙酒店,,0085328828872,
澳门丽思卡尔顿酒店（TheRitz-CarltonMacau）,,0085388866868,
银河酒店,,0085328880888,
永利皇宫酒店,,0085388898889,
澳门文华东方酒店,,0085388058888,
新濠影汇酒店,,0085388658888,
澳门巴黎人酒店（The Parisian Macao）,,0085328828833,
励庭海景酒店,,0085388840077,87996688
新葡京酒店,,0085328283838,
澳门四季酒店（four seasons hotel macao,cotai strip）,,0085328818888,
凯旋门酒店（ L'Arc Macau）,,0085328808888,
澳门十六浦索菲特酒店,,0085388610016,
澳门金沙城中心康莱德酒店,,0085328829000,
澳门JW万豪酒店,,0085388866888,
英皇娱乐酒店,,0085328889988,
澳门大仓酒店,,0085388838883,
丽景湾酒店,,0085328831234,
澳门星际酒店,,0085328383838,
澳门金沙城中心假日酒店,,0085328282228,
澳门置地广场酒店,,0085328781781,
葡京酒店,,0085328883888,
濠璟酒店,,0085328339955,
君悦酒店,,0085388681234,
澳门利澳酒店,,0085328718718,
新濠锋酒店,,0085328868888,
澳門皇冠假日酒店（Crowne Plaza Macau）,,0085328886888,
新丽华酒店,,0085328710111,
澳门瑞吉金沙城中心酒店,,0085328828898,
Hard Rock 酒店,,0085388683338,88686688
澳门鹭环海天度假酒店,,0085328871111,
澳门维景酒店,,0085328781233,
澳门华都酒店,,0085328886688,
镇兴宾馆,,0085328356868,
万事发酒店,,0085328937572,
励宫酒店,,0085388018801,
澳门皇都酒店（Hotel Royal）,,0085328552222,
康泰酒店,,0085328923923,
皇冠度假酒店,,0085388686888,
五步廊旅舍,,0085328923118,
竹湾酒店,,0085363037153,
澳门悦榕庄酒店,,0085388838833,
澳门美高梅酒店,,0085388028888,
澳门雅诗阁,,0085328220688,
澳门最佳西方新新酒店,,0085328939393,
莱斯酒店,,0085328782782,
亚洲精品酒店,,0085328223899,
澳门喜来登金沙城中心酒店,,0085328802000,
永利酒店,,0085328889966,
银河百老汇酒店,,0085388833338,
富豪酒店（HotelBeverlyPlaza）,,0085328782288,
骏景酒店（凼仔店）,,0085328839933,
皇家金堡酒店,,0085328726288,
金丽华酒店,,0085328567888,
澳门君怡酒店,,0085328837788,
威尼斯人度假村酒店,,0085328828877,
帝濠酒店,,0085328781888,
京都酒店,,0085328388166,
澳门金龙酒店,,0085328361999,
澳门富华粤海酒店,,0085328553838,
高华酒店,,0085328930755,
濠江酒店,,0085328937555,
总统酒店,,0085328553888,28571533
假期酒店,,0085328350161,
东亚酒店,,0085328922433,
澳门家逸酒店,,0085328711212,
东京宾馆,,0085328937722,
财神酒店,,0085328786333,
澳门假日酒店,,0085328783333,
澳门富城酒店,,0085328933199,
高士德別墅,,0085328526176,
金皇冠中国大酒店,,0085328851166,28850238
皇庭海景酒店,,0085328838333,
Best Western 澳门新新酒店,,0085328939393,
大仓饭店,,0085388838883,
渔人码头餐劵ZH,,18194098326,
望厦迎宾馆,,0085328515222,
兰桂坊酒店,,0085328800888,
港湾大酒店,,400865-2651,
牛房仓库,,0085328530026,
亚布力好汉泊山庄别墅,,075653455188,
澳门半岛市区林茂巷8号,,18023082871,
新南滨宾馆（SanNamPan）,,0085328482842,
东望洋酒店,,0085328513888,
澳门盛世酒店,,0085328821666,
澳莱英京酒店,,0085328937761,
澳莱大三元酒店,,0085328938818,
大利迎宾馆（VilaUniversal）,,0085328573247,
澳门维多利亚酒店,,0085328556688,
圣地牙哥古堡酒店,,0085328378111,
新濠天地酒店,,0085388686888,
天丽宾馆,,0085328522015,
新世纪酒店,,0085328831111,
北京王府大饭店,,0085328831111,63888041
澳门之家经济酒店,,0085366996091,
富都宾馆,,0085328923198,
