姓,名,家庭手机,工作手机
天舒旅馆,,087168694693,13658810534
悦惠酒店,,087168698772,15808708700
青林快捷宾馆,,087168784857,13312541138
和忠快捷酒店,,087168699933,
杰迎宾馆,,13888016208,
旭昱旅社,,15911709204,15911520052
9＋1宾馆,,18787180250,15887298115
华馨宾馆,,087168782669,
启家旅馆,,087168698346,13108833418
馨寓宾馆,,087168723129,
碧水湾温泉酒店,,087168696178,18779667342
思亿快捷酒店,,087168612698,13888571664
金归快捷酒店,,087168612617,
银来快捷酒店,,087168693386,15912191860
米思尔酒店,,087168715889,
云南交通技师学院接待中心,,087168781105,
顺江宾馆,,13888736682,
华楠宾馆,,087168781295,
艾柏宾馆,,087168679028,13577050331
慧鑫宾馆,,087168671118,18313750727
糖果宾馆,,15096692402,13769749914
海月湾精品酒店（一店）,,087168687123,13888517618
海月湾主题宾馆,,087168633123,13888517618
恒悦宾馆,,087168633143,
八街鑫福景宾馆,,087168715508,
温泉香竹墅院,,13759482338,13708402208
温泉德意楼酒店,,13608844801,
天界彩云酒店,,087168696660,
安宁尚水铂林温泉酒店,,087168728888,
景然温泉酒店,,087168631778,
安宁永恒酒店,,087166258666,
安宁U-house度假酒店,,087168665998,
金禧酒店,,087168615208,68658608
浪漫满屋情侣酒店,,15288447502,15398569356
金逸快捷酒店,,087168615209,15912157267
豪庭酒店,,087168682226,68686228
糖宝宾馆,,087168780228,18180985168
林雲花园公寓,,13669733370,
尚书雅苑公寓,,087168710187,15368030279
久业旅馆,,087168681933,
来仪招待所,,087168682711,
清馨公寓,,087168699939,
紫茉莉宾馆,,087168723888,13888258979
金康大酒店,,087168781796,
安宁星妤苑宾馆,,13033353182,15887275355
安宁温泉宾馆会议中心,,087166250666,
人味梓巢主题酒店,,087168686678,
瑞宾旅馆,,18987154096,
心院客栈,,087168785969,13888949069
海纳宾馆,,087168665188,
安泰酒店,,087163929999,13888760681
金色时代酒店,,087168682666,
辅瑞达酒店,,087168677978,
心院木屋别墅,,087168785969,13888949069
海悦酒店,,087168633155,15198867268
皇都宾馆,,087168788818,
雄轩宾馆,,087168684319,
吉湾大酒店,,087168687777,
双行道酒店旗舰店（金色国际店）,,087168699982,
鑫都酒店,,087168669788,18857604207
驰宏宾馆,,13618719079,
煜兴酒店,,087168681791,15969476471
楼上楼缘栈,,13529297897,13187874092
安宁温泉半岛凯莱度假酒店,,087166039777,66039586
那家客苑,,15887180873,18206824007
呼噜呼噜宾馆,,087168669518,
春春圆酒店,,13987170098,
安宁广晟沁园温泉度假酒店,,087168631888,
金色港湾酒店,,087168789776,
迎尚客宾馆,,087168683889,18687820601
金谷园酒店,,087168630618,
实兴精品酒店,,087168698758,
雅温旅馆,,13114229835,
宁雅客栈,,13888409074,
潮溪山庄,,18087749453,
宏雅旅馆,,087168673001,13888354510
金阁酒店,,087168686116,
顺平旅社,,087168611549,
天水云方宾馆,,18388407241,13698749024
宝兴酒店,,087168781379,
安宁泫雅宾馆,,15825259069,
妤雅宾馆,,087168784060,
馨浪住宿,,13678752018,
首钢水钢疗养院,,087166252303,
金舟湾宾馆,,13658825178,
豪庭酒店（一分店）,,087168608885,13678714558
坤豪酒店,,087168671858,
安宁温泉宾馆（一号楼）,,087166252086,
如佳快捷酒店,,087168660978,
伊兴园宾馆,,18787008551,
万马堂宾馆,,087168698088,13678722227
佳宾宾馆,,13658877626,
博兰温泉客房,,087168631565,
镇桥宾馆,,087168694338,13888920031
宾归宾馆,,087168782650,
怡都宾馆,,13888381679,
垫江宾馆,,15288249790,
安宁玫瑰湾主题宾馆,,13888115560,15987143493
皇阁酒店,,087168663166,
艾尚公寓,,087168677058,
益新山庄,,087168632568,
云南省干部疗养院,,087166254188,
安宁半岛酒店,,087168780088,
安宁东泰永利温泉酒店,,087168785699,68785788
亿祥宾馆,,087168611798,
正顺快捷宾馆,,087168672790,
双行道酒店（元山店）,,087168677707,
云涛温泉花园酒店,,087168633566,
久久宾馆,,087168691111,
舟际宾馆,,13398712667,
工商温泉酒店,,087168632999,
温馨公寓,,087168690325,
昆明温泉山谷国际度假酒店,,087168686000,
林怡客栈（原温泉森林小屋）,,13708721968,18687503545
蓝月谷山庄,,087168685588,
安宁温泉商贸中心酒店,,087168631288,
靖岸主题酒店,,087168788456,
宏亿酒店,,087168682298,68662518
凯帝宾馆,,087168687872,13888226215
双行道酒店（东湖店）,,087168677577,
楚天明珠大酒店,,087168666519,68666529
伊萨卡国际假日酒店,,087168656688,
银鹰温泉花园酒店,,087168691860,
信仁旅馆,,087168684108,
仪丰商务酒店,,087168679110,
天际商务酒店,,087168789896,
利洁旅社,,13629450698,
东胜酒店,,087168666518,
宜家快捷酒店,,087168677500,
湖滨大酒店,,087168682888,
雄亚旅馆,,087168684319,
丽都商务酒店,,087168635188,
瑞吉旅馆,,13759591873,
裕和酒店,,18987557186,
如归旅社,,18987144689,
林松旅馆,,087168692092,15911645918
松银旅馆,,13708414193,
豪都宾馆,,087168723220,
凯城宾馆,,18725079309,
宾归旅社,,087168611575,
顺谊旅馆,,087168720747,13078707366
贵和快捷商务酒店,,087168688321,
盛景蓝天公寓,,13888303788,
永丰人家,,15911616859,
青宁旅馆,,087168784857,
福瑞旅馆,,18787170923,
御熙山庄,,087168630666,
琴辉宾馆,,13708899627,
嘉源旅馆,,087168699690,13888181864
温泉漕溪假日酒店,,087168631888,
水利大酒店,,087168690766,
振鑫酒店,,087168697788,
盛裕精品酒店,,087168872228,
万安招待所,,087168681396,
中昱博御酒店,,13888072713,
宏鑫园酒店,,087168711358,
珊仙酒店,,13808799707,
昭丽快捷酒店,,087168788636,
今生缘宾馆,,13888716675,
广缘旅社,,087168696085,18314338927
嘉馨招待所,,087168723467,13888521523
客丰缘宾馆,,15925176858,
舒途旅馆,,13769100229,
君再来旅馆,,15987111571,
熙炫旅馆,,13888932146,
昆明安宁御林泉温泉度假酒店,,087168687088,
金沙雅居客栈,,13987197808,
盐川旅社,,087168681306,
财源招待所,,13888498601,
亚丁宾馆,,13769195831,
东来客旅馆,,15887210633,
利红招待所,,087168784812,
文静旅馆,,087168678007,15887836625
桂新景钰旅馆,,13769106787,13888536343
明秀苑山庄,,087168709222,
安宁宿缘旅馆,,13529098940,13658717980
清静公寓,,08718688475,
红祥旅馆,,13577074920,
腾龙旅馆,,087168723147,
逸鑫旅馆,,087168684805,15368260948
书院旅馆,,13888083348,13987665428
骏龙和睦旅馆,,13908865672,
安宁印象酒店,,087168781268,18788547823
温馨小院客栈,,13658717154,
昆明安宁温泉心景花园酒店,,087168633006,68630724
安宁景明大酒店,,087168723666,
富余招待所,,087168697572,13987155738
温泉心景公寓,,13668726875,
喏喏小院客栈,,15887275335,13888919391
杰顺宾馆,,087168715858,
双行道花园酒店,,087168720688,13888707402
金方森林温泉半山酒店,,087168632788,68631588
温和天下大酒店,,087168679955,
顺馨宾馆,,13888841361,
尚客公寓,,18213004503,
天豪宾馆,,087168701808,13595565102
熊熊宾馆,,18725195705,
双行道酒店（柳树店）,,087168699887,
金川大酒店,,087168678301,
瑞美温泉度假酒店,,087168666668,
贵源宾馆,,087168687194,
婷宝旅馆,,13769117838,
鑫雅旅馆,,15187796326,
富顺旅社,,087168697690,
涵红宾馆,,087168716558,
西山别墅,,13099914313,
弘凯宾馆,,13638753007,
