姓,名,家庭手机,工作手机
水木年华洗浴音乐会所,,03187860999,7860888
园区招待所,,03188067778,
天龙宾馆,,03187060361,400833-6699
亚龙湾洗浴宾馆,,03187710777,
网乡宾馆,,03187756775,
安平县如家宾馆,,03188091199,8066499
誉祥宾馆,,03185288557,
速8酒店（衡水安平县新盈街店）,,03188091166,
欧威时尚商务酒店（鹤煌大道店）,,03187696999,
尚家星期天快捷酒店,,03187816789,
尚景商务酒店,,03187995999,
龙祥宾馆,,03187866699,7868899
佳佳连锁酒店（德澳大厦店）,,03187887575,13313080209
港湾酒店,,03185288808,13931831032
汉江精品酒店,,03187791333,
北新商务宾馆,,03188555566,
尚客优快捷酒店（衡水安平中心路店）,,03187999888,
格林豪泰酒店（衡水安平店）,,03185288288,13102770186
菩提园酒店,,03187960000,
保利商务酒店,,03187888826,13663285287
客随意宾馆,,03187023777,13957969413
安平县金地格林快捷酒店,,03187692000,
和平招待所,,03187023060,15028760268
如家快捷酒店（衡水安平西马路店）,,03187878111,
汉庭（衡水安平县店）,,03187899999,
天悦华都商务酒店,,03187989999,
悦程商务酒店中餐厅,,03187567666,18333811222
一金宾馆,,18932804460,
喜和顺,,03187799111,7799333
海诚商务宾馆,,03187584999,
梦唐主题商务酒店,,03188067000,
得意宾馆,,03187998885,
郡王府商务酒店,,03185286669,15369174000
7天连锁酒店（衡水安平中心路店）,,03187696777,
乐客快捷酒店,,03187875555,7875556
悦程商务酒店,,03187866666,
驿家365连锁酒店（红旗街店）,,03187888365,8888365
便宜居连锁酒店（衡水安平店）,,03187757788,
佳佳快捷酒店（安平中心路店）,,03188091999,7751666
罗曼时尚主题宾馆（安平店）,,03188067896,18831881986
天贺宾馆,,03187866555,
汉王酒店,,03187878888,
温馨旅馆（网都街）,,03187802436,
天悦华都商务酒店,,15533181966,
龙源9号酒店,,03188599999,
和谐宾馆,,03188557771,
兴业宾馆,,03185285659,
朝运宾馆,,03187530738,
京安招待所,,03187887588,
迎宾馆,,03187879999,
宏祥宾馆,,03187757788,
陆拾玖度宾馆,,03185184888,
保衡宾馆,,03187636363,
时尚宾馆,,03187757788,
河北省安平县人民政府招待所,,03187532066,
古月斋分店,,03187020908,
鼎盛宾馆,,03187508899,
星港假日酒店（安平）,,03187977777,
69宾馆,,03185184888,
农贸旅馆,,15233288695,
龍源9號温泉酒店,,03188599999,
合家宾馆,,03188091166,
