姓,名,家庭手机,工作手机
速8酒店（安阳火车站店）,,03725060222,5061333
安平招待所,,18103723749,
乐缘22号出租屋,,18203728296,15037219626
随缘6号出租屋,,15037219626,18203728296
VA精品客栈,,03725397999,
心连心招待所,,18567868135,
新时光快捷宾馆,,03725377788,
西城宾馆（彰德路店）,,03725922247,
后营四排五号宾馆,,13525823553,
蓝鹊君程连锁酒店（沃尔玛店）,,03722986555,
豫港宾馆,,03725577228,
华谊酒店,,03726811555,
祥瑞旅馆,,13333725326,15716320373
东风旅社,,15294673056,13525829075
建业客栈,,15738770987,
安钢招待所,,15226199454,
名典鸿雁宾馆,,03725062299,
雅贤旅馆,,03726226282,13939984900
乐家主题睡吧,,18439225983,
申雅旅馆,,03725929230,18937228778
红门旅社,,13503974701,18790772799
弘扬快捷宾馆,,03728116060,
逸家快捷宾馆,,03725599111,
家庭宾馆,,03725025996,13939981868
中州快捷宾馆,,03728782888,
麒麟宾馆,,03726815811,
水晶亿家快捷酒店,,03725890999,
速8酒店（安阳安漳大道店）,,03722713333,15236512853
东亚之星商务快捷酒店,,03726593888,
澜琦快捷宾馆,,03727777710,
58旅馆（平原路店）,,03725380366,17737269400
鹏程宾馆,,03728169778,
金源宾馆,,18738296329,17737260490
小遇客栈,,03725378111,
左岸心语主题酒店（万达广场店）,,03722552550,18567802226
馨源商务酒店,,03723158000,
馨家宾馆,,03723762866,
豫晋园宾馆,,15093971578,15249627152
文化宫招待所,,03727722086,
帝都宾馆,,13346631688,
车站快捷宾馆,,13346649925,13938691246
红岩宾馆,,13849262855,
开元宾馆,,03726593151,15039956665
福临快捷宾馆,,03726028688,
惜缘快捷宾馆,,03722525586,
天伦宾馆（东环路店）,,03726879888,
北门东快捷旅馆,,13253072849,
林州运通宾馆,,03726878811,
青苹果宾馆,,03726288666,13598102004
红星快捷宾馆,,03723302968,15994108716
和谐宾馆,,03726916888,6916999
长城快捷酒店,,03728190000,
维克商务酒店,,03723652222,
乐巢青春旅社,,15036073210,18137299039
春光家庭宾馆,,03722963833,13513724022
大唐快捷宾馆,,03722975333,
清雅公寓,,03723861314,
盐务宾馆,,03727986688,
天宝宾馆,,13803722811,
安阳旅美达连锁客房,,13460962111,
殷都宾馆（北仓街店）,,03725981111,
海亚快捷宾馆,,03725522229,
洹北宾馆,,03722258666,
荣康宾馆,,03722220368,15518861666
新兴商务宾馆（老汽车站店）,,03727777117,
阳光宾馆,,03726011555,15136533334
和平宾馆,,03725950315,
凯悦宾馆（3号店）,,03725033235,15262496362
洹滨快捷宾馆,,03725999991,
四方宾馆,,03728728666,
公路快捷宾馆,,03725055959,
安逸九九快捷宾馆（永安街店）,,03722159990,
