姓,名,家庭手机,工作手机
鑫缘宾馆,,04395255522,
方旭宾馆,,15500225456,
蓝图宾馆,,04396165599,
ET主题宾馆,,04393551666,8752666
快捷客房,,04393553232,
松江河家庭旅馆,,15043985285,
喜洋洋时尚旅馆,,04395228183,
桔子微时尚客房,,04393828889,
楼外楼时尚宾馆,,04396667779,
新世佳客房,,04393285777,
广来时尚宾馆,,04396933325,
嘉福时尚宾馆,,04397851919,13894071017
鸿谊宾馆,,04395089666,3236377
长白山参花旅馆,,13843934679,
四方宾馆,,04397269988,13214396888
泊客旅馆,,13943911761,
新华宾馆,,04396255668,400833-6699
长白山吉晟宾馆,,04396333288,
临江市宾馆,,04395239999,
枫林时尚宾馆,,04396338897,
桔子宾馆,,04396224111,
枫林宾馆,,04396867555,
金朗时尚宾馆,,04395070577,
鸭绿江大酒店,,04395236688,
如家快捷酒店（白山火车客车总站店）,,04393278888,
万山莲起旅店,,04395079617,13894021644
长白山8090时尚宾馆,,04396318090,
鹿鸣大酒店,,04397919999,
长白山九洲宾馆,,04396557333,
汇金宾馆,,04395218888,8955000
长白山通达宾馆,,04396688888,
浩然宾馆,,04396557755,
长白山颐居宾馆,,04396178989,13943954717
富丽华酒店,,04393228777,3220555
合兴酒店,,04396922888,
临江聚源宾馆,,04397778887,
恒悦商务宾馆,,15584937889,13234396979
东升海澜旅店,,04395079705,15944940359
格林快捷宾馆,,04396866666,15843911789
龙源宾馆,,04393615888,13843965888
时光驿青年旅舍,,18525473833,
长白山星月宾馆,,13644498032,
广龙商务宾馆,,04395256885,13596730697
格林豪泰快捷酒店（临江鸭绿江店）,,04395250998,18643951777
麗江宾馆,,04393810199,15584944227
嘉益客房,,04393310707,
白山市浑江区七天假日酒店,,04393555757,3555858
白山涵月楼酒店,,04395016666,
百旺商务宾馆,,04395155666,
长白山尚国际青年旅舍,,18743979996,
悦来商务宾馆,,04397912999,15500200246
鹿鸣时尚宾馆,,15944953686,
顺达宾馆,,04396379999,
江枫国际青年旅舍,,04395218837,13500931077
沃尔斯宾馆,,04395012999,
怡路商务宾馆,,04395102666,5102888
抚松雅居宾馆,,04396364999,13804498867
蓝天商务宾馆,,04393253666,
盛典快捷宾馆,,04395715111,13704497776
乐家商务宾馆,,04395832666,
万合时尚旅馆,,18743988221,
长白山丁香1公寓,,15943934465,18643962205
长白山松花江宾馆,,04396327555,
新贵族宾馆,,04396615267,13894028955
天成时尚旅馆,,15943959175,
如家快捷酒店（白山民中街店）,,04393376666,
鑫琪宾馆,,04396173977,13843939307
凯悦旅馆,,13843956673,
福地假日宾馆,,13843936379,13943953192
