姓,名,家庭手机,工作手机
格林豪泰快捷酒店（库尔勒巴州客运总站北山路店）,,09968665333,13565076866
海誉主题酒店,,09968692111,
UP 精品酒店,,09968695555,8663333
大金原酒店,,09968778388,15999430425
轮台县家福顺宾馆,,09964690456,13779673188
鑫源宾馆,,18999021529,
金天悦快捷宾馆,,09962268022,
东方黎明宾馆,,09962222567,
库尔勒高桂滋公馆,,09966750560,
宜洹快捷宾馆,,13667568226,
馨美宾馆,,09962695222,
银河快捷宾馆,,09968772388,13119963344
都市118连锁酒店（火车站店）,,09962989888,2118118
千禧商务宾馆,,09968628666,
兰亭酒店,,09968665599,
长寿商务酒店,,09964694999,
金三角宾馆,,09962024188,
祥和时尚酒店,,09964951888,4950000
金丽华大酒店,,09965625666,
假日宾馆,,09966015666,
星期六宾馆,,09968691666,
九华宾馆,,09962077866,
开元酒店,,09962091068,2091088
沁园大酒店,,09967611119,
新疆康城建国国际酒店,,09962275222,2275232
7天连锁酒店（库尔勒青年路小康城步行街店）,,09968663777,
如家派柏·云酒店（库尔勒天山东路龙源万方大厦）,,09968695888,8695999
和静县爱派酒店,,09968701234,8701111
7天连锁酒店（库尔勒博斯腾湖店）,,09968612777,
皇朝宾馆,,09965624631,
库尔勒贵中缘宾馆,,09962064888,2064666
州际酒店,,09967621888,13565006286
天天来宾馆,,09965610681,13279780866
五月家庭公寓,,15899019556,
博斯腾宾馆,,09962022007,
锦尚假日酒店,,09965883333,15739870022
博雅丽景精品酒店,,09968665555,
聚茂源商务宾馆,,09968773888,18599476666
速8酒店（库尔勒汇嘉时代店）,,09968690888,8773088
明悦皇冠精品酒店,,09968610888,8610999
金海商务宾馆,,09966023456,
长岭之星经济酒店,,09964672888,4672999
瑞鑫商务酒店,,09962295666,2691222
福泽小宾馆,,09962016688,
乐瑞宾馆,,09962075777,2077555
满疆红商务宾馆,,09968772777,8773333
中联大酒店,,09968811777,8811666
苏格拉底咖啡主题酒店,,09968700888,13565769115
怡莱酒店（库尔勒客运中心店）（原香江大酒店）,,09965891666,
鸿峰主题宾馆,,09965390788,15099247288
富華酒店,,09968731888,8731666
温州商务宾馆,,09967611999,7611555
西游酒店,,09968626888,8626999
泽丰商务宾馆,,13095169768,
希岸轻雅酒店（库尔勒香梨大道美食街店）,,09962625888,
锦荣宾馆,,09968693777,8693778
顺安宾馆,,09968690666,8692066
美佳快捷宾馆,,09965625000,
澜悦主题酒店,,09968711999,8715666
万顺宾馆,,09968751555,
达西快捷宾馆,,09964012666,
华丰快捷宾馆,,09965611888,
遇见主题酒店,,18742869977,18299849977
丹尼尔精品主题宾馆,,09965958666,
新都商务宾馆,,09968870188,
汇鑫宾馆,,09968690688,
新光通商务宾馆,,09968615666,8615999
尚客宾馆,,09962166901,17767661567
金润假日酒店,,09962092999,2965666
开都河大酒店,,09966628111,6628222
花园主题酒店,,09966022333,
克里斯汀主题酒店,,09962937666,
如家快捷酒店（库尔勒萨依巴格路孔雀河店）,,09962230111,
金洋大酒店,,09965984082,15292641112
梧桐酒店,,09962916669,13909967452
望月宾馆,,09966783868,
华都宾馆,,09966016088,
驿缘宾馆,,18999617787,18196227396
徽州人家商务宾馆,,09967010866,
白云宾馆,,09962072528,
海丰商务宾馆,,09966028888,
金月亮宾馆,,13199960908,18699158368
胡杨商务宾馆,,09967106999,
赛雅欧式宾馆,,09968731777,18299817775
君悦来宾馆,,09965626609,
长寿快捷宾馆,,09964680999,4680400
绿都快捷宾馆,,09962688999,
百合宾馆,,09965022099,
鑫亚快捷宾馆（轮台县店）,,09964933666,
聚贤宾馆,,09968731988,
博源快捷宾馆,,09965025866,
玉泉湾商务宾馆,,09967930999,
金客来宾馆,,09965039188,
福春园宾馆,,09966018988,
苏尔顿商务宾馆,,09968721888,8721666
丝路驿站宾馆,,09962152000,
鑫媛宾馆,,09968775666,
昆仑商务宾馆,,09967106688,
金易商务酒店,,09968796001,
白鹭河宾馆,,09966778666,6766999
龙都商务快捷宾馆,,09967105919,7010111
兴圣宾馆,,09965382777,
天鸿精选商务酒店,,09966822888,
瑞豪商务酒店（原库尔勒大陆桥酒店）,,09968640666,8640668
鸿瑞大酒店,,09962203188,
福润快捷宾馆,,09962058333,
上华城商务宾馆,,09962039111,2039222
库尔勒梨城花园酒店,,09962066666,
