姓,名,家庭手机,工作手机
摩卡精品公寓酒店,,07715056789,
夜明珠酒店,,07718231666,8231777
度假商务宾馆,,07718247959,
独一处酒店（宾阳店）,,07718242588,
金潮时尚酒店,,07718286555,
雅斯特酒店（南宁宾阳店）,,07718235000,8238222
城市便捷酒店（南宁宾阳广场店）,,07712706666,
锦源豪庭商务酒店,,07718286358,
龙庭便捷酒店（二店）,,07715925333,
城市便捷酒店（城东新区店）,,07718231188,
汉丰商务大酒店,,07718279996,
鸿泉假日酒店,,07718216333,
尚城宾馆,,07718286588,
天天商务宾馆,,07718214233,
艾尚主题酒店（财政路店）,,07718288880,8288881
瑞泰商务酒店,,07718286818,
运通宾馆,,07718217866,
金湾角商务宾馆,,07718286866,
新凤凰宾馆,,07718288878,
飞鹰堡便捷酒店,,07718286519,
悦来快捷酒店,,07718286379,8243108
鹏华宾馆,,07718234866,
飞鹰堡商务酒店,,07718263699,
骏丰宾馆,,07718222285,
e家商务宾馆,,07715921101,
圣湖宾馆,,17736629730,
浙商商务酒店,,07718232888,
格子微酒店（南宁宾阳小花园店）,,07718232222,
凯悦主题宾馆,,07718243144,
夜明珠商务宾馆,,07715925566,
鸿泉酒店,,07718279999,
龙庭便捷酒店（黎塘店）,,07715950398,
摩客精品酒店（南宁店）,,07718239999,
浅水湾商务宾馆,,07718279611,
凯宾假日酒店,,07718246888,
辣椒假日宾馆,,13878721919,
花园大酒店,,07715925000,13737178308
新世纪旅社,,07718213945,
龙金大酒店,,07718370898,
永凯大酒店,,07715955928,5955999
黎都大酒店,,07715950266,5924289
艾美家商务宾馆,,07718239088,
铜锣湾宾馆,,13788215311,
南海旅社,,07718239836,
英德大酒店,,07718214189,
容丽宾馆,,07718238717,
金泉宾馆,,07718243188,
德运旅馆,,07718219218,
小花园旅社,,07718239565,
祥龙宾馆,,07718238221,
名港旅社,,07718234138,
桔子酒店,,07718288899,
永隆旅社,,07718235302,
长云旅馆,,13768622416,
中正商务,,13978779117,
正运旅社,,07718226031,
金都旅社,,07718215676,
永盛宾馆,,07718283233,
嘉得利宾馆,,07718238682,
华厦商务宾馆,,07718239979,
東港旅馆,,07718236923,
红光旅社,,13768548516,
东城宾馆,,07718238516,
新桂旅社,,07718283886,
皇都大酒店,,07715925588,
良源假日大酒店,,07718236999,
维鸿旅馆,,07718238452,
假日阳光宾馆,,07718264155,
荣华宾馆,,07718236902,
金铜鼓宾馆,,07718267586,8267566
铁旅宾馆,,07718208668,
百分百时尚宾馆,,07718288800,
凤凰湾宾馆,,07718234366,
易丰商务宾馆,,07718218833,
龙岩山庄,,13878721266,
广仁旅社,,15177808972,
陆川灵通饭店,,07718150351,
華麗旅社,,07718225011,
长顺旅社,,13257749663,
飞翔商务旅馆,,07718208888,
鑫祥宾馆,,07718223766,
嘉源宾馆,,07718286698,8286891
云轩品酒店,,07716286686,
美凯隆商务宾馆,,07715059262,
灵铁宾馆,,07718212055,
海丰旅馆,,07718234733,
云龙宾馆,,07718239078,15289535347
e家便捷宾馆,,07718234138,
鼎盛旅馆,,07718286778,
新韵宾馆,,07715059855,
红水河水泥股份有限公司黎塘招待所,,13978856569,
宾城宾馆,,07718240871,
莲莲饭店,,15878113392,
