姓,名,家庭手机,工作手机
新中原酒店,,07753183838,
夏威夷假日宾馆,,07758758888,8758999
麦肯基宾馆,,07758335050,
阳光精品酒店,,07753186666,
银豪宾馆,,07758228309,
金凤凰酒店,,07753215888,3215999
爱琴海酒店,,07752955999,2956999
新时代便捷酒店,,07758218989,
翔悦精品酒店,,07758502888,8529999
皇庭大酒店,,07755776188,5776199
财富大酒店,,07752952888,2952999
城市便捷酒店（玉林博白店）,,07758318666,
华悦宾馆,,07758332678,
富垠酒店,,07758650333,8650222
万豪商务宾馆,,07758653313,
福满园商务宾馆,,07758686888,
海锋商务宾馆,,07758311333,
皇嘉商务酒店,,07752462555,2462666
海上王国际大酒店,,07758639999,
江南宾馆,,07758683388,
艺华旅馆,,07753211333,
宏兴商务旅馆,,07758329968,
宝中宝国际酒店,,07758617888,8215888
天天酒店,,07758656888,8636999
德鑫大酒店,,07758312888,8312899
7天连锁酒店（玉林博白锦绣广场店）,,07753180777,
凯林宾馆,,07753181818,
滨海宾馆,,07753180333,3189858
达鑫大酒店,,07758338888,
明锐旅馆,,07758235338,
湛江永旺商务宾馆,,07758653888,
金龙宾馆,,07758643068,
香雪海旅馆,,07753183118,
鸿泰旅馆,,07758327983,3188228
白云招待所,,07753181688,
华泰宾馆,,07758666888,
三强宾馆,,07758601888,
明都宾馆,,07758220888,
嘉鑫旅馆,,07758237988,
金雀大酒店,,07758327050,
云星旅馆,,07753181288,
金威商务宾馆,,15277912990,
现代商务酒店,,07755776888,
工会宾馆,,18778591103,
君悦旅馆,,07758328708,
亮俐宾馆,,07758531888,
维多利亚酒店,,07753181666,3181555
湛江江滨旅馆,,15278581370,
东方旅馆,,07758683826,
温馨客栈,,07758335810,
国裕大酒店,,07758305555,
新华世纪大酒店,,07758799999,
瑞祥大酒店,,07752951666,
湛江富贵便捷连锁酒店,,07758655988,
湛江龙海宾馆,,07758686898,
瑛明旅馆,,13457533333,
光大旅馆,,07753188118,
金源宾馆,,07758643713,
锦东商务酒店,,07752811234,
好友缘商务宾馆,,07758528899,8628899
嘉兴旅馆,,07758322771,8325898
飞翔旅馆,,07753183288,
河鑫大酒店,,07758558999,8556999
群源旅社,,07758328530,
大草源旅馆,,07758335788,
宇泰旅馆,,07753181588,
皇冠商务酒店,,07758522333,
银星宾馆（振兴西路店）,,07758339992,
东平商务宾馆,,07758512868,
鑫园宾馆,,07753188999,
喜来登假日酒店,,07758233118,5780666
明丰宾馆,,07753183999,
巴哈旅馆,,07753183988,
粤海宾馆,,400833-6699,
凯盈商务宾馆,,07758641388,
南洲旅馆,,07758224358,
南城旅社,,07758323523,
磊兴旅社,,07758224498,
明园旅馆,,07753186999,
明都宾馆,,07753188688,
华桂旅社,,07758324956,
龙潭大酒店,,07758521108,
金泰商务酒店,,07758306808,
南风旅馆,,18507757032,
凤凰宾馆,,07752951119,
万兴酒店,,07753181218,
丽晶商务大酒店,,07758631888,
山河国际大酒店,,07753218088,
新世纪国际大酒店,,07758782888,
亿和商务宾馆,,07758321111,
海德大酒店,,07758235088,
