姓,名,家庭手机,工作手机
TOP LUXURY奢华韩式婚房,,13734729655,
敬诚旅业,,15947327889,
尚居快捷酒店,,04728808866,18947279558
清泉浴池客房部,,15849265323,
金易通宾馆,,04727157799,
一心旅馆,,04722143803,
富达旅店,,13722130954,
长城快捷宾馆,,04726866770,
瑞成宾馆,,15947621967,
鸿福旅业,,15847229913,15947027709
鑫宇源宾馆,,04725173068,15174997163
中福源宾馆,,18047280906,
金鹿发招待所,,13654849333,15848806088
中天同鑫旅馆,,04724192878,
丽水洗浴客房部,,18647241050,
世豪宾馆,,04727107598,
欣欣泰招待所,,18686172783,
佳禾会馆（客房部）,,15540137772,
炫腾招待所,,04724126588,
德祥青年公寓,,15647263634,
宝龙旅店,,04725213560,15848299852
翔越宾馆,,04727166123,
邦成宾馆,,04722166000,2166098
付发招待所,,15598333625,
林山商务宾馆,,04726885668,
馨如旅业,,13848287090,
平安商务宾馆,,04728922999,
清莲大酒店,,04728515553,
裕隆客栈,,13514720585,
天和快捷酒店（巴彦店）,,04724863111,
清风源招待所,,13848921751,
小燕公寓,,13848242985,
家和快捷酒店,,13171462968,13804722185
威轮快捷酒店,,04722513788,
芮芮宾馆,,13848621022,
骏腾家庭式公寓,,13171260530,
悦盛快捷宾馆,,04727142660,
紫苑宾馆,,04722262706,13134729702
新家快捷酒店,,04726180881,
德临宾馆,,04722310868,
尚客家太空舱主题酒店,,15124856111,15561088828
乌兰图雅接待部落住宿,,15124710366,
鑫梦招待所,,15947497020,
永润宾馆,,04722110019,
生活无限快捷酒店,,04726866361,
吉星快捷酒店（原天和快捷酒店）,,04722830000,
正元宾馆,,13171272950,
天天乐宾馆,,04723636556,
馨盛宾馆,,15540890899,
宜和酒店,,04722141999,18947267588
永卓家庭旅馆（六店）,,13384729499,
金领网盟网络公寓,,14794929046,
happy house主题日租房（浪漫店）,,15904723337,18647231985
258主题公寓,,13848734366,
坤源酒店,,04722806888,
第五空间party日租房,,18648494008,18648603678
富宏宾馆,,04722261000,
永卓家庭宾馆,,13384729499,
3克拉大party整体日租房,,15024744736,
田馨园假日酒店,,04724357598,13847278945
凯晟快捷酒店,,04724155566,
加州公寓,,13015156501,
超凡网络宾馆,,04726167000,
暴风城网络旅店,,04722600564,13347077334
崔斯特电竞网络公寓,,13327177412,18947276969
总部府邸大party整体日租房,,15147242779,
聚派大Party网络主题酒店式公寓（万达店）,,13474922036,
聚派大Party公寓（海贼王店）,,13739920325,
聚派大Party公寓（66号公路店）,,13664733892,13739920325
包头泓德酒店,,04725156688,
开心点点party屋,,15947527303,15947123743
聚派大Party庄园,,15804722626,13739920325
美度公寓,,15335529653,15149333967
顺心旅馆,,04725174548,
佳乐旅店,,15354956771,
同鑫招待所,,15848828964,
富源宾馆,,04723312699,
宏盛旅店,,18647232283,
宝泉旅馆,,15848849913,
福禄源旅店,,15947627301,
老郭招待所洗浴,,15848269052,15848244110
黑友网络公寓,,18547263004,
天地和招待所,,13500622297,
家园公寓,,15247202188,
天顺旅馆,,13847252471,
拾万人家招待所,,04723130080,15598310085
齐美宾馆,,13488525087,
佳营招待所,,04725172355,
汇宾招待所,,13848539821,
家旺招待所,,13848254191,
心悦公寓,,15547202954,
和平公寓,,15849280706,
鑫瑞祥旅店,,13704737368,
四海旅馆,,18747248303,
超悦旅店,,04726892109,
吉鑫旅店,,13474977673,
弘阳楼宾馆,,04722626020,
舒馨旅馆,,13947203168,
吉瑞网络旅店,,04722555780,
网都宝泰主题酒店,,04723629966,
包头蓝玫庭院酒店（赛罕塔拉店）（原布波酒店）,,04725131788,5130788
金广主题酒店,,04726198111,6198222
微森博格网络公寓,,14747203000,18648625688
建国宾馆,,04724164148,
佳和宾馆（大西街店）,,15149335288,
凯鑫宾馆,,15335525266,
乐佳旅店,,15661349709,
富祥旅馆,,13722129392,
