姓,名,家庭手机,工作手机
旺德福宾馆,,18274229226,
鸿福贵宾楼,,073122244222,
2599时尚宾馆,,073125507666,
万家红商务宾馆,,073125991222,25678111
丽阳宾馆（原紫阳宾馆）,,073122244218,15886309283
托邦时尚酒店,,073125707222,
途悦酒店（茶陵店）,,073125633456,
红满天宾馆,,073125243288,
云阳华天大酒店,,073122248888,
满春园大酒店,,073125672222,
喜来登酒店,,073125833808,
元亨商务宾馆,,073125707333,
中天大酒店,,073125215888,
锦江宾馆,,073125263318,
茶仙宾馆,,073122244011,
逸之悦宾馆,,073125665222,13974160088
3721概念旅店,,073125263721,
红太阳宾馆,,073125246222,
成星商务宾馆,,073125894444,
有新大酒店,,073125232021,
喜洋洋商务宾馆,,073122193188,
炎帝大酒店,,073125268333,
朗能商务宾馆,,073125268788,
紫仙宾馆,,073125246521,
阿里吧吧宾馆,,07315268288,
金叶宾馆,,073125268888,
钻石商务宾馆,,073125258989,
湘天宾馆,,073125639555,
世纪红商务宾馆,,073125698555,
利发宾馆,,073122193966,
安信宾馆,,073122192899,
米兰风尚精品酒店,,073122379777,
海天商务宾馆,,18374085293,
湘旺宾馆,,073125246568,
名扬商务宾馆,,18273305931,
金源宾馆,,073125241868,
平海宾馆,,073125245768,
精英港商务宾馆,,073125893333,17773362118
蓝天宾馆,,073125839666,
和天下酒店,,073125799222,
富豪宾馆,,073125216112,
金典宾馆,,073125641889,
黄金岛概念宾馆,,073125505555,
佳旺商务宾馆,,15116091328,
金世纪宾馆,,073125847111,
裕龙商务宾馆,,073125715888,
三顺商务宾馆,,073122193988,
前锦宾馆,,073125215487,
欧典宾馆,,073125245777,
叁捌区商务宾馆,,073122192158,
南国宾馆,,073125212666,
步步高宾馆,,073125219409,
枫源宾馆,,073125248666,
一家人宾馆（炎帝中路店）,,073125226018,
鑫旺宾馆,,073125692999,
红树林宾馆,,073125268999,
金海宾馆,,073125269298,
皇冠假日酒店,,073125755777,
嘉嘉商务宾馆,,073125645888,
百合商务宾馆,,073125706999,25706888
777快捷宾馆,,073125226777,
云犀商务宾馆,,073125799888,
觅你时尚酒店,,073122192333,
万豪名流会所,,073125698333,
速发酒店（云阳街店）,,073125799666,
茉莉花宾馆,,073125237888,22193111
嘉豪商务宾馆,,073125238886,
都市商务宾馆,,073125718555,
夜明珠商务宾馆,,073125711333,
龙发宾馆,,073122244066,
食来运转大酒店,,073125952222,
金成假日,,073125835111,
乐添假日酒店,,073125215518,
君一时尚宾馆,,073125269777,
迪嚎商务宾馆,,073122193168,
坤龙宾馆,,073125262999,
景丰宾馆,,073125245588,
犀牛角商务宾馆,,073125697999,25697666
城西宾馆,,073125249966,
和尔美商务宾馆,,15073316488,13807419088
犀城假日酒店,,073125252222,
