姓,名,家庭手机,工作手机
168公寓（长乐国际机场店）,,18705037998,
小希尔顿商务快捷酒店,,059128935588,
聚源宾馆（吴航路店）,,059128882886,
舒悦宾馆,,059127915555,
黄金快捷酒店,,059127895555,27527222
她他主题酒店,,059186325555,
爱之旅公寓,,18805029280,
星光大酒店,,059127558188,28829977
航都宾馆,,059128202333,
纳威格便捷酒店,,059128956988,
舒馨晓栈,,13960766123,
宜家花园公寓,,17759885856,
佰诚连锁酒店（凯捷店）,,059128839888,
新海洋快捷酒店,,059128533999,
皇家公寓（长乐机场店）,,17304628222,
有一家公寓,,17758915519,
华纯商务酒店,,059128990808,28990606
天鹏公寓,,18705070779,
夏威夷假日酒店,,059128839777,
宏源海滨旅馆（长乐机场店）,,18900283355,
新新商务宾馆,,13799923309,
译莲快捷公寓,,18050199257,17759874658
机场候机宾馆（长乐机场店）,,059128638588,13655015541
榕豪公寓（福州长乐机场店）,,18559906878,17350184568
航港候机公寓（长乐机场店）,,13774578401,
航鑫宾馆（机场经济区店）,,059128638588,13774578401
长乐荣华酒店公寓（长乐机场店）,,13225991505,17705020870
晨怡公寓（长乐国际机场店）,,17759072136,
瑞安居公寓（长乐机场店）,,17759873751,17750260997
长乐朋来公寓,,059128992265,17305901227
梦幻未来酒店公寓,,17305027255,
航港海风景酒店,,059128299777,
长乐尚秀宾馆,,15280150145,
福州海滨之恋度假酒店,,059128666182,18059163380
空港望海公寓（长乐机场店）,,18850394800,
尚客服务式公寓（长乐国际机场店）,,18650091826,17750317390
金銮酒店式公寓（长乐机场店）,,059128559933,18065065056
长乐开心快捷公寓（国际机场店）,,13055292588,
好豪快捷公寓（机场店）,,15880499906,
蓝影酒店式公寓（长乐机场店）,,18059151143,
机场快捷壹号公寓（长乐机场店）,,18250327349,
8090尚品酒店式公寓,,13225991505,17705020870
空港看海公寓（长乐国际机场店）,,17759061325,
小宜公寓,,17759885435,13799344244
快6快捷公寓酒店,,18750700525,
空港花园酒店（长乐机场店）,,059128725556,17758932896
斯丽普公寓,,17750420926,
滨海新城酒店,,059128568282,
大鹏接送公寓,,17759885856,
玖玖快捷公寓,,18596833708,
玫瑰花园公寓（福州长乐机场店）,,13205912195,
至家海景酒店（机场店）,,17759131398,13705962849
优享精品酒店（长乐国际机场店）,,059127962999,13599971095
柏豪酒店公寓（国际机场店）,,059128722226,17759036699
碧海蓝天公寓,,17759885222,
爱尚服务式公寓（长乐机场店）,,17759131989,
远航酒店式公寓,,15859136186,
海港酒店（福州长乐机场店）,,059127553339,17706910777
