姓,名,家庭手机,工作手机
金湾住宿,,07686562210,13211208650
宜家主题公寓,,13903099951,15816556822
金园住宿,,17728686076,
华庭公寓,,15917188855,
阳光公寓（原池湖招待所）,,07682188582,
华悦住宿,,13923515591,
康华酒店,,07686663000,
广文公寓,,13727975468,
金丰住宿,,07685226066,
喜春公寓,,18923519073,13713257877
逍遥公寓,,13778333382,
潮州麒龙宾馆,,07682336999,
炎辉旅社,,07686594471,
彩金商务酒店,,07685895666,
宏祥食府公寓（原顺成公寓）,,15820273082,
虹景酒店,,07686899628,
鸿运公寓,,18923527657,
广源宾馆,,18811862776,18927106097
金凤农家住宿,,15992377670,
潮汕南住宿,,07686532031,15994986097
金丰住宿（金石店）,,18923525005,
金丰住宿（高铁站店）,,07686538111,
水木年华主题酒店,,07686663000,13727922455
佳宾住宿,,13828355251,
玉祥住宿,,07686530335,13318931522
金歌商务酒店,,07685882222,5882868
佳客隆住宿,,07685215111,
顺顺连锁酒店,,07686668966,
火凤凰酒店（潮州大道南店）,,07682393668,
天泰公寓,,07686781279,
赣丰住宿,,07686537111,
派酒店（潮州庵埠店）,,07686639777,17728686084
豪客快捷酒店,,07685387666,
华明酒店,,07686834888,
格林豪泰快捷酒店（潮州潮安汽车站潮汕路店）,,07686999000,
松發酒店,,07686781882,15992381158
如意商务住宿,,07682991866,18023918757
金豪公寓,,18126931544,
潮州安南酒店,,07686619888,
潮州金丰商务住宿（崎头村店）,,07686831108,
潮汕站公寓,,07686537882,18128177723
利安宾馆,,07686625238,18023909236
金圣住宿,,07686837163,
鑫胜住宿,,13413712740,
顺顺公寓,,07686629301,6668966
安顺住宿,,13426926676,13288753929
锦瓷住宿,,15347650120,
金园住宿,,07686350029,
天华大酒店,,07682367222,
阳光住宿,,07682332267,13163783781
天丰旅业,,07686819888,
怡和公寓,,17876804042,
双阳楼住宿,,15014576161,
好聚祥旅馆,,07686688099,
金丰商务住宿,,07682935188,
潮州东山湖温泉度假村温泉酒店,,07686999999,6999998
九九住宿,,07686980966,13623081797
华苑酒店,,07686939000,
玉林商务公寓,,15220948115,
乃兴石湖休闲避暑山庄,,07686780089,
金丰住宿（江东店）,,07686590111,
凤凰华景品味酒店,,07686785222,
鑫豪住宿,,15976355615,
锦绣旅馆,,18126931983,
金丰住宿,,07686839933,
潮州海逸大酒店,,07685812338,
潮州声乐大酒店,,07686669338,
黎歌量贩KTV,,07686365555,
喜乐公寓,,07686622801,
阳光住房,,07686617756,
鸿达住宿,,13531524235,
万豪大酒店,,07686192222,
369住宿,,07686939679,
吉祥公寓,,18198812279,
金丰住宿（凤塘东门）,,07686845010,
柏嘉公寓,,18029780692,
顺平快捷公寓,,07686289666,
安南大酒店,,07686619888,
金丰住宿（凤塘店）,,13360620248,
海龙公寓,,15907680778,
龙桥公寓,,07685892370,
吉友住宿,,18927123617,
金悦住宿,,18927125573,
金丰住宿（古巷店）,,07686839360,
鹏盛年华公寓,,15538792226,
鑫源公寓,,18676843953,
君安住宿,,15216951613,
顺豪公寓,,15913073608,
利达住宿,,15876869907,
大道旅馆,,07686555258,
南新公寓,,18688055954,
佳明顺旅馆,,07686614222,
万花公寓,,07686620672,
明儒公寓,,15816181104,
德园招待所,,07686629474,
华艺住宿,,15916452905,13534676415
龙城公寓,,07686559358,
海宾商务宾馆,,07685916333,
益德楼,,13553753966,
潮州以琳居住宿,,15216957728,
金阳公寓,,18676809809,
建业公寓,,13502625948,
捷运旅馆,,07686835978,
冠园金龙华招待所,,07686360567,
竹青旅馆,,07686629303,
凤凰公寓,,07686660500,
麦农公寓,,15876827666,
佳宾公寓,,07686616288,
潮安县邮电招待所,,07686685588,
永祥宾馆,,07686625368,
亨安旅馆,,07686610988,6358888
逸间公寓,,18666645682,
林润住宿,,15916497666,
鑫悦公寓,,18029868580,
安华丽住宿,,18676092990,
汕头雅新公寓,,13502508397,
安鸿诚住宿,,13727922630,
安文发公寓,,000013690083,13690083079
安豪华公寓,,13192109090,
耀玉楼酒店,,07685229189,
金和住宿,,15347642762,
安文安公寓,,13531524235,
永隆公寓,,15976396065,
金豪住宿,,07685915260,
乐天住宿,,13652820175,
百川宾馆,,13531522987,
安威龙楼住宿,,15816562557,
华欣旅馆,,07685896149,13435579522
雅龙招待所,,07686805592,
鸿图旅馆,,07686613755,18676807588
顺平公寓,,07685810881,
源远公寓,,07686660840,
小天鹅住宿,,13827345259,
东亨住宿,,15876854859,15347652691
