姓,名,家庭手机,工作手机
华丽住宿,,075487268928,13825848019
君安快捷酒店（外砂店）,,075489822111,
仙居住宿,,15913960885,
开馨住房部,,15914772286,
金都住宿,,13531298852,
金鑫租房,,15089146626,
君乐商务宾馆（泰安店）,,075483251238,
荣盛住宿,,15816649106,
馨园住宿,,15913932178,
金鸿住宿,,13380404776,15869761588
顺兴商务住宿,,18923667672,
源海快捷宾馆,,075485826866,
岭南住宿,,075485858549,
金泰住宿,,13360810390,
安顺住宿,,075485632178,15815050167
新浪漫住宿,,13556473918,
维斯酒店,,075489863399,
岭海公寓,,075485635828,
7天连锁酒店（汕头澄海三桥店）,,075483669777,
东晟商务酒店,,13902704139,
鸿兴宾馆（振兴路店）,,075485825139,
澄海华侨宾馆,,075485732888,
沿江酒店,,075485355855,
粤海旅馆,,17725980901,
7天连锁酒店（汕头澄海店）,,075486889777,
万豪公寓,,18750206844,
益华住宿（泰安路店）,,075487215314,
莲凤住宿,,075487212191,18902703521
泰安住宿,,13825807811,13428302199
可可住宿,,18279526489,
兴隆住宿,,13546893210,15817980709
麗枫酒店（汕头澄海海关秀水园店）,,075489319666,
莱芜欢乐天地酒店,,075485503666,
金凤住宿,,075485134709,
鸿翔商务住宿,,075485723830,
格林豪泰商务酒店（汕头澄江路店）,,075488360888,
金丰公寓,,13829532798,
奥斯凯纳酒店,,075489822222,
顺新商务住宿,,13250655967,
阳光公寓,,075485351769,18923950769
鸿源住宿,,13118679873,
金福来住宿,,18237773111,
南砂住宿,,85755234,13727666369
汕头时尚住宿,,075486986763,
阳光住宿,,075485822979,
华泰住宿,,075487211069,13428324586
潮城客栈,,075485830678,
益华住宿（同益店）,,13750494780,
速8酒店（汕头澄海海关店）,,075489873888,
美阁酒店,,075489876888,
汕头猛狮凯莱酒店,,85688888,
豪廷商务住宿,,075489317122,
金丰住宿,,075489864858,
如家快捷酒店（汕头澄华路店）,,075485636188,
冠兴住宿部,,075485632086,
君安住宿,,075485638566,
金丰宾馆,,13715989600,
金丰商务住宿（东里店）,,075487210468,
华鑫商务房,,87210662,85636538
莲花山温泉度假村,,075485319888,
好声音酒店,,075488096688,88096699
君乐商务宾馆（同益店）,,075485826216,
粤海酒店,,075485898666,
豪庭大酒店,,075488098888,
汕头澄海花园酒店,,075485868888,
君悦住宿,,15994918636,
金海湾住宿,,18033383607,
德成住宿,,18666056386,
荣伟旅馆,,075486390385,
大众住宿,,18023262317,
帝豪住宿（澄海店）,,075489318812,
金园住宿,,15113927718,
中兴住宿,,075485730369,15815230709
汕头澄海旅游宾馆,,400833-6699,
鸿泰商务住宿,,075487210216,
君澜商务住宿,,075487210979,
望江宾馆,,075468503368,
天天公寓,,075485876433,
幸发住宿,,075487211516,
振兴住宿,,075485738749,
快客商旅,,075485738898,85630888
福安住宿,,86981702,
平安住宿,,18675416875,
龙田住宿,,13076308123,
顺安旅社,,075486163028,
星河住宿,,075485179905,
温馨住房,,85824510,
新时代住宿,,13726528039,
美兴住宿,,13643012768,
鑫华住宿,,15889280918,
星源住宿,,13536813358,
梅兴住宿,,15875375401,
鸿运旅馆,,18688032558,
迎客来住宿,,13428323070,
天天好住宿,,13202176319,
凤城住宿,,13825857098,
莲鑫住宿,,85405822,
顺丰住宿（外砂店）,,18319283178,
泓瑞地产,,075483668168,
阳光住宿,,13411947196,
四海住宿,,15916698666,
平价住宿,,85175665,
金丰住宿,,075485826526,
欢聚住宿,,18637757228,
永新住宿,,13542822082,
金园住宿,,18023273321,
新时代宾馆,,075485799622,
小港商务酒店,,88096111,
富康住宿,,075485876908,15875430063
豪华住宿（泰安路店）,,13302741468,
华天住宿,,15889280918,
