姓,名,家庭手机,工作手机
湖州剑雄农家乐,,13587201541,
顾渚美美农庄,,13625725817,
蒋老大农庄,,13906826949,
府前宾馆,,05726083999,
月芽概念酒店,,05726367771,
恒泰168旅店,,05726088168,15968251965
梅地亚宾馆,,05726051299,13362218729
帝豪大酒店（住宿部）,,05726231888,
振旭宾馆,,05726025118,13505820711
元世客商务宾馆,,05726052888,
红旗宾馆,,05726030026,
百灵之悦商务宾馆,,05722959777,
海厦（华辰）大酒店,,05726526000,
南苑e家（长兴中百店）,,05726210000,
古海宾馆,,05726857333,
南苑e家（长兴物流园区店）,,05726706777,
宜家商务宾馆,,05726907555,
百合宾馆,,05726568666,
万豪宾馆,,05726220222,
名家风尚酒店,,05726265888,
福兴商务宾馆（长兴店）,,05726676999,
风采商务宾馆,,05726389000,
广场宾馆,,05726056999,
鑫吉主题宾馆,,05726573888,6573258
二星宾馆,,05726023988,
如家快捷酒店（湖州长兴人民路店）,,05726696000,
莫泰酒店（湖州长兴明珠路店）,,05726526168,
紫罗兰宾馆,,05726616999,6520920
爱尚快捷酒店,,05726613988,
格林豪泰商务酒店（长兴店）,,05726768777,13305824555
花好月圆创意酒店,,05726308666,
5566慈云山庄,,18969281566,
迹忆印象酒店,,05726310555,
溪畔居农庄,,15757203185,13867259623
竹楼农家乐（紫笋客房部）,,13868271971,
长兴仙山湖乡村酒店,,05726536111,18868217575
志新宾馆,,05726578826,
维也纳酒店（长兴明珠路店）,,05726565999,
尚客优连锁酒店（长兴轻纺城店）,,05726097888,17758305181
金港湾创意旅社,,05726637999,
朋来聚精品酒店,,05726728666,15105728235
欧菲斯精选酒店（长兴店）,,05726110000,
堡罗宾馆,,05726096888,
长兴开元芳草地乡村酒店,,05728377777,
龙庭创意酒店,,05726301666,
喜洋洋宾馆,,05726110888,
格林联盟酒店（长兴浙北商业广场店）,,05726113666,
森皇大酒店,,05726807888,
维多利亚大酒店,,05726722222,
宾源商务宾馆,,05726853555,
龙庭商务宾馆,,05726301666,
鑫都商务宾馆,,05726293999,
富民大酒店,,05726820888,
索菲特宾馆,,05726518888,6525356
杭长宾馆,,05726206111,
浪漫时光精品酒店,,05726802999,
皖庭连锁宾馆,,05726589000,15657258788
欧丽主题宾馆,,05726503888,
索菲特宾馆（金陵南路店）,,05726039333,
许家农院,,15968297383,
紫金大酒店（客房部）,,05726042888,6044261
金玫瑰大酒店,,05726757666,
鑫豪时尚宾馆,,05726126999,15268732677
新紫金大酒店,,05726621699,
醉芙蓉酒店,,05726902333,
银苑农家乐,,05726306191,
伯爵世家酒店（长兴店）,,05726688888,2953888
兰天鹅宾馆,,05726267888,
润良旅馆,,05726078822,15757275855
花红宾馆,,05726739888,18657209023
长兴喜丽宾馆（人民南路店）,,05726050888,
迎朋大酒店,,05726796777,
缘份天空主题宾馆,,05726265666,
小沉故事青年旅舍,,13967251212,
天宏主题酒店,,05726055999,
顺鑫商务宾馆,,05726082566,
丽景宾馆,,05726266333,
水口君临农家乐,,05726753110,
名豪大酒店（长安路店）,,05726226666,
福运商务宾馆,,05726706777,
汉庭（长兴明珠路店）,,05726578666-0,
长兴国际大酒店,,05726266666,
长兴亚朵酒店,,05726121000,6121200
湖州创新农家乐,,05726214485,
蒋家古宅民宿,,13757252939,
鼎尚行政公寓,,05726729999,
美辰风尚酒店,,05726203888,
旺利宾馆,,18167266136,13511610829
太湖小筑酒店,,05726666911,
祥达宾馆,,05726026888,
皇庭商务宾馆,,05726590333,
金田宾馆,,05726617388,6037388
金山角生态农家,,13567292706,13757068776
金都宾馆,,05726037061,
格兰国际大酒店,,05726791999,
汾阳楼,,05726296388,
新广福客栈,,05726038553,
鸿欣旅馆,,05726043976,13735169728
长兴金缘大酒店,,05726870000,
辰龙旅馆,,05726053323,
福鑫酒店,,05726065727,
凯信商务宾馆,,05726221215,
彩霞宾馆,,13738230365,
缘通商务宾馆,,05726982333,
蓝天宾馆（海兴路店）,,05726222429,
宣杭旅馆,,15157251719,
百信宾馆,,05726034087,15268224238
海纳百川休闲主题酒店（县前西街店）,,05726670000,
双红商务宾馆,,05726222122,
翠竹林农家乐,,13511261877,
俺家大院民宿,,13754219177,
金陵大酒店,,05726038763,
怡莱酒店（长兴古城街店）,,05726030888,
新昊日租房,,05726208688,18005826565
鑫润宾馆,,05726380999,
峰云大酒店,,05726081666,
南鑫假日酒店,,05726873888,
360商务宾馆,,05726606360,
金龙商务宾馆,,05726972988,
御园宾馆,,05726670868,
龙禧大酒店,,05726960000,
南洋宾馆,,05726262233,
宇宏商务宾馆,,05726210222,
金阳光宾馆,,05726688078,
丽豪宾馆,,05726687888,
金龙旅馆,,05726030945,
鸿鑫宾馆,,18267217566,13567281142
悦来旅馆,,05726042435,15157240335
水口梦回楼农家乐,,05726014608,
康盛宾馆,,05726738999,
嘉伦概念宾馆,,05726390000,
福煌商务宾馆,,05726291668,
湖州长兴果圣山庄,,05726871888,
金丽宾馆,,05726735888,
凯丽宾馆,,05726238111,
瑞皇商务宾馆,,05726026885,
海中海假日酒店,,05726226888,
皇冠假日酒店,,05726368888,6089999
泗安假日大酒店,,05726626888,
夏维夷宾馆,,05726305666,
新华宾馆,,05726582888,
皇家湾宾馆,,05726201333,
金盛商务宾馆,,05726981333,
仓龙宾馆,,05726028003,
锦江之星（长兴长吕路店）,,05726905555,
来福城堡宾馆,,05726702777,7633999
金港宾馆,,05726267333,
兴溢宾馆,,05726575910,
洲际商务宾馆,,05726236777,
太湖会精品酒店,,05726663333,18057269558
全盛旅馆,,05726545455,15757203617
振华小宾馆,,05726053125,
东方明珠客房,,05726517588,
金色年华宾馆,,13867288663,
享悦楼宾馆,,05726091336,13059985625
海富宾馆,,05726308999,
华宇宾馆,,05726568111,
香格里湾宾馆,,05726587313,
盛鸿宾馆,,05726219222,
七蓝99宾馆,,15257271059,
天悦豪廷大酒店,,05726119999,
香澳快捷酒店,,05726291888,
红宇宾馆,,05726023555,
香草农庄,,05726028990,
良缘宾馆,,05726756800,
溪口农家乐,,13867259332,
景美农家乐,,13735131882,
168农家乐,,057213735136,13735136648
窑头山农家乐,,13738232511,
毅洋农家乐,,15268287115,
水口悦雅阁农家乐,,05726214331,
茶圣居农庄,,13511242193,
小娘舅农庄,,13362230362,
多福农庄,,05726214597,13967250872
山沟沟农家乐,,15088345880,
茶香农家乐,,13868277701,
俊俊农家乐,,13567292222,
江南红村客栈,,05726782056,
百欢农家乐,,13757220096,
源水山庄,,13867259332,
鸿鹰山庄,,18757223278,
青藤阁,,13567969582,
大园子农家乐,,13735131630,
长兴顾渚果园山庄,,05726214473,
新荣华大酒店,,05726386777,
查家农庄,,15088341727,
高山农家乐,,13511267741,
顾山茶源农家乐,,13819219828,
水口锦兴农家乐,,13754213332,
湖滨农家乐,,05726214302,
百翠山居,,05726533038,
四季红农家乐,,05726214063,
如意农家乐,,13738235098,
小夫妻农家乐,,13738245815,
鑫星宾馆,,05726958339,400833-6699
忘不了农家乐,,05726214235,
东东农家乐,,15868247057,
梦萦山庄,,05726970788,
有空来农家乐,,13735138759,
赛梦庄园,,05726850999,
花园顶农家乐,,13738249228,
山连山农庄,,13738231883,
水口古树缘农家乐,,05726214683,
竹水山庄,,13511249159,
利民农家乐,,05726214114,
开开心农家乐,,15088361345,
尧王山庄农家乐,,13757228124,
金莲桥旅社,,05726581813,
群英旅馆,,05726030238,
怡和庭农家乐,,05726214171,
百客恋农家乐,,13105728168,
齐家庄农家乐,,05726214314,
山野农家乐,,13362230906,
野竹林农家乐,,05726214117,
鸿福大酒店,,05726090736,
兰香苑农家乐,,13645823889,
水口翠竹园农家乐,,05726532622,
美娥旅馆,,05726040738,
光辉旅馆,,05727681922,
水口茄茄树农家乐,,05726530065,
诚信旅馆,,05726042036,
三涧荡农家乐,,05726214292,13819213192
画眉园农家乐,,13905285067,
水口茶茗山庄,,13666508478,
慢悠悠农家乐,,13868288479,
发明农家乐,,05726214422,
水口茶语农家乐,,13706530051,
宁静山庄（农家乐）,,13511242293,
日月楼农家乐,,057210106666,
游山脚农家乐,,15967239956,
茶农山庄,,05726214583,
步云旅社,,057210106666,13385825689
古寺农家乐,,05726214488,
有缘农家乐,,13868286853,
晨鑫宾馆,,05726563111,
茗岭农家乐,,05726214134,
顾渚尧信农家乐,,13587239738,
尧聚山庄,,13587926008,13666534761
顾渚燕子农庄,,13738235870,
永顺农家乐,,15088317088,
瑶池农庄,,13735138850,
邻居客栈,,05726755157,
东东农家乐,,15868247057,
辰熙商务宾馆,,05726293366,
云烽宾馆,,05726739666,
桃夹山农家乐,,15557218588,
蒋家大宅民宿,,15088353811,
明霞农家乐,,15957219832,
鑫城宾馆,,05726610333,
风和日丽农家乐,,13655728987,
湖州长兴毛竹园农家乐,,05726214061,
富硒谷农家乐,,13666521566,
振马旅社,,05727639335,18757239730
明月农庄,,13867259332,
圣雅农家乐,,15088361345,15088363531
幸福林养生农庄,,13867270919,
盛世农家,,15005823285,
永兵农家乐,,18857268533,
小玲珑农家乐,,13957256276,
宏旭商务宾馆,,05726073966,
顾乡民宿,,05726652777,13738232766
华达和平宾馆,,05726959999,
绿野仙踪·漫筑度假村,,05726977999,
陆琪饭店,,15005721512,
anadu度假村,,15902111158,
墨雨轩农庄,,13587925080,
上泗安乡宿酒店,,05726870261,18705727263
隆欣农家乐,,13665730856,
鑫镶缘农家乐,,05726214530,
志平农家乐,,13667235139,
舒雅旅馆,,13058937603,
桥和农家乐,,13567987946,
一串红农家乐,,13967255948,
景泰商务宾馆,,05726670628,
水云阁农家乐,,05726214227,
备鹊山农家乐,,15257252579,
周家竹园农家乐,,05726214209,
陶奕宾馆,,05726226000,
轻纺城商务酒店,,05726018000,
龙窑农家乐,,13511247380,
水墙门农家乐,,13957255090,
绿峰农家乐,,13655727650,13511202853
芭提雅农庄,,05726767777,
水口乡顾渚叙坞农庄,,05726025808,
尧峰农家乐,,13587237510,
枫之情商务宾馆,,05726221215,
水口乡霸王潭中村农家,,05726214350,
胜盛农庄,,13735139272,
草木人家农家乐,,13819210378,
大墙门客栈,,13587256775,
梓树农家乐,,15088318489,
陈家小院农家乐,,057210106666,
长兴苗山农庄,,057210106666,
开心缘农家乐,,13666544455,13511249159
汪家山庄,,15957236757,
紫笋农家乐,,05726530178,
三姐妹农庄,,13757221011,
竹风园农家乐,,13868262617,
自然乐农家乐,,13666524441,
金星旅馆,,05726031556,
华阳小宾馆,,05726221011,
八九农庄,,13819236058,13819236108
金江宾馆,,05726045309,
健豪农庄,,13666521511,
杜仲农庄,,13867259332,
宏丰旅馆,,05726564133,
大云旅馆,,05726087284,
长盛旅馆,,05726207698,
金耀宾馆,,05726265039,13511203483
年年红农家乐,,05726214136,
德福楼农庄,,13868262439,
茶之乡农家乐,,13757228198,
桥丰宾馆,,05726031021,
梦圆宾馆,,05726202234,
忘归楼,,13567962229,
竹影农家乐,,15157208078,
兴城旅馆,,05726031114,
苏友农家乐,,05726214591,
尧舜农家乐,,13587245581,
缘来农家乐,,13587275844,
明月楼农家乐,,15968277532,
石园农家乐,,05726214328,
永鑫宾馆,,05726051177,
顾渚农家乐,,13587275563,
易家快捷酒店,,05724157777,
兴乐农家乐,,15167284197,
金瑞宾馆,,05726207576,
彬昕大酒店,,05726090247,
清茶园农家乐,,15257262804,
平安宾馆,,05726689558,
丽都假日宾馆,,05726733999,
石路君怡大酒店,,05726176116,
长兴羽恋山农家乐,,05726214460,
静雅农家乐,,05726214128,
鸿兴宾馆,,13754218008,
清音阁农家乐,,13757224616,
怡雅农家乐,,13655723900,
绿洲商务宾馆,,05726528999,
最美乡村农家乐,,05726214001,
静幽谷农家乐,,13511268588,
广丰圆大酒店,,05727680115,
茗缘旅馆,,05726207266,
龙头农家乐,,13095857128,
乡村小站农家乐,,05726214462,
顾渚山农家乐,,13587276996,
金发宾馆,,05726267799,
林间小住,,13587236004,
