姓,名,家庭手机,工作手机
和顺宾馆（万福新城店）,,07443250626,3250822
音乐主题酒店,,07443388168,
旭日宾馆,,07443231678,
好运宾馆,,07443333058,
和园宾馆,,07443510888,
富康宾馆,,07442251168,
荣康宾馆,,18674427908,
文大宾馆,,07443333097,
栀子花主题酒店（慈利店）,,07443333399,15174490038
光明大酒店,,07443331888,
鸿运宾馆,,18608449309,
新村客栈,,07443555432,
朋友圈酒店,,18890696689,13298555960
龙华客栈,,07443353039,
感恩羊庄住宿,,17774448779,
聚缘客栈,,18974474448,18675387740
相聚一刻酒店,,07443522388,13036750010
邂逅酒店,,07443255789,
玲龍客栈,,13627441328,
富蓝特乐酒店,,07443267799,
三官寺客栈,,07443339789,18974415009
五柳庄酒店,,07443219333,17775982229
绿苑农庄,,18074404582,
玉政客栈,,15874414199,
回家客栈,,17374424909,
友缘宾馆,,07443330858,13272223589
周四旅馆,,17752650715,
阳和宾馆,,15874491885,
向日葵宾馆,,18307445499,
错不了客栈,,15874446222,
张家界1988客栈,,15874447140,
光明酒店（交通局店）,,07443337888,
奥帝宾馆,,07443230218,
易安庭连锁酒店（玻璃桥店）,,18974498988,18174442728
光明酒店（火车站3店）,,07443336888,
雅乐酒店,,07443268666,
慈利小天鹅商务酒店,,07443613888,18613997881
米娅商务酒店,,07442223333,
青龙山庄,,07443524286,18874450605
甄家坪宾馆,,18143304178,
甄家坪农庄,,07443523004,
新华客栈,,07443524300,13762178944
山村假日酒店,,15874473563,
一兵客栈,,18374416678,
3D民俗客栈,,13680343808,
霖心茹客栈,,13467890516,18074427938
彩悦乳鸽乡村度假酒店,,07443599444,
天臣假日酒店,,07443638888,18613997881
老杜杜宾馆,,07443234700,13574400628
张家界金碧辉煌宾馆,,07443238999,
乌龙山寨酒店,,07443525777,
嘉美酒店（原风渔酒店）,,07443524000,
晨龙168酒店（慈利店）,,07443628888,
自游玩家客栈,,18974460755,
天辰澧州宾馆,,07443283999,
灏轩客栈,,07443268599,17374462858
栀子花风格酒店,,07442856999,
新紫霞宾馆,,07443265555,
大峡谷假日酒店,,13574402838,18774850695
7度主题酒店（慈利店）,,07443589999,
张家界万福温泉国际度假村,,07443333333,
老铁锅客栈,,17374435003,
碧水畔客栈,,18797523536,
澧州宾馆,,07443221111,
五谷杂粮住宿,,07443554333,
金港宾馆,,07443388162,15158814680
五峰宾馆,,07443223858,
姊妹客栈,,18974497583,17774457583
紫荆花商务酒店,,07443537888,13762188181
净园酒家,,07443238968,
大峡谷客栈,,07443339678,
宏祥商务酒店,,07443218988,
大成宾馆,,07442222718,13566231556
如意旅馆,,07443223421,18674441281
鑫都宾馆,,07443383168,
天渡酒店,,07443355688,
群英楼快捷酒店,,07443227108,
华天商务酒店,,07443237638,13085403474
张家界慈利宾馆,,07443266188,3266666
宁泰酒店,,07443229338,
鸿临商务宾馆,,07443273788,18974448788
迎君酒店,,18174492508,
全聚德大酒店,,07443353079,
晓峰商务酒店,,07443524559,
好常来客栈,,18074411288,
芙蓉大酒店,,07443288888,
大峡谷文化酒店,,18074461638,17774427930
汉悦同酒店,,07443553999,
江垭温泉度假村,,07443355627,
金慈商务酒店,,07443512888,18974481663
蜗蜗居宾馆,,07443566588,18890696222
丰泽时尚酒店,,07443269999,
大峡谷酒店,,07443559877,
皇朝连锁酒店（交通局店）,,07443213555,
皇朝酒店,,07443213888,18374425976
易捷商务酒店,,18867288078,
武鑫宾馆,,07443233678,
顺其自然商务酒店,,07443555455,
金圆大酒店,,07443252818,
恒兴大酒店,,07443555668,
金佳宾馆,,07443233077,13617447666
农家客栈,,13554161832,
金地宾馆,,07443235899,
佳佳宾馆（慈利店）,,07443212578,
溪口宾馆,,07443520168,
林苑商务酒店,,13327242886,
张家界-江南特色客栈,,07443380380,
百家信商务酒店,,07443356888,
王师傅土菜馆客栈,,13117448526,
星梦客栈,,13907443241,
鹏程客栈,,13365842798,18797499983
廊桥客栈（原杨家坪客栈）,,07443523539,15874456586
和天下商务宾馆,,07443459999,
阳光山水酒店,,15174439020,
星星宾馆,,07443221056,
湖北客栈,,07443559928,
张家界二小农家院,,18613933678,
瑞慈大酒店,,07443516789,
有缘客栈,,07443353055,13574402493
农家饭庄,,18143304520,13574477140
璐璐酒店,,07443576299,13337243719
港都宾馆,,13974462289,
皇朝连锁酒店（张家界观音桥店）,,07443213888,
银杏宾馆,,07443251008,
思蓓宾馆,,07443221019,
南方大酒店,,07443522970,
新秀旅舍,,18807442681,
金华宾馆,,07443267588,400833-6699
御溇东大酒店,,07443355777,
湘域大酒店,,07443523988,
臻慈宾馆,,07443224588,
凤宝酒店,,13637443505,
军霞商务酒店,,07443543888,
百姓旅社,,13574475972,
电力宾馆,,07443388515,
五湖四海大酒店,,07443229117,
望江楼大酒店,,07443520888,
湘瑞宾馆,,07443210567,
宏健宾馆,,07443220313,
立雄宾馆,,07443389788,
建新宾馆,,07443265666,
吉宏宾馆,,15088581234,
溢香园农家乐,,07443252717,
梅园宾馆,,07443262838,
香妃宾馆,,07443588999,
欧亚大酒店,,07443258555,
武陵大酒店,,07443245079,
响水洞大酒店,,07443250665,
帝豪宾馆,,07443222588,
美华宾馆,,07443222521,
华都宾馆,,18613933151,
三水宾馆,,07443227798,
万和大酒店,,07443555111,
嘉利家宾馆,,07443389728,
金岩宾馆,,07443527171,
高峰胖胖土家山庄,,07443238888,
恒泰宾馆,,07443236198,
天天美宾馆,,07443233008,
新秀旅馆,,07443232311,
龙皇酒店,,07443523079,
华亭商务酒店,,07442135666,
梦圆宾馆,,07443222138,
友谊宾馆,,07443227860,
凤凰宾馆,,074415274487,15274487627
车站宾馆,,07443355386,
永顺宾馆,,07443237782,
长城宾馆,,13974433503,
新梦宾馆,,07443331799,
盛辉宾馆,,07443232568,
好望角宾馆,,15580565530,
汉林招待所,,18174497876,
荷花宾馆,,07443335758,
锦顺客栈,,07445718568,
兴云大酒店,,07443577187,
兴华招待所,,07443223395,
彩云宾馆,,15874483408,
鑫海宾馆,,07443236598,
海朋宾馆,,18974485258,
史记宾馆,,07443236588,
逢源宾馆,,07443331188,
东昇宾馆,,07443227588,
影友之家,,07445617333,13574404759
祥云宾馆,,07448221811,
金都宾馆,,18174470555,
江南大酒店,,13517443780,
慈利县慈姑大酒店,,07443222898,
金海岸宾馆,,07442148726,13574432669
超群宾馆,,07443221288,400833-6699
荷馨宾馆,,07443640888,
