姓,名,家庭手机,工作手机
张华山庄,,15328013240,13551815657
梦园,,13678169793,
青城山秀水居农家乐,,18980065612,
龙俊山庄,,18081090889,
鸿玉山庄,,13981732537,
唐永忠家宴客栈,,13699011639,18111608578
林涧忆栈,,13980724408,13540481260
文君酒楼客房,,15802890809,
馨怡农家园住宿,,18982051295,
青城山青城居,,15828006163,
光富苑,,15202853079,
双燕山庄,,02887288148,
向阳坡居,,15828084815,
云中阁农家乐,,18280101043,
群友客栈,,13558721938,
虹口优客之家,,13551208246,
青城后山品味道家（客房部）,,13488900145,15308215936
茅梨山庄,,02887264067,13550116677
福仁居,,13689047167,
旺庭园客栈,,15351214690,15328021429
桂月楼住宿,,13540038028,
青幽院,,02887218397,13880590138
青城山仁义农家小苑,,13628014621,
舒逸雅居客栈,,13688474089,
聚满楼住宿,,13730888984,
温馨苑,,18048582833,
小赵农家乐,,15281070610,13880290838
馨逸小院客栈,,18010537798,
恒悦客栈,,18980799656,
玫瑰家园,,18982261080,
青城山农家乐（桂桥苑）,,02887288639,
一壶春客栈,,18200199882,
泉福缘客栈,,13558870327,
逸鑫苑客栈,,13541136617,13882030380
虹口夏府鱼庄（客房部）,,13880005212,
清江客栈,,13981895230,
永红客栈,,13708026368,13541264142
车家船农家院,,13518168690,
青城后山四哥农家乐,,13628064738,
青城山霜雅苑,,13688178525,
卫国农家院,,02887288684,18982263639
志怡家客栈,,15882486727,
陈贾大院,,13540457190,13550108846
河边住宿,,13880102527,
林泉山庄,,13882036880,
青城山金驰佳苑,,18780185768,
青城山过江鸡鱼庄住宿,,13541098456,
虹口惠强山庄,,18224079365,15982118621
半山河畔客栈,,13880515339,
锦弘山庄,,13608204163,13882164579
乡土人家商务客栈,,02887218669,
明泓园客栈,,13678054378,
青城山甜甜农家山庄,,13551238950,13551214212
温馨家园,,13541096170,
亮亮客栈,,13308085532,
红鑫日租房,,13540342331,
川香苑,,02887288851,
雲彩苑客栈,,18980903587,
春雨乐民宿,,13880236062,
慈恩住宿,,18080483269,
贝乐苑,,02887288819,15198232190
虹口印象农家乐,,15108256892,
青云客栈,,15196696007,
活水山庄,,15388251869,
青城山倾城珊荘（泉水路店）,,15202852819,
仁义山庄,,15881062223,
玉兰园农家乐,,15882403881,
虹口醉翁山庄,,13308007648,
星悦园客栈,,02887270255,18980434646
春园饭店,,15351218609,
虹雅山庄,,13568978968,
玲珑苑,,13330944226,
裕鑫客栈,,13540365012,
踏景苑客栈,,18030589086,
季轩阁酒店,,02861726777,
青城山裕格庐客栈,,18982231387,13540353231
堰虹人家,,15882213041,
虹口老百姓山庄,,13666225109,
碧水休闲庄,,13540850148,
泰安茂林雅居,,13408019050,
勇君客栈,,13880236062,
拜登观邸公寓（都江堰外滩新天地店）,,02887135577,
月季山庄,,13880288616,
青龙客缘,,18109017662,
麒麟山庄,,02861920208,
红平山庄,,13658032318,15308035965
乡情人家,,13438285449,
庙坝休闲山庄,,15198196464,
庙坝人家,,13540268008,
虹口雅客山居山庄,,13678076558,
虹口祥和山庄,,13608170558,
豪园山庄,,13618052583,
明塬山庄,,02887290580,
明阳山庄,,18982222046,
都江堰青源国际大酒店,,02885865785,
明蓉旅馆,,18980736856,
成都青城山鑫缘农家乐,,02887288002,15308177317
随缘小憩,,18982013565,
鑫堰客栈,,15828401586,
青城后山龙飞山庄,,15228888268,
金桥商务酒店,,02889742188,
圆梦缘商务客栈,,02861922045,61922046
景和庄商务客栈,,02887288488,
利佳客栈,,13558716801,
运通商务客栈,,02887128611,
青城山八一青年旅舍,,13880688207,13541105021
金美辰格调酒店（都江堰古城店）,,02887133355,87107346
青城山闲庭雅居农家苑,,13540617051,18980025118
远朋客栈,,02887170388,18328335585
青旅客栈,,02887289666,
南桥燕南客栈,,18980550385,13086627496
四海出租房,,18982015518,18140055330
泰安慧园山庄,,02861920508,
波师苑,,18081130977,
五哥客栈,,17713629291,13684087627
驴友驿栈,,13541196968,
尚城商务酒店,,02887258055,15828642032
桥兴宾馆,,18180825931,18140039308
爱德森酒店（梅西广场店）,,02887125666,
爱德森商务酒店（银杏店）,,02887272666,
上风上水客栈,,02889747770,
鑫幽院,,02887256696,
青源客栈（都江堰景区店）,,02887203770,13568922122
聚香苑客栈（青城山店）,,13558740340,
金河源宾馆,,02887224522,
春天商务酒店,,02889738811,
聚德天勤城市酒店（百伦广场店）,,02889708888,
祥和商务客栈,,02889716658,
骆客主题客栈,,02861922296,
青城山太和客栈,,13060059590,
锦江之星酒店（都江堰离堆公园动车站店）,,02886666605,
古桥客栈,,02887150389,
青城山乡村客栈,,13708222902,
聚闲庄,,13881993085,
康源商务酒店,,02887111167,
丽都商务宾馆,,18109076681,
茂轩苑客栈,,13551821706,
中山客栈,,18030719304,
爱德森酒店（观凤桥店）,,02889749800,
青年之家,,13548187292,
金三角山庄,,02861920175,13668213201
东方月亮文化酒店,,02887123333,
都江堰豪家酒店（景区古城店）,,02887125858,
青城山丽春客栈,,02887218119,13558755354
山脚下客栈（青城山店）,,13981775093,
馨然居驿栈,,13551023268,
红叶客栈,,13881980331,18010481160
都江堰金泰酒店,,02887116777,
IU酒店（成都都江堰店）,,02868170666,
蓉聚园农家乐,,18200117553,
青城印象客栈,,15351202578,
青城熊猫主题酒店,,02887222193,
邻龙避暑山庄,,13689049735,
鑫悦农家乐,,18200270432,
花儿朵朵清泉山庄,,13808025923,
德洪客栈,,02887140844,17723308350
棕花饭店住宿,,13668276905,
睿艺商务酒店,,02887136616,
悦翔酒店,,02887296999,
金岸客栈,,02867639555,61926194
青城山肆号小院,,13982049096,
青城山培怡雅居客栈,,18140216128,
吴庄融大花园酒店,,02867639966,18980085616
派酒店（成都都江堰店）,,02867629988,
留福乡村酒店,,18200486886,
蒂芙尼蓝时尚酒店,,02887105324,
花缦酒店,,02887245088,
凤栖印象农家院,,13658097815,18109070838
华西饭店,,02887281888,
后山青城印象山庄,,18030416769,
小憩驿站（都江堰店）,,02889738777,
康嘉逸居青城园康养度假公寓,,02887118555,
宝莲客栈,,17380646835,18030708578
雅致丽景客栈,,18980551379,18982012369
都江堰亿居假日酒店,,02887275666,
奎光西上街伶俐清风雅居民宿,,15982225539,
青城山玉景人家农家乐,,15828221686,
青城山云山小馆民宿,,02887181021,13880292202
景区一居整租清新美屋,,01059247898,
忆楠客栈,,13550203016,
静院客栈,,13688331557,
思涵雅居,,02887218692,18683688506
第一客栈（都江堰景区店）,,18111606653,
青城山白鹤雅居客栈,,13982245399,
逸居客栈,,02887271547,
同心禅院民宿,,18227826679,
美凌精致人文酒店,,02887222290,
五姐豆花旅馆,,13408602767,13618091996
都江堰心意缘客房,,15828681792,17775525312
青城逸欣客栈,,18980868526,
青城山青青庭院,,13880839339,
印象客栈,,18980766309,
麒麟客栈,,02887288567,13438208790
龙门客栈,,18108281927,
裕亨别院,,13408689402,15982344561
轩辕民宿,,02887220252,13668256210
天宇大酒店（都江堰景区店）,,02887285433,18080028448
青城山青城之家客栈,,15308085898,
高大姐农家乐,,02887218486,
四周休闲庄,,17358637671,13408527671
蓉科苑农家乐,,13350848491,
紫桐小院客栈,,13880398907,
青城山尚锦雅居客栈,,13547881801,13980761754
锦尚居客栈,,15908180130,18081063683
