姓,名,家庭手机,工作手机
龙怡山庄,,18981319581,13981344806
清桦休闲庄,,13990685917,
山水宜人,,18784566761,
林海飞雪酒店,,08335096139,
福贵休闲农家乐,,18048651878,
董店子山庄,,08335090049,13698392990
峨眉山中峰休闲庄,,15983399554,
欧家苑休闲庄,,08335097523,
峨眉山景色楼饭店,,08335098035,13980268570
好到家特色农家旅店,,15520378858,13398233810
金秀休闲庄,,13981331009,
全福农家乐,,13438700558,
3077客栈（报国寺店）,,08335591698,
庞氏兄弟山庄,,13540919893,
峨眉山燕川园农家乐,,13981311059,
峨眉山回乡缘木屋,,13696154231,
福林休闲庄,,13696122771,
峨眉山芳茜苑休闲庄,,15082211713,
龙云避暑山庄,,15884392084,
七里坪风情酒店公寓,,18628929082,
峨眉山勤燕农家乐,,08335096030,
祥和休闲庄,,15386504435,
宁馨园休闲庄,,13778860488,18784531220
久邻居休闲庄,,18784553891,
神石农家乐,,08335096191,
鹏飞休闲庄,,13881345372,
天源农家乐,,15808338264,18284383056
峨眉山小白菜农家乐,,18048814122,
峨眉山幽兰休闲山庄,,13508144979,
喜来乐休闲庄,,13696164794,
杰缘休闲庄,,15328607943,
峨眉山雲飛避暑山荘,,13696122383,13981324029
国恩休闲庄,,13990693618,
清风雅舍,,13990629011,
仙泉山庄,,15884384546,
峨眉山良友缘休闲庄,,15283366866,
姊妹山庄,,13980269005,
峨眉山零公里森林休闲庄,,13981380952,
星怡休闲庄,,13350763278,
峨眉山百合山庄,,18111090504,
新起点,,18728840303,
峨眉山沃美超市住宿,,13881384442,
神龙山庄,,18081300528,
峨眉山青荷茶舍,,13696154231,
环盟快捷酒店（峨眉山步行街店）,,08335334999,5387222
鸿运旅馆,,15283398251,18380488049
育贤旅社,,08335538457,
单身公寓（万年东路店）,,08335334953,18111081180
鑫朝阳酒店,,08335520555,
90酒店,,08335521333,
通龙酒店,,08335099290,
柯程酒店,,18080606780,18227894472
郎久泥鳅饭店住宿,,08335592499,
虎啸商务宾馆,,15298067392,
豪景商务酒店,,08333570666,
梅龙客栈,,13408238764,
逸闲酒店,,08335590939,13648182799
天逸商务酒店（佛光南路店）,,08335548581,
仙山度假酒店（温泉源头店）,,08335099333,13608139178
如舍客栈,,08335389666,
7天连锁酒店（峨眉山中心店）,,08335587977,
龙腾商务酒店（市中心好吃街店）,,08335540999,
安逸158连锁酒店（峨眉店）,,08335098158,
如家快捷酒店（峨眉山步行街店）,,08335096888,
平心苑休闲庄,,13551678956,
神水大酒店,,08335533999,
恒缘商务宾馆,,17760958622,17760958611
心港湾国际酒店,,08335588888,5562555
易途文化酒店,,08335557058,
向家酒店,,08335592690,15386543364
佰思特连锁酒店（光明大道店）,,08335336006,
神龙大酒店,,08335544888,
友谊国际大酒店,,08335473888,
金盾别墅宾馆,,08335539666,5555005
登月酒店,,08335590085,
峨眉山潮漫臻品酒店,,08335331555,18090395100
宏济酒店,,08335520001,
峨眉山祥云度假酒店,,08335591750,
顺鑫小筑酒店,,08335590266,18081301448
速8酒店（峨眉山火车站西店）,,08335520111,13890609887
峨眉山三鑫大酒店,,08335591766,
四叶草主题酒店,,08335592592,15983374323
爱尚逸家酒店,,13438720107,
瑜程 ▪ 好梦酒店,,08335594986,13398254121
西点圆梦酒店,,08332220111,
峨眉山乐达度假公寓云梦居（原爱斯家度假酒店）,,08335532878,
峨眉山胜利饭店,,08332222999,
金盾名人国际酒店,,08333068888,
利苑酒店,,08335591690,18080619236
