姓,名,家庭手机,工作手机
胜峰公寓,,13789674353,
老郭招待所,,13087189271,
贵平招待所,,15049573061,
福泰欣宾馆,,15335535211,
星耀旅馆,,15934902862,
泰源招待所,,13848479342,
安泰招待所,,13134845692,
邦程酒店,,04774778400,4778444
青山宾馆,,04778337607,18647184919
金宇宾馆,,15894983570,
宏宇鑫商务宾馆,,04778501738,18647791188
胡福宝旅店,,13847702560,
迎宾宾馆,,04778344748,
八方缘宾馆,,13947732688,
雅馨宾馆,,13848793558,
永旺宾馆,,13191363000,
馨安小宾馆,,13015070708,
悠悠大宾馆,,13214830388,15332860388
佳源招待所,,15332860388,
天骄旅店,,13704772661,
馥宁宾馆,,18648360061,
力广双脑网络宾馆,,04775291212,
凯帝扬商务宾馆,,04774777333,
风铃渡网络宾馆,,15391250501,
客来多客房部,,13624872267,
万泽宾馆,,15335535086,
和顺旅店,,04776287666,
锦和宾馆,,04778335264,
静馨宾馆,,15847311488,
万豪宾馆,,15147739165,
聚亨宾馆,,04778349858,
大汗行宫度假村,,04777851111,
利君宾馆,,15560339358,
紫临商务酒店,,04776481788,
凯唯多酒店,,04773800555,
顺风宾馆,,04778337688,
天通酒店,,04773968555,
0477快捷商务酒店,,04772214026,
乾丰园商务宾馆,,04776487654,15354988879
兴林宾馆,,04772257555,
星威快捷宾馆,,04778119577,15804806285
美凯隆商务宾馆,,04772280111,
金辉大酒店,,04778386666,
广源宾馆,,04774216240,
双满快捷宾馆,,04774778100,
华丽宾馆,,04778547926,15548199988
南山天都宾馆,,04773979099,
华荣宾馆,,04777214885,
伊和乌兰假日酒店,,04776288888,
佳馨宾馆,,04773972900,
亿阳宾馆,,04733121888,
嘉馨宾馆,,04774228422,
燕鑫宾馆,,15247794546,15389770780
尊客商务宾馆,,13734779345,
华丽宾馆（二店）,,15548199988,
鄂尔多斯皇冠假日酒店,,04778380888,
佳悦宾馆,,04776217420,
园丽网络宾馆,,04775115588,
万隆宾馆,,04773952166,
国泰宾馆（二店）,,04777216505,
久益居宾馆,,04774893168,
乌审宾馆,,04777216333,
东泓宾馆,,04776219989,
腾飞商务宾馆,,15374936366,
弘源大酒店,,04773952120,
国泰商务宾馆,,04777216588,
博源大酒店,,04778953077,
