姓,名,家庭手机,工作手机
阳光快捷宾馆,,03935758999,
名典假日宾馆,,03935866666,
君悦商务宾馆,,03935338168,13103936266
商务宾馆,,03935656886,
开利宾馆,,03938757222,
金水宾馆,,03935757888,
领秀宾馆,,13343639292,
京莘商务宾馆,,03935826666,5817777
慧豪宾馆,,18939397719,
凯旋主题宾馆,,03935332888,
名泉温泉度假村,,03935900555,5900557
格林豪泰商务酒店（濮阳范县人民大道板桥路店）,,03935331666,
宏福宾馆,,03935903888,
帝豪商务会所,,03935881888,
华庭商务宾馆,,03935767888,
河缘快捷宾馆,,18939354000,
范县宾馆,,03935266618,
怡佳宾馆,,17839304488,
科恒商务宾馆,,03935617777,
81宾馆,,03935253777,
弘达国际宾馆,,03935779666,5881777
天悦风雅酒店,,03935766666,
明鹏商务酒店,,03935867999,
海港之星商务宾馆,,03938166669,5976669
太平洋宾馆,,03935252099,
华都快捷宾馆,,03935855666,
白云宾馆,,03935822222,
友谊酒店,,03935631888,
入家快捷宾馆,,03935899666,
罗马商务休闲会馆,,03935816777,
桃园宾馆,,13939305266,13700808602
易居宾馆,,03935336777,18300657688
碧波湾洗浴广场（客房部）,,03935335555,
辛店宾馆,,03935858678,18639388871
金堤招待所,,15138501279,
北街祥云酒店,,13287045815,
家庭旅馆,,13939306036,
老城满城香酒店,,13561275662,
坤伦宾馆,,18939346178,
万合宾馆,,13938327218,
顺鑫旅馆,,15039370716,
喜迎宾馆,,13673016825,
新星招待所,,03931383927,
龙腾宾馆,,039310106666,8752222
黄河宾馆,,18749947866,
新新宾馆,,03935330596,
飞翔公寓,,039310106666,5880888
