姓,名,家庭手机,工作手机
祥瑞宾馆,,18953849730,18905483850
顺鑫缘宾馆,,18660840889,
嘉源宾馆,,15254893066,
鑫泰商务宾馆,,05386331480,18354837680
友谊宾馆,,05386979885,13954893568
360快捷酒店,,05383785988,
金地宾馆,,13295389685,15069861361
西城宾馆,,05383395558,18853839688
乐嘉商务宾馆,,13853827575,
永汇商务宾馆,,05386335088,
金宸宾馆,,05386337555,3288000
心怡商务宾馆（凤山西街店）,,05383213977,
安心宾馆,,05383210005,13562851858
温泉大酒店,,05386333288,
雅家快捷酒店,,05383388555,
新宿客主题商务宾馆（原碧海蓝天宾馆）,,05383396999,
驿程连锁酒店（肥城泰西大街店）,,05383788788,
得尔赛商务宾馆,,05383690566,
7天连锁酒店（泰安肥城龙山路店）,,05386381177,6385777
江南客栈,,05383282088,
格林豪泰酒店（肥城新城路店）,,05383880998,3870998
新米兰商务酒店,,15949812499,
莱茵假日酒店,,05383213902,
尚客优快捷酒店（肥城新城路店）,,05386332777,
金宸宾馆（汽车站店）,,05383217111,
尚客优连锁酒店（怡和园小区店）,,05385061777,
肥城凤凰游多多客栈,,05383361577,3361388
粮食局商务宾馆,,05383213139,
银座佳驿（泰安肥城汽车站店）,,05383388777,
嘉源宾馆,,13854888285,
嘉恒宾馆,,05383251222,
瞬和宾馆,,05382167276,
新世佳商务宾馆,,13953878242,13792112030
雅居宾馆,,15020829223,
四通宾馆,,05383250649,
如意宾馆,,05383218456,
驿程连锁酒店（汽车站店）,,05383788388,
Dream Life主题酒店公寓,,13953887322,
东方家宴宾馆,,05386971908,
御园宾馆（新城路店）,,05383213108,
文雅宾馆,,05383535178,
玖旺宾馆,,18854866119,
四季文华酒店,,05386829999,
富世康至尊商务会馆（特许连锁店）,,05386339000,6339060
如家快捷酒店（肥城上海路店）,,05383212111,
泰西宾馆,,05383231166,
肥城宝盛大酒店,,05383237888,3232777
肥城金利源宾馆,,05383229099,
聚贤宾馆,,13468052168,
巨新宾馆,,05383381035,
金杯大酒店（客房部）,,05383236666,
欣华宾馆,,13044018515,
肥城金缘商务宾馆,,18505487009,
利民宾馆,,05383270087,
迎君居宾馆,,05383780195,
城西宾馆,,13210696066,
莲发宾馆,,05383220072,
家富富侨商务宾馆,,05386384888,
速7快捷宾馆,,05383525777,
泰山新合作国际酒店,,05383386666,
肥城佳悦快捷酒店,,05383267777,
金都商务宾馆,,13805382088,
御园宾馆,,05383216400,
锦江新星商务酒店,,05383283999,
肥城饭店快捷酒店,,05382095668,
经贸宾馆,,05382161130,
爱佳商务宾馆,,05383366667,
金溢商务宾馆,,05383302555,
静雅商务宾馆,,05383216999,
鸿福运大酒店（客房部）,,05383460788,3460799
金禾宾馆,,05386330051,18954897189
肥城市机关招待所,,05383231199,
兴宾宾馆,,18353848101,
交通宾馆,,05383810777,
华盛宾馆,,05383253518,
鑫意宾馆,,05383214178,
御泰商务宾馆,,13468029086,
隆源商务宾馆,,05382165920,
弘和商务宾馆,,13581130366,
舒新宾馆,,15254805198,
金谊达商务宾馆,,05383380888,18318102815
聚宾楼宾馆,,05383220586,
平安宾馆,,13255385116,
吉源宾馆,,05383250808,
君城宾馆,,13853841201,
鑫源宾馆（钢厂路店）,,05383660983,
大众商务宾馆,,18854825758,
家和宾馆,,18754877767,
左邻右舍,,05383271887,
烟酒林春宾馆,,05383251883,
金嬴宾馆,,05383250586,
和颐宾馆,,13675389305,
尚客舒宾馆,,18888282000,
兴旺宾馆,,05383680564,
福华肥牛,,05383213977,
明红大酒店,,05383780569,
艾米小窝公寓,,15169836927,
亿家人宾馆,,15053875146,
鑫鑫商务宾馆,,05383691718,
千里缘宾馆,,05383830289,15153851771
肥城白庄矿馨意园,,13153877625,
金地来饭店旅馆,,15564823536,
盛嘉和商务宾馆,,18766648890,
友谊家宿舍,,13705489959,
益民宾馆,,13235387091,
市社招待所,,05383212609,
永明大酒店,,05383830075,
地税商务宾馆,,05383301038,
盛利宾馆,,13053818179,
鑫梦源宾馆,,05383610189,
顺丰大酒店,,05383830366,
金湖大酒店,,05383611899,
金时代宾馆,,05383210516,
顺鑫源宾馆,,15094791118,
鑫源聚宾馆,,05382165873,
顺源宾馆,,05383251168,
宾禄源旅馆,,05383381986,
世纪桃园大酒店,,05383363111,3363777
君客宾馆,,13370628408,
耀隆宾馆,,13854859922,
金顺宾馆,,05386332974,
龙泉宾馆,,13081471758,
芙蓉旅馆,,05382161444,
顺鑫宾馆,,05383223226,
迎君旅社,,13561755865,
青悦轩酒店,,18653882410,
碧海蓝天商务宾馆,,05383396999,
新海商务宾馆,,05383251572,
聚福园宾馆,,05386330134,
泰运宾馆登记处,,13655486729,
张店旅社,,05383629479,
金渊商务宾馆,,13583841417,
连锁酒店,,13011781779,
儒雅商务宾馆,,05383667666,
福聚宾馆,,05383211282,
雨泉宾馆,,05386330120,
金福润大酒店,,05383845688,3845588
安富园宾馆,,13675383117,
兴隆商务酒店,,05388337999,
