姓,名,家庭手机,工作手机
品尚便捷连锁酒店（友汇店）,,07707657999,
华都宾馆,,07702062266,
月亮湾商务宾馆,,07702871588,
华冠宾馆,,07707665233,7665933
鑫源宾馆,,07702236699,17677200626
雅逸酒店,,07706292888,6295885
好加便捷宾馆,,07702820266,
白鹭湾度假公寓,,07702225575,2225576
佳盈快捷酒店,,07702232199,2232088
阳光海岸乐佳家庭宾馆,,18577026329,
紫荆花城市酒店（东兴店）,,07707665556,
明悦宾馆,,07703230888,13307770070
金达商务酒店,,07707655899,
海悦商务酒店,,07703298288,
海城商务酒店,,07707685588,
华程之星酒店,,07702801988,
御龙湾酒店,,18907706323,
阳光假日酒店（兴东店）,,07702062388,
祥云快捷酒店,,07702239088,15807706771
天逸便捷酒店,,07707650066,7650600
意利时尚酒店,,07702236668,2282165
熙林格尔连锁酒店（奔驰分店）,,07702283888,
7天优品酒店（东兴东盟大道店）,,07707693688,7691688
微博快捷酒店（防城港公车店）,,07702829333,
凯瑞商务宾馆,,07702216566,
正源商务宾馆,,07707666388,
许银旅馆,,07703231338,2215868
星程商务宾馆,,07702228001,
美家客舍宾馆,,07703236668,
爱登商务酒店,,07702800896,
湘岳宾馆,,07703280718,18770350207
品尚便捷酒店（旅游集散中心店）,,07707660555,
许银旅馆（分店）,,07703258899,2215818
天之龙酒店,,07706106888,
北部湾商务宾馆,,07702212111,2225555
港湾印象连锁酒店,,07702202018,
宾利商务酒店,,07702837778,
品尚国际酒店,,07702062099,
得月楼宾馆,,07703252808,
城市之家商务酒店,,07707693833,
伊家客栈,,18807808222,13481711783
多米踏沙青年旅舍,,07707664440,
皇廷商务宾馆,,07702885558,
港丰商务酒店,,07703232888,
好又来商务酒店（民政店）,,07702080333,
蓝湾假日酒店,,07706109899,
耀阳宾馆,,07702229696,
长留客栈,,18077098147,
德城宾馆,,07702067688,2067588
金滩京缘宾馆,,07707222196,18077037293
和天下便捷酒店（港口区）,,07702820899,
海韵宾馆,,07702886111,6105111
福珍大酒店,,07707226788,7226799
光头海景酒店,,07702229888,
建雅酒店,,07702805078,
海尚假日酒店,,07702291588,2291599
金都大酒店,,07707666266,7666222
西湾海景酒店,,07702222288,
天虹宾馆,,07702882328,13977977850
洛美施酒店,,07702292899,2227399
城市便捷酒店（防城港群星大道店）,,07703288889,
品尚便捷连锁酒店（公车店）,,07702068088,
观潮客栈,,13517701473,
城市便捷酒店（东兴口岸店）,,07707688222,18078321427
时代假日酒店,,07703985299,
城市便捷酒店（防城港上思汽车站店）,,07708528699,18107801818
海之星酒店,,07702225588,
和程精品酒店,,07702227222,
熙林格尔连锁酒店（港口舒尔漫店）,,07702219988,
恒泰酒店（友谊路店）,,07702800888,
小希尔顿酒店,,07702880688,
金海宾馆,,07707222739,
航城商务酒店,,07702217999,
东兴金凤凰酒店,,07706292222,
富华商务酒店,,07702066888,
时代假日酒店,,07706295888,
国正酒店,,07706188666,
海润酒店,,07702821888,
蓝天大酒店,,07702718399,2716399
海滨快捷酒店,,07703396123,
电力宾馆（东门横街店）,,07702213666,2213888
良子大酒店,,07702229333,
海湾四季酒店,,07702216555,2216789
东华大酒店,,07707667999,18377032226
维也纳酒店（防城港深澳店）,,07702883988,18907701860
港都商务宾馆,,07702210888,
世纪利源酒店,,07702202222,
博海酒店,,07702880566,
泰悦豪庭公寓酒店,,07702806611,
唐兄齐合精品酒店,,07707678166,
城市便捷酒店（防城港兴港大道店）,,07702889998,
紫金豪大酒店,,07702292288,2292266
欧德精品酒店,,07702221111,
海岸时尚酒店,,07707223366,
金湾海景酒店,,07702068866,
四海友家度假公寓,,07702811999,18107701772
南城大酒店,,07703299999,3299966
井泉商务酒店,,07702292888,
骏怡连锁酒店（东兴店）,,07707683399,7690999
豪登国际大酒店,,07706268888,18077070016
希岸度假公寓酒店,,07706661866,
海岛城酒店,,07703391398,3391328
新皇庭酒店,,07702801222,15277039320
玲莉度假酒店,,07703398168,13877088052
澳皇之家海景公寓酒店,,07702803336,18907801488
金港宾馆,,07702236399,
兴桂宾馆,,07702281518,
怡梦园假日酒店,,07702225533,
东升快捷酒店,,07702283899,
海岸青旅,,13086701854,
海之蓝度假酒店,,18578972270,
小城之星连锁酒店（华都分店）,,07702719788,2719799
中景大酒店,,07706102222,
华逸商务宾馆,,07702825178,
长丰大酒店,,07703252999,3230128
熙林格尔连锁酒店（百联分店）,,07707653888,
国祥商务宾馆,,18677000080,
舒巢商务酒店,,07702203888,
鑫昌大酒店,,07706296888,
易诚快捷连锁酒店（那超店）,,07702237688,
宝珀酒店,,07706131666,6131999
羽家乐旅馆,,07707223883,13977061901
海中城假日大酒店,,07702215333,2225333
探索者主题公寓,,07707687676,13367707676
金滩君家乐,,18977060462,
名华宾馆,,07707668966,
海之梦公寓式酒店,,07702225361,13677708033
金生商务宾馆,,07707222991,13307807117
红树林青年旅舍,,13207703479,
滨海岸度假酒店,,07702225576,13836412528
金滩环岛假日宾馆,,07707222138,18607709519
海湾旅行公寓,,18377063399,
品尚便捷连锁酒店（口岸店）,,07707651855,
仙人湾别墅家庭公寓,,18577063153,13877039826
尚客优精选酒店,,07706165999,
京华大酒店,,07707685999,18177036288
白浪滩芳妹住宿,,15296161920,
万丽商务宾馆,,07707696199,
兴都酒店,,07702291345,
常和大酒店,,07702071666,
金海岸艺术酒店,,07706160888,2823411
博思湾酒店,,07702216777,
海边客栈,,13517701648,
防城港途家斯维登度假公寓阳光海岸店,,07702803336,
龙之都商务酒店,,07702828789,18377066070
六哥渔庄,,18277028263,
半岛酒店,,07706203666,
凯旋商务宾馆,,07708525688,
布兰妮出租公寓,,07702826626,
福润商务酒店,,07702280629,
瑞希酒店,,07706122777,
龙德大酒店,,07702813333,2816188
锦腾宾馆,,07702801718,
名湾商务宾馆,,07702882778,
龙升旅馆,,07708525527,
大自然住宿,,13557689362,
顺丰家庭旅馆,,17687407368,
全海景青年旅舍,,15300028256,
城市假日酒店,,07706295222,
星海湾宾馆,,18977007217,
蓝海湾宾馆,,07702227789,
永文宾馆,,07707222299,18977012299
七彩贝丘湾大酒店,,07707229699,7229299
金海大酒店,,07707223555,7222388
海富公寓,,07707225188,18977056826
心满客栈,,13977085476,15978174870
港湾宾馆,,07707222829,
利斯大酒店,,07706296666,
华星快捷连锁酒店（那超店）,,07702236588,18677007699
旅行客栈,,18907805188,18789683588
西海湾海景客栈,,18977008116,13907808168
缘来客栈,,15625561486,
君悦假日酒店,,07702225558,
阳光假日酒店（北仑店）,,07702062111,2062166
榄湾客栈,,13877026481,
大世界宾馆,,07707222919,13977008667
北部湾迎宾大酒店,,07702869999,2816888
经典商务酒店,,07702236885,15296151057
温馨家庭宾馆,,15296165577,
0770城市驿站,,07702871717,
博宾大酒店,,07707656188,7686108
典雅宾馆,,13707705535,
东旺精品酒店,,07707698555,
成林海湾洒店,,07707698222,
海香宾馆,,07707223188,13788204691
华桂商务宾馆,,07702703868,2703869
东兴万尾海岛客栈,,18607707323,
鹏凯酒店,,07707695566,
阳光假日酒店（城东店）,,07706297888,
海威度假酒店,,07703398333,
蓝海湾宾馆,,07708511866,
兴耀商务酒店,,07707659988,
尚尚连锁公寓,,18807709958,
琦林大酒店,,07703280999,
阳光海岸宾馆,,07707222469,
港城君沃友佳宾馆,,07702221999,
城之星快捷酒店,,07702837772,13647703335
豪斯特宾馆,,13597169469,15677718884
美客家度假公寓,,18707807003,
广鑫商务酒店,,07707671911,
航城商务宾馆,,07702067222,
城市便捷酒店（东兴北仑大道店）,,07707668818,
好尚便捷酒店,,07702827998,
广美商务宾馆,,07703281038,
豪盛快捷连锁酒店,,07707650806,7651606
巨源宾馆,,07702236667,
有缘宾馆,,13843980077,14797702539
源铭商务酒店,,13907809608,15296163488
凤凰树商务宾馆,,07707667666,
即来既往家庭公寓,,18677075840,13307602188
怡景假日公寓,,18577065831,
古村海景渔居客栈,,18977990272,
富利商务大酒店,,07703643333,
丽华宾馆（鱼峰路二店）,,07702201666,
九天海景公寓,,07702831889,
港悦家庭宾馆,,13377101033,
海屯客栈,,13481716990,
江平镇东萍旅馆,,07707227109,
新城宾馆,,07702407168,
金源商务宾馆,,07708516699,
一呆公寓,,07702861122,
金沙湾宾馆,,07707221188,18077088988
皇庭宾馆,,07702225486,
金龙江商务宾馆,,07706202999,
金滩乘风宾馆,,07707225168,13737044198
洋意宾馆,,18577002415,
宏盛宾馆,,07702283966,13755380917
海铭华酒店,,07707666228,
御湖兰心,,07702883522,2886122
海澜公寓,,07707226188,18907807198
莱茵商务宾馆,,18277071170,
东旺宾馆,,07702715566,
7天连锁酒店（防城港桃花湾广场店）,,07702806177,2806188
品尚便捷连锁酒店（东盟店）,,07707685808,
彼森堡假日酒店,,07706266688,
火凤凰酒店（海岛同盟店）,,07707223888,
海滨假日酒店,,07703396016,3396017
和顺宾馆,,07707686811,
金辉煌国际酒店,,07708521999,8528081
金滩渔家乐,,13977073300,
观海客栈,,13026906668,
创驿客栈,,18577026681,
维也纳国际酒店（东盟大道店）,,07706899999,
中国银行海景宾馆,,13647703452,
旭东隆商务酒店,,18578972288,
香江国际酒店,,07708526888,8527888
香婷渔家乐,,13977097370,
平平宾馆,,07702219533,
国泰商务宾馆,,07706296188,
黄氏渔家客栈,,13877015821,
明利宾馆,,07707223336,18277037888
华天便捷宾馆,,07703280398,18577066413
丽和宾馆,,07703282211,
天虹酒店,,07702805136,
金玉宾馆,,07702236188,
广湖宾馆,,07702885088,2215299
好来屋酒店名人会所,,07702236222,
