姓,名,家庭手机,工作手机
和美商务酒店（钟山路店）,,05395220137,
锦然宾馆,,05397177598,13468127298
心香商务快捷宾馆（原心安顺快捷酒店）,,05397171899,15376085290
费县如家商务宾馆（东方超市店）,,05395038168,15854942138
费县如家商务宾馆（龙门豪庭店）,,15615998681,15963922249
静雅自助公寓（山水绿城店）,,13905498623,
鲁鑫商务宾馆,,05397171666,
恒悦商务宾馆,,15965799558,
福地宾馆,,13853990526,13153967168
平等商务酒店,,05392113231,
东都商务宾馆,,05395010688,
芒果快捷酒店,,05395220165,
喜来顺商务宾馆,,05395883456,
鑫达宾馆,,05395028929,15588159317
都市118连锁酒店（探沂店）,,05397179118,13355008681
阳光100快捷酒店（探沂店）,,05395080777,
宜心商务宾馆,,05397178222,15853965699
静雅自助公寓,,13905498623,
家苑商务宾馆,,05395811111,
金凯利商务宾馆,,05395875089,
迎宾宾馆,,15966762709,13953972192
恒利源商务宾馆,,05395831528,15053956265
蓝海商务宾馆,,05395229555,
龙泉商务宾馆,,05392117488,13805499433
福园商务宾馆,,05395607008,
星月宾馆,,15063299062,
胜意商务宾馆,,05395798939,
银都商务酒店,,05397177999,
爱尚家自助公寓,,15106619116,
平等花园公寓,,13905498623,
尚客主题假日宾馆,,05395616382,15053956082
鑫成自住公寓（东方嘉园店）,,13754733086,
夜色休闲主题公寓,,15615391876,
锺山快捷酒店,,05395228692,
静雅自助公寓（东方超市店）,,13905498623,
汉庭（临沂费县店）,,05395023123,
王府商务宾馆,,05397175222,
速8酒店（费县新汽车站银源家居广场店）,,05395018258,
锦江之星（费县蓝色港湾店）,,05395686188-0,
吉康商务宾馆,,05395811123,15253902175
曼卡金苹果酒店（沂蒙文化主题酒店）,,05397171777,
速8酒店（费县探沂店）,,05395611777,
君豪宾馆,,13792958006,
费县格林豪泰酒店,,05395021888,
青春驿站（理工大学店）,,05397178779,13375495078
蒙台宾馆,,13954449728,
临沂蓝海钧华大饭店,,05397739999,
7天连锁酒店（费县建设路东方购物广场店）,,05392112779,18653991345
如家商务宾馆（天马店）,,05395038168,15963922249
阳光自助公寓（东方嘉苑店）,,15106670695,
凯悦宾馆,,13969910945,
佳禾自助公寓（银杏花园店）,,18763768285,
爱情公寓（东方嘉苑店）,,13697809252,
先农坛自助公寓,,15953966380,
馨悦自助公寓,,13235393052,
嘉缘自助公寓,,15069918209,
孟府宾馆,,13853955302,
如家快捷酒店（临沂费县和平路县政府店）,,05397173777,
永兴自助公寓（东方嘉苑店）,,15854959186,
万平商务酒店,,05395329603,18906338855
有间驿站宾馆,,18369553082,
君都商务酒店,,05395683369,
杏坛商务宾馆,,05395927666,
和平商务宾馆,,05395225999,
宜居自助公寓,,15963936928,
佳禾东方公寓（福源广场店）,,05397175001,
舒尔雅商务宾馆,,05395019888,5223777
阳光100快捷酒店（城北店）,,05395080666,5080777
有家宾馆,,13505396945,
汇鑫商务宾馆,,05395653789,
金王子快捷酒店,,05397177677,13563932138
新天居大酒店,,05395931777,
银都商务酒店（和平路店）,,05397179777,
菲菲自助公寓,,18769982171,
迎福宾馆,,15963329219,
宜家快捷酒店,,05395060888,
鑫成自住公寓,,13754733086,
蒙都商务宾馆,,05395871088,15553998002
乡村人家酒店,,13864906568,
栗乡人家农家乐,,13468083792,
雅苑自助公寓（先农坛小区店）,,15969957678,
益达丽商务宾馆,,05395220222,
浪漫满屋公寓,,15106619116,
永兴自助公寓（西城花园店）,,15854959186,
隽兰民宿,,05397176000,15953156799
王子快捷酒店,,05397171577,
好客来宾馆,,05395790360,15020963868
润达宾馆,,05395012130,
在水一方休闲会馆（客房部）,,05393058111,
丽都假日酒店,,05395678888,5687777
阳光怡景休闲宾馆,,05395050678,
驿站自助公寓,,15266637735,
品香居大酒店,,05395037369,
和平社区宾馆,,15910160778,
俊源宾馆,,13583932308,
华悦宾馆,,13013532783,
华庭宾馆,,05395026867,13563932238
费县如家商务宾馆,,13371299916,13375685826
华联宾馆,,05397174888,
费县如家商务宾馆,,05395229788,
亿客宾馆,,13854912549,17853979003
盛鑫宾馆,,13969922676,
阳光100快捷酒店（总店）,,05395226888,
东方宾馆（胜利路店）,,05395229898,
尚客优快捷酒店（临沂费县建设路店）,,05397175777,
都市118连锁酒店（费县店）,,05395057888,
新时代宾馆,,05395019616,
和平家园饭店,,18669665907,
新新自助公寓,,15206808005,
鑫达自助公寓（和平小区店）,,13020652001,
驿站自助公寓（银杏花园店）,,15266637735,
爱客宾馆,,13256586779,
大田庄国际度假酒店,,05395857666,5821818
超越宾馆,,05392113212,
金鑫宾馆,,18315610916,
慧源宾馆,,15753993921,
宇洋宾馆,,13583902096,
鸿翔宾馆,,15589011938,
福临宾馆,,15866980402,
红色沂蒙生态山庄,,18657502100,
鑫洋宾馆,,17853955016,
福瑞宾馆,,15106392648,
今安居宾馆,,05395021269,
名都宾馆,,05394536855,
宜居自助公寓,,15963936928,
润发旅社,,13013517459,
时代宾馆,,05395020516,
友谊商务宾馆,,13581087686,
富惠康宾馆,,18764954393,
先农坛宾馆,,05395058566,
乐家自主公寓（费县东方嘉园店）,,15762911256,
洪都宾馆,,15053980945,
晨光大酒店,,13188713260,15505490080
老湘亲农家客栈,,13562925292,
金诚商务宾馆,,13953976097,
恒基商务宾馆,,05395603999,
客来缘宾馆,,15692396317,
家福翔宾馆,,15092910112,
福林宾馆,,13225498565,
紫薇人家农家客栈,,13853911163,
君驿快捷酒店,,05395612456,5612555
成龙宾馆,,18369306781,
龙云山庄,,15615799199,
家和大酒店,,15806932188,
天蒙湖度假村,,05395705666,
文化宾馆,,15020367863,
康辉宾馆,,15318598912,
