姓,名,家庭手机,工作手机
封丘县七天愉家宾馆,,03738351999,
湛家院,,03738287771,
旺角快捷酒店,,03738385666,
乐居网络宾馆,,03738282662,5950123
封丘服务区宾馆,,15093998839,
尚客优连锁酒店（新乡封丘府南路店）,,03738396999,
时尚假日宾馆,,03738576688,15736937924
平安宾馆,,15225929125,
轻工宾馆,,03738286089,
好友宾馆,,03738585111,13598717538
文玉宾馆（封丘店）,,03738558222,13837357982
怡清园宾馆,,03738291088,13937341114
宜家时尚宾馆,,03738500666,15090366099
佰度快捷宾馆,,03738300999,
爱尚客酒店,,03738282777,8399066
星月快捷酒店,,03735951818,15937120158
新马泰时尚酒店,,03738249999,
金海岸温泉洗浴会所,,03738387888,
东方宾馆,,03738299979,13703438660
龙人酒店,,13460482960,
罗马假日主题酒店,,03738519999,
新马泰精品酒店,,03738370888,
三运酒店,,03738555666,8555777
一笑家园宾馆,,18790530000,
好友公寓（南店）,,15670599789,
新天地温泉洗浴会所,,03738575888,
金龙宾馆,,03738290386,15993099111
阳光宾馆,,03738281102,8284538
鸿福来宾馆,,03738468988,
万源旅社,,15137311346,
开达时尚酒店,,03738255999,
华清温泉住宿,,03738258911,
宋都驿站,,03738379999,
新乡黄金贵足养生会所,,03737092666,13781979573
黄池公园宾馆,,03738292583,
迅捷商务宾馆,,03738532111,
雅居宾馆,,03737073299,15236463597
黄池商务酒店,,03738362222,8288388
陈桥驿酒店,,03738285566,
黄池宾馆,,03738292844,
圣洁宾馆,,03738561111,
宏兴大酒店,,03738298999,
封邱宾馆,,400833-6699,
永吉宾馆,,03738555553,
康乐园商务会所,,03738293333,
红高粮商务,,03738270920,
儒家宾馆,,03738525678,
御槐国际饭店,,03738522222,
博文网络宾馆,,03738282561,
长香居农家院,,03735957577,
丽都商务宾馆,,03738583888,18530726767
百顺温泉酒店,,03738505666,
小峰大酒店,,13462215656,
亿鑫宾馆,,03738270630,18537329221
舒佳快捷宾馆,,03737096266,
金福来宾馆,,03738452999,
宜佳宾馆,,03738528888,
龙凤阁洗浴宾馆,,03738286381,
蓝天宾馆,,03738292330,
长虹宾馆（北干道）,,03738286221,
大福宾馆,,03738284566,
豫龙宾馆,,03738287068,8326666
星池宾馆,,03738287779,
北干道路酒店,,03738581777,
宾祥网络宾馆,,03738271333,
兴达宾馆,,15637370809,
芒果商务,,03738588555,
利群宾馆,,15516618951,
福鑫乐宾馆,,13598637855,
汇洋宾馆,,13639632848,
万家网络宾馆,,03738282561,
御园宾馆,,03738294667,
卫民宾馆,,03738328777,
单家宾馆,,03738281629,
商业街宾馆,,15716688881,
富兴宾馆,,03738368886,
聚鑫宾馆,,03738555556,
国营宾馆,,03738291630,
兄弟宾馆,,18638303296,
鑫源宾馆,,03738480777,
贵有酒店,,03738298996,
祥和宾馆,,13837357959,
锦绣宾馆,,03738285577,
温馨宾馆,,18238755269,
清香楼宾馆,,03738361708,
