姓,名,家庭手机,工作手机
凤南旅社,,13914803319,15052093535
天使恋人主题酒店,,051681199999,13952212863
南苑旅馆,,13921770105,
馨缘宾馆,,051689269588,
丰聚宾馆,,051689269288,18120030205
一千零一夜假日宾馆,,051661222777,15862191222
革新旅社,,051689237089,
宏祥宾馆,,15062006515,
金利商务宾馆（汽车站店）,,051689269688,
永顺旅社,,13852113559,
润通宾馆,,051686352212,
乾隆居宾馆,,051689159769,
汉王宾馆（丰县汽车站店）,,18751715566,18652218088
永昌宾馆,,051689224091,
汇丰宾馆,,15852285259,13952136659
友缘旅社,,13236000068,
鸿昌旅社,,13236000068,
梨园宾馆,,13814407252,
丰县汉煌快捷商务宾馆,,051689268889,89368889
博苑宾馆,,051689576888,
阳光宾馆,,13914806708,
茗流宾馆,,051689376789,
顺腾宾馆,,051689360989,17712088882
皇家快捷宾馆,,051669929992,13151796787
善缘宾馆（分店）,,051689488616,
北郊商务宾馆,,051689487779,
梦金园商务宾馆,,051689177999,
易佰连锁旅店（丰县汽车站刘邦广场店）,,051668566288,
河岸宾馆,,051689226588,13912010985
迎宾馆,,051689230786,
迪欧商务宾馆,,051689258555,
爱家快捷宾馆,,051669920008,
润家商务宾馆,,051687681666,
天鹰快捷宾馆,,13225288817,13912019140
金色家园商务快捷宾馆,,051689229111,
尚客优快捷酒店（丰县汽车站店）,,051689133999,
都市118连锁酒店（凤鸣园店）,,051689292666,
骏怡连锁酒店（徐州丰县汽车站店）,,051689520999,13914094461
恒苑宾馆,,051689488135,
陶然翠大酒店,,051689527777,
格林豪泰酒店（丰县刘邦广场店）,,051667110010,
IU酒店（徐州丰县刘邦广场店）,,051689519888,
汉庭徐州丰县酒店,,051689568666,
7天连锁酒店（徐州丰县中阳大道店）,,051689376777,
喜乐居商务宾馆,,051689119777,
派酒店（丰县汽车站店）,,051689207219,
御景园88号大酒店,,051689169966,
66商务酒店,,051667768666,
格林豪泰商务酒店（丰县汽车站解放东路店）,,051689261111,
99旅馆连锁（丰县汽车站店）,,051689117799,
星海天大酒店,,051668566677,
北苑村宾馆,,051681118686,
荷花楼商务宾馆,,051689201888,18168250190
金品都商务宾馆,,051689312888,
速8酒店（丰县刘邦广场店）,,051680140018,
尚客优连锁酒店（丰县中阳大道店）,,051689169889,
状元故里商务酒店,,18115720777,
善缘宾馆（总店）,,051686355586,
佳源宾馆,,15862211866,
如家快捷酒店（徐州丰县中阳大道店）,,051689383333,
建国旅馆,,13815362091,13655210187
天喜宾馆,,051689288568,
云庭商务宾馆,,051689360818,
馨梦园宾馆,,051680177776,
松惠商务宾馆,,051681128878,
香格里商务宾馆,,051689285111,13236009638
尚客优精选酒店（丰县高盛国际花园城店）,,051689551111,
帝豪大酒店（客房部）,,051669091111,
我家宾馆,,051689224235,
沿河宾馆,,051689322220,13775800288
润鹏宾馆,,051681128289,
普瑞菲特主题宾馆,,051689130000,
普瑞菲特主题宾馆（二部）,,051689182777,18061137585
天畅宾馆,,051689338828,
增辉快捷宾馆,,051689161284,
喜悦宾馆,,051689239887,
君悦商务宾馆,,051689530669,15162232333
锦江之星（徐州丰县汽车站店）,,051689191111,
名仁居商务宾馆,,051689416888,
三温暖宾馆,,051680170199,
花园宾馆（南关店）,,051689177188,18061137886
花园宾馆（北关店）,,051689166177,15852019219
彩虹宾馆,,051689300396,18752586088
银龙宾馆,,051689122555,
丰都宾馆,,051689222196,
汉宫商务宾馆,,051689198666,18168218777
金桥旅馆,,13814403011,
龙门宾馆,,15250933007,
朗悦宾馆,,051668890808,68890806
振大国际酒店,,051668896666,
宏远商务宾馆,,051689353333,
银恒宾馆,,051689377999,13655214000
汉园宾馆,,18260703388,13327936679
金富豪,,051681128888,
聚福旅馆,,13815362091,
祥晨宾馆,,051689239587,
馨港宾馆,,15251477578,
百通旅馆,,051689222866,
如意宾馆,,051689218879,
同仁居大酒店,,051689560888,
亿嘉宾馆,,051689117988,
恒源旅社,,15162062323,
金航宾馆,,051689488167,
雅馨园宾馆,,051689268877,
史家客店,,051689351131,
龙祥盛海宾馆,,051689422111,
良友宾馆,,15162295669,
中阳868旅馆,,051689152868,13921770267
镇南宾馆,,051689357718,
赵庄镇镇中宾馆,,15062016866,
浴池宾馆,,13505228789,
金富豪大酒店,,051668893333,
宜家宾馆,,400833-6699,
尚居快捷时尚商务宾馆,,051689535555,
海玉烟酒店,,13505227658,15152097232
方圆宾馆,,13852011698,
金海宾馆,,13505228557,
好来客宾馆,,15105228785,
中心大酒店,,051689388888,
赵庄镇新丰宾馆,,15952215998,
鸿鑫商务宾馆,,051689182669,
金都宾馆,,051689234566,
梁寨宾馆,,15262026031,
丰顺故乡居宾馆,,051689116999,
仁和宾馆,,18952214785,
蓝亚宾馆,,051689206118,
悦客来宾馆,,15162095253,
徐州丰县汉庭商务宾馆,,051689337888,
慧琳宾馆,,051689526699,
梦园宾馆,,400833-6699,
枫林宾馆,,051689208299,13092355385
馨语宾馆,,051689236686,
隆华商务宾馆,,051689538777,
梁寨青年旅舍,,18361373618,
汉府大酒店,,05163113333,
四季宾馆,,051689152626,
天悦宾馆,,051689322777,
隆源宾馆,,051686350708,
凤翔宾馆,,051689206222,
诚信旅社,,15298704050,
昌林宾馆,,13775804886,
梁寨渊子湖酒店,,051689361117,89361116
梦洋宾馆,,13921772798,13921778858
福隆宾馆,,051689217728,
富仕宾馆,,051689303758,
旺角宾馆,,18352299987,
丰县凤城宾馆,,051689199999,
嘉诚宾馆,,13921771976,
王沟宾馆,,051689125588,
巨元宾馆,,051689313399,
聚龙宾馆,,18251712184,
汤姆熊网络会所,,051689228777,
友谊宾馆,,051689537777,
富丽华商务宾馆,,051689152688,
东方大厦宾馆,,051686350598,
假日宾馆,,051689182777,
天乐宾馆,,051689590999,
天穆宾馆,,18251786652,
常峰商务宾馆,,051689259218,
君悦宾馆,,13905228901,
惠宾旅社,,051689182688,
箔市旅馆,,13605228656,
鸿发元宾馆,,051689219866,
和谐快捷宾馆,,051689322222,
好思家快捷宾馆,,051689186688,
西苑商务快捷宾馆,,051687689666,
汉之韵宾馆,,051689207088,
汉丰宾馆,,051689151698,
同福宾馆,,13921778882,
鸿德商务宾馆,,051689539555,
望湖宾馆,,15152095383,
金福宾馆,,051681128555,
文德轩宾馆,,051689546777,
范楼宾馆,,15252119868,
宾馆,,13921772737,
鑫佳缘宾馆,,051689222293,15152099991
鸿如宾馆,,051689221875,
庄苑宾馆,,051689488155,15105226992
东盛宾馆,,13852019309,
新区商务酒店,,051680177555,
舒雅宾馆,,051666776819,
宏缘宾馆,,18913958809,
全家福宾馆,,13179725638,
嘉和宾馆,,18921777374,
温馨宾馆,,051689488602,
全福宾馆,,051681128555,13305229638
快捷商务宾馆,,13655213797,
中华商务宾馆,,051689531099,13952128693
恒祥宾馆（幸福路）,,051688387928,
金悦宾馆,,13218563356,
飞洋宾馆,,051689208986,13852113666
梓阳客房,,13952215052,
长城宾馆,,051689249777,
工农宾馆,,15852281276,
祥恒宾馆,,051686355079,
飞鸿旅馆,,13092356878,
汉地旅馆,,051689227979,13270263639
金源宾馆,,051689269718,
蓝天宾馆,,051689547777,
聚苑宾馆,,15050055757,
财鑫大酒店,,051689285899,
瑞园宾馆,,051689227778,
北海宾馆,,051689206786,
永佳旅馆,,15852288125,
华驿酒店（徐州丰县凤鸣园店）,,051689292666,
