姓,名,家庭手机,工作手机
云天宾馆,,02372251696,15330503079
逸雅宾馆,,02372312220,
顺安招待所,,02372260166,18983592727
怡家人宾馆,,02385668488,
博皓宾馆,,02372305818,
乔普商务酒店,,02372713889,
望江阁宾馆,,02372887997,
天鹤宾馆,,02372285076,
舒然宾馆,,02385669906,
奥星商务酒店,,02372259222,
佳安宾馆,,02372777999,
东环福宾馆,,02385668776,
重庆众康宾馆,,02385676162,
泰皇酒店,,02372222266,
聚朋宾馆,,02387883266,
7天连锁酒店（重庆涪陵南门山步行街店）,,02387869777,
36°宾馆,,02372228456,15123668777
薪阳宾馆,,02372866500,15730792257
佳馨宾馆,,02385696118,
三环公寓,,02372882877,
茶花宾馆,,02385662677,
乐其公寓,,18716830011,
体育宾馆,,02364688188,
金秋宾馆（兴华中路店）,,02372385852,
聚龙宾馆,,02385671333,
重庆爱来屋宾馆,,02372240189,13320367368
星海湖宾馆,,02372165579,13896671331
安信居宾馆,,02372243888,13452519960
四环公寓,,02372372656,
新区攀华宾馆,,02372100555,
新时尚宾馆,,02372100588,
广场宾馆,,02372238699,
驰鑫商务酒店,,02372775999,18315130002
君悦来宾馆,,02385668866,15923712328
美心酒店,,02372116666,
星都宾馆,,02372887088,
重庆涪陵新区酒店,,02372313333,
宏桥商务宾馆,,02387878898,
尚丽酒店,,02372178288,72167888
辰阳宾馆,,02372308599,
新马宾馆,,02372105588,
重庆涪陵美居酒店,,02372166888,
天美酒店,,02385713777,
涪陵饭店,,02372259999,
况二商务酒店,,02372737222,
广泰宾馆,,02372261177,
客佳宾馆,,02385697658,
涛达宾馆,,13340366009,
开源商务酒店,,02385669666,87868909
重庆澜庭酒店,,02372369977,
重庆建涪宾馆,,02372299999,
依斯顿酒店,,02372377888,
佳豪宾馆,,02372183091,
鹿特丹酒店,,02372248888,
鸿阳宾馆,,02372182101,15095833217
佰房宾馆,,02372259595,
金科大酒店（涪陵店）,,02385677777,
静怡休闲山庄,,13320388859,13996893776
腾博宾馆,,02372279578,13368189373
海龙宾馆,,02387875888,
涪陵喜多宾馆,,02387887188,
雅阁公寓,,02385690699,
米高商务宾馆,,02372221955,72228393
云1酒店,,02372319666,72317666
7天优品酒店（重庆涪陵滨江大道店）,,02372777288,72777277
优景酒店,,02387869777,
宏富宾馆,,02385663655,
花谷人家宾馆,,18054257795,
元华商务宾馆,,02385662766,
泰来宾馆,,02387882777,
江夏宾馆,,02385682663,
四季花园酒店,,02372890698,
机关招待所,,02385668778,13101107318
天池宾馆,,02372182777,
雅居宾馆,,02385710008,
博能宾馆,,18680950177,
洪钟宾馆,,13012329010,
开心公寓,,18983373917,
安居酒店,,02372268999,
弘马公寓A区,,02372100111,
琳翔宾馆,,02385663218,
名俞酒店,,02387886555,
比家美宾馆,,02372100125,
联丰宾馆,,02372277555,
果然宾馆,,02381811508,18983323116
春雨宾馆,,02387887677,
浩瀚宾馆,,02372227958,
弘马公寓,,02372100298,
鑫犇商务酒店,,02372111133,
可普商务宾馆,,02387878999,
渝涪雲翔宾馆,,02385697608,
朋信宾馆,,02385694111,
元祥宾馆,,02372222022,
麒鸿宾馆,,02385675777,
海纳商务酒店,,02372206006,
新大兴归来商务宾馆,,02387800881,13896691991
聚贤商务酒店,,02372761116,
鑫豪宾馆,,02372187087,
恒鹏酒店,,02372866777,
博雅宾馆,,02372239987,
金紫馨假日酒店,,02381810999,15025658999
虹懿宾馆,,02372285138,18983310688
金座宾馆,,02387880018,
开心宾馆,,02372309075,
建鑫宾馆,,02372226688,
美鑫宾馆,,02385663166,
洪崧宾馆,,02372183083,
城市之光公寓,,02372216688,
米兰风尚酒店（兴华中路店）,,02372211888,
铭雨大酒店,,02387888888,
辉煌宾馆,,02372262077,72262007
金来玛宾馆,,02385683222,85688288
吉峰酒店,,02372880777,18323005422
石咀旅馆,,02385662631,
龙锦宾馆,,02385669320,
家庭公寓,,15826217599,
爱鑫假日宾馆,,02372187078,
宜梦园宾馆,,02372182286,18723859232
雅都宾馆,,02372165777,
三林宾馆,,02372885882,72872345
友善宾馆,,02372180228,15923658677
罗兰商务宾馆,,02372228822,
大盛宾馆,,02385668388,13527368715
武陵山寨大酒店,,02372710007,
东城宾馆,,02372206216,
丽都商务酒店,,02372377775,
银融宾馆,,02385691666,
福地宾馆,,02385668228,
赫拉主题酒店,,02372790199,
艾莱德公寓（易家坝店）,,02372228823,
重庆芳草园大酒店,,02372755112,13996722220
天府宾馆,,02372863252,13212465873
滨岛宾馆,,02385663385,
丽缘宾馆,,02372262999,15025652777
五洲宾馆,,02372223699,
鸿都宾馆,,02385681234,15123691115
皇佳宾馆,,02372889444,
学府宾馆,,02372790186,18223107785
