姓,名,家庭手机,工作手机
榆班宾馆,,13815633368,
客缘旅社,,051886210632,13585298681
99旅馆连锁（连云港赣榆华中路店）,,051886268119,
比家美快捷旅馆,,051886296899,
怡苑宾馆,,051887110011,
金桔子宾馆,,051886688898,
假日宾馆,,051886826222,13611552016
99旅馆连锁（连云港赣榆观澜国际店）,,051886862899,
风云宾馆,,051886687775,13912150620
君瑞宾馆,,051886296399,
金鹰宾馆（东关路店）,,051886319566,
金马宾馆（东关路店）（原青口宾馆）,,051886888699,
祥云旅馆,,051886218232,
双阳旅馆,,15251238393,
麟鑫旅馆,,13739120096,
诺美精品酒店,,051886805999,
快捷宾馆,,051886200002,13815630838
璞玉酒店,,051886563333,
迎祥宾馆,,051886687771,
天赐府宾馆,,051886216558,
相约金元宾馆,,15861280681,
万运国际酒店,,051886039999,
金洋宾馆（快捷酒店）,,051886890766,18805128566
668快捷酒店,,051880810700,
芭堤雅宾馆,,051886296466,
甜梦缘旅馆,,051886218357,13675277725
港城宾馆,,051886413735,13851242984
紫驿精品主题酒店,,051885901111,
宝生宾馆,,051883025566,15371652300
如家快捷酒店（连云港赣榆华中路时代广场店）,,051886868333-9,
青苹果酒店式公寓,,051886201999,
海霞星苑（总店）,,051886269897,
尚客优快捷酒店（连云港赣榆汽车总站店）,,051886031118,
萃雅商务宾馆,,051886310989,
汉庭（连云港赣榆时代广场店）（原杭州湾大酒店）,,051886780888,
汉庭（连云港赣榆汽车站店）,,051885909999,
碧海国际酒店,,051886989999,86980888
留君客栈,,13815466020,
东航海泰商务精品酒店,,051886908999,15251239688
尚客优快捷酒店（连云港赣榆镇海西路奥邦城店）,,051886965555,
金华主题宾馆,,051886282296,
唯爱宾馆,,18360512166,
都市118连锁酒店（东关路店）,,051886698666,
杏坛大酒店,,051886377777,
四季春旅馆,,051886995718,
桃源宾馆,,051886999888,
供销旅社,,051886481582,13115151257
好德招待所,,051886223648,
润达商务酒店,,051886262222,
新潮宾馆,,18961387998,15371668029
7天优品酒店（连云港赣榆东关路深港步行街店）,,051885901777,
新尚宾馆,,051886292878,13775425918
文泰宾馆,,051886891260,18936660636
望海山庄,,051886902111,18936561118
格林豪泰快捷酒店（赣榆华中路店）（原怡发酒店）,,051887096666,
瑞鑫酒店,,15229451910,
恒阳宾馆,,051886862029,13912179829
16家宾馆,,051886396888,
维尼斯风尚酒店,,051886688666,
浪漫满屋宾馆（原春光小城宾馆）,,051886681213,15371660876
好哥俩旅馆,,13912174415,
润丰宾馆,,051886788766,
青年单身公寓（深港步行街店）,,18861315599,
蓝天宾馆,,051886397777,
永祥宾馆,,051886688809,13151703655
叁峰大酒店,,13655143003,
竹青商务宾馆,,051886995888,
富强国际大酒店,,051886006666,86009999
天年宾馆,,051886297888,15371668234
怡居宾馆,,051885903999,
东渡坊生态园,,051886005555,
建伍宾馆,,051886951777,86951666
金丰旅馆,,15380690977,
申园宾馆,,051886263381,
爱航快捷酒店,,051886683899,
北晨招待所,,051886229850,13675278487
唯家主题宾馆,,051886008600,
远大快捷宾馆,,051886269328,13357878719
天业宾馆,,051886213166,
连云港和安湖国际大酒店,,051886981111,86982222
天奉翔宾馆,,051886218899,
阳光休闲花园（客房部）,,15252842336,
赣榆国际大酒店,,051886668666,
佳年华快捷宾馆,,051886216898,
尚客优快捷酒店（连云港赣榆汽车南站店）,,051886283318,
新时代宾馆,,051886267888,
连云港金苑大酒店,,051886666666,
海头宾馆,,051886898999,13805127348
华丰宾馆,,051886365678,
金玉宾馆（青口店）,,051886266615,13912176080
文峰宾馆,,051886497777,15312109161
普陀山大酒店,,051886298888,
金珠宾馆,,051886263006,
海云宾馆,,13912176080,
汉庭快捷旅馆,,051886237911,
金龙宾馆（华中南路店）,,051886297779,
赣榆区青口镇如家旅馆,,051886688500,13675276650
石桥生态园大酒店,,051886623333,
和园宾馆,,18861312353,
天宇宾馆,,15605128909,
福源青年单身公寓（西关路店）,,18861315599,
同城快捷宾馆,,051887118158,
盛源大酒店（新时代大道店）,,051886419831,
华宇旅馆,,13951493288,
北苑旅馆,,051886216848,
新艺宾馆,,400833-6699,
顺发旅馆,,13851240900,
古河套大酒店,,18352136881,
富荣大酒店,,051886356617,13851209326
客安居旅馆,,051886731008,
梦香居公寓,,051886222667,
盛安旅馆,,13225207903,
四合院酒店,,051886688777,
运祥旅社,,18795568550,15005126935
永恒酒店,,13961316889,
君来旅馆,,051886287921,
金华酒店,,051887181788,
帝博酒店,,051886219269,
建北招待所,,15862182111,
元梅大酒店,,051886591790,
天元大酒店,,051886422178,
丰传富大酒店,,051886985888,
新兴大酒店,,051886431019,
富兴宾馆,,13675277072,
长青酒店,,051886213205,13851391888
通园酒店,,15951256006,
朋兴酒店,,18352158808,
母婴之家,,13655145875,
茂兰大酒店,,051886851975,13705131565
如意单身公寓,,051886239699,
润昌商务酒店,,051886852777,
东泰宾馆,,051886485118,
双盛酒店宾馆,,15050927266,
义和酒家,,18762730777,
童家快捷旅馆,,15005133689,
