姓,名,家庭手机,工作手机
中成宾馆,,18270709091,
南康贵阳旅馆,,18816471721,
赣龙大酒店,,07978269188,8269160
中广商务宾馆（张家围路店）,,07975550719,
琴江大酒店,,07978165186,
遂川旅馆,,18720702196,
员工商务宾馆,,07978373050,
君悦宾馆,,15179760155,
三和宾馆,,07978300586,15270600003
中南商务酒店,,07975555688,
楼上楼大酒店,,13407979369,
东河宾馆,,13763971200,15970132167
瑞缘宾馆,,07976698359,
遇见青年旅舍,,15387876960,13576659017
嘉顺宾馆,,07976619726,
万豪旅馆,,07976630698,
怡景宾馆,,07977187688,
港湾商务宾馆,,07978292288,
天天宾馆,,13870796066,
湖江假日酒店,,07974566628,
尚客优快捷酒店（赣州开发区金岭西路店）,,07978185666,
君嘉酒店.万福店,,07978082713,8356099
蓝波精品酒店,,07978186777,
安泰商务宾馆,,07975030688,13763962806
步步高时尚酒店,,07978187333,5168427
悦豪酒店,,07974523888,
万豪大酒店,,07978166668,
黄金洲大酒店,,07972130888,
安元酒店,,07978126333,
大众旅馆,,18162161602,
维雅酒店,,07975165000,15083577688
吴姐青年宾馆（火车站店）,,13697016068,
尚客优快捷酒店（赣州章贡外滩一号火车站店）,,07977318888,
宇翔宾馆,,15350379889,
福康宾馆,,15870735188,
福星旅馆,,07976621509,
刘姐家庭客栈,,13970797369,
韩信宾馆,,18942275711,
迎宾旅社,,07976633189,
金福宾馆,,07974449132,18170783566
实惠住宿,,13767719232,
嘉新繁荣宾馆,,07978151982,
舒惠宾馆,,18270076578,
老乡旅馆,,07978082173,13097311405
尚客优精选酒店（文明大道汽车站店）,,07975036999,
君嘉快捷酒店（文明店）,,07978158013,8158666
明珠大酒店,,07976618899,
新理念假日酒店,,07977383333,
老少宾馆（火车站店）,,15083765655,
赣韩旅馆,,15297883391,
中原酒店,,13766377394,
友谊宾馆,,07978223118,15374373089
银河宾馆（中联商城店）,,07977078088,13979726128
锦程旅馆,,15970093939,
中联宾馆商务二部,,07978116630,
樱花酒店,,07974422668,
平价宾馆,,07976639279,15083754962
君临商务宾馆,,07976631116,
亿万商务宾馆,,07976610055,15170727657
瑞恒宾馆,,13507977832,
好又来宾馆,,07976632666,
星云时尚宾馆,,07976612500,
瑞恒客栈,,15879762343,
龙都宾馆,,07976617099,15970830028
平安楼,,07976633262,
悦莱商务宾馆,,18720786081,
万鑫平价宾馆,,15179715795,
康龙旅馆,,07976690228,
双龙宾馆,,07974438188,
嘉源商务宾馆,,07977887353,
金辉商务宾馆,,07976618158,
沙河商务宾馆,,07978157588,15297833709
西湖商务宾馆,,07978255559,
金岭商务宾馆,,07978377338,
宜家宾馆,,07978176398,
一米阳光客栈,,07978309616,
