姓,名,家庭手机,工作手机
贡嘎客栈,,18990482179,
疆卓民居（原藏漂单骑驿站）,,13111815679,
重庆家常菜,,13883926555,
海螺益宏商务酒店,,08363268037,
八美山庄,,08367155666,
勇雪客栈,,13568678952,
泽仁商务酒店,,08362811818,18015799234
运通宾馆,,08363151688,
七户优品青年旅舍,,18602301588,
新都桥雅居商务宾馆,,08362866548,
老情缘客栈,,08362828619,
滨河旅馆,,13568679699,
情城客栈,,13990455197,
新源客栈,,13551980974,
德吉瓦接待站,,13568694020,
祥瑞公寓,,08362821681,
海螺沟祥易农庄,,08363266198,
泸州公寓,,13551993387,
欧阳商务酒店,,13086358464,15387652612
李三妹客栈,,18015782352,
象牙山假日酒店（亚丁景区店）,,18783624466,
七户优品天岚别院,,18602301588,
星相映客栈,,18090423183,
跑马山宾馆,,08362835888,
塔公草原大酒店,,08362866323,2868888
睿鑫酒店,,13350457939,
格回民居,,13618139392,
扎西旅游酒店,,08365724999,13700651253
馨荣商务宾馆,,13568293196,
海螺沟万福宾馆,,08363268659,18990487197
雪缘宾馆,,13541894189,
格桑美朵丽森酒店（亚丁打冲店）,,13551237657,18915616188
桃园阁客栈,,18145017068,
海螺沟情歌客栈,,08363266095,13568681424
平安旅社,,13684490900,15892488171
旭雪缘饭店,,13541892018,
海螺沟午后阳光客栈,,08363266662,18383632287
海螺沟海兴客栈,,08363266628,
海螺沟一米阳光青年旅舍,,13698143143,
海螺沟阳光青年客栈,,15351491809,
四季客栈,,18283620923,
华美客栈,,18090124809,
甘孜逸安旅社,,15884054858,
金都快捷酒店,,18783620502,
海乐商务酒店,,15281581290,
易兴居商务酒店,,18190229187,
磨西客栈,,15884068255,
金铭公寓,,13990452220,
恒洋宾馆,,08363124666,15939189123
金银山客栈,,13684496749,
一念时光旅舍,,08363266033,
臣翔酒店,,18015782597,
海螺沟贡嘎山酒家,,08363266558,
雅拉人家,,13111812444,
古桥宾馆,,08363160899,15183609966
万豪商务宾馆,,13541465445,
渝州宾馆,,18623381586,
海螺沟静时光客栈,,18783634770,18990489792
沁玉酒店,,13568289922,
孜美假日宾馆,,18882656226,
四海一家商务酒店,,08363151066,15680767616
