姓,名,家庭手机,工作手机
汇源宾馆,,09707649999,13209707797
餐饮城商务宾馆,,09707672228,13897302016
锦绣假日宾馆,,09708619288,
花园农家宾馆,,13007756911,
锦源宾馆,,09708673456,13909703582
天运宾馆,,09707674886,13299706958
红泉农家公寓,,15909706533,
富华宾馆,,09708656678,15997000061
浩云饭店,,09708618008,8628888
西海岸假日宾馆,,09708655333,
星海宾馆,,09708653518,
彩虹宾馆,,09708675858,
牧人家帐篷宾馆,,18639855270,
明花家庭宾馆,,13119707922,
腾龙宾馆,,09708676276,13897006287
祁连足迹城市客栈,,13119706647,
正大睿品酒店,,09707649789,
林嫂家庭宾馆（二部）,,13897103637,
尚俭太空舱青年旅舍,,13897185968,18997409793
致青春太空舱客栈,,15297169129,
兴隆巷宾馆,,17697122220,17688880970
伊景源农庄,,09708677555,
花海情商务宾馆,,09707672229,13897101633
圣湖之畔青年客栈,,13139101675,
福临商务宾馆,,09708619777,15009708991
福临宾馆,,09707671678,13909703980
小豌豆客栈（刚察县）,,13897004805,
顺湖家庭客栈,,15909709289,
亚格布家庭宾馆,,13309706829,
邻家小屋,,14709705050,14709705550
祥和品质酒店,,09708653777,
雅居宾馆,,09708659678,13119708294
时光留影青年旅舍,,13619709776,
西部宾馆,,09707678888,15982286165
福鑫源宾馆,,09708616887,
永信家庭宾馆,,15809705599,
温馨家庭宾馆,,15209705626,
怡路牧歌商务宾馆,,09708657333,
小时光家庭公寓,,13909704020,
飞天宾馆,,09707672270,13997402008
青泰商务酒店,,09707674888,
马头琴驿站,,18609702480,
隆晟商务宾馆,,09708629666,
海华快捷酒店,,18909705486,
花田小栈家庭宾馆,,13389706885,
青海祁连家庭宾馆,,09708676616,
舒适家庭宾馆,,13209706020,
西海洁安驿站,,13909705544,
珊珊家庭宾馆,,15297012524,
祁连田野牧歌家庭宾馆,,18009706378,
顺心顺意家庭宾馆,,13619703332,13309703133
门源油菜花雅致宾馆,,13997051691,
依山丽景农家庭院,,13909703835,
通鑫宾馆,,18197363336,
鸿祥商务宾馆,,13897014118,
杭盖国际青年驴舍,,13299700962,
圣洁宾馆,,13639707053,
天域假日宾馆,,09708654666,
物流宾馆,,09708676992,15352976969
家庭青年旅馆,,13897103702,
美湖宾馆,,09708655059,8655069
久佳意宾馆,,13619703819,
丽源山庄,,09707648884,13909706559
卓尔山国际青年旅舍,,09708671361,15597001664
鑫盛家庭宾馆,,13897011695,
海碧假日宾馆,,18609709989,
E维斯别墅,,15509706333,
金湖蒙古大营客栈,,18797372669,
环城招待所,,15109753880,
高原蓝家庭宾馆,,13639700369,
景悦假日宾馆,,09708659799,15695308598
雅居农家宾馆,,13909703094,
卓宁客栈,,13997404520,17797094520
梦缘宾馆,,09708626555,15500708664
嗳悦家庭宾馆（铝厂家属楼店）,,13369701515,
嘉禾假日宾馆,,15500706611,
雅鑫宾馆,,18009705226,
雪域央卓青年旅社,,13897010224,
恒利宾馆,,09708687333,18909706900
好莱居驿站,,18097307444,13299707858
怡和商务大酒店,,09708659222,
林嫂家庭宾馆（一部）,,13897103637,
海湖湾酒店,,09708656588,
巴蜀商务酒店,,13649700849,18397007869
夏都假日宾馆,,09708659888,
吉红商务宾馆,,13897303067,
聚缘宾馆,,13897016803,18794478720
龙海商旅宾馆,,09708686666,
