姓,名,家庭手机,工作手机
哈密锦江科技精品酒店,,09027178999,
阳光酒店,,09022222222,
星旺宾馆（二店）,,09022370088,2207999
星旺宾馆（一店）,,09026975888,6975777
合心宾馆,,09026805678,
安达宾馆,,09026988118,18399872256
杏花村宾馆,,09022371188,
华美商务宾馆,,09022393000,
天天假日商务宾馆,,09022393222,2393111
7天连锁酒店（哈密宝丰市场店）,,09026405777,
星华宾馆,,09027262200,7262233
金都宾馆,,09027178866,6973888
锦天宾馆,,18139325066,
圣达快捷酒店,,09022253999,
鑫富华假日宾馆,,09022306777,2306222
凯景酒店,,09027262966,7262999
金桥宾馆,,09022279000,13809902881
哈密市友谊路布丁主题宾馆,,09022354777,
嘉禾商务宾馆,,09022509888,
如家快捷酒店（哈密火车站友谊商贸城八一路店）,,09022228777,
盛源宾馆,,09027178111,7178222
丽嘉商务宾馆,,09022305222,
石油基地天山宾馆,,09026997788,6997988
紫云大酒店,,09026487666,18399846006
速8酒店（哈密建设东路美御店）,,09027196666,
嘉顺商务宾馆,,09022566555,
天马宾馆,,09022312283,
新华商务宾馆,,09022386111,
商业宾馆,,09022231766,
嘉顿假日酒店,,09022239999,7265999
太姥山商务大酒店,,09026557555,2308688
哈密忆酒店,,09027287000,7287111
哈密环球大酒店,,09022319999,
瑞豪商务精品酒店,,09027266333,
海大风尚酒店,,09027192222,7192888
东风宾馆,,09026987668,
莫泰酒店（哈密八一北路博丰市场店）,,09022326666,
亚欧花园酒店,,09027196660,
鼎盛宾馆,,09027178777,7178887
巴里坤新纪元宾馆,,09026836666,6836000
哈密红星建国饭店,,09026966666,
君业商务宾馆,,09022363988,13779372399
金福源宾馆,,09022364999,
7天优品酒店（哈密市政府店）,,09027192677,7192777
哈密全顺酒店,,09026406777,
豫商大酒店,,09027269999,
瑞都酒店,,09027176666,15999339629
华庭国际精品公寓,,15389923708,
北园春宾馆,,09026998298,
星程酒店,,09027287988,7287899
鸿德酒店,,09022267666,
瑞德宾馆,,09026973188,
蜀情宾馆,,09022307333,2307111
国泰饭店,,09027263777,
西贵大酒店,,09026736666,
幻想湖酒店,,09026820222,6912666
国泰宾馆,,09022354666,2394888
锦佳商务宾馆,,09022391333,2328600
富丽华宾馆,,09027116777,
哈密宾馆,,09022233140,
蒲类海大酒店,,09026820558,6820555
中天旅馆,,09028218510,15389923651
天祥宾馆,,09027168888,6969111
北嘉宾馆,,09022505002,
太阳精品酒店,,09026369777,6369111
交通商务宾馆,,09022587116,
红楼宾馆,,09027269888,
金湖酒店,,09026722888,
银河宾馆,,13579668252,
紫荆商务宾馆,,09026801668,
九头鸟商务酒店,,09027196888,
杨氏商务宾馆,,09022239592,
怡嘉缘宾馆,,09026802999,
广安鑫宾馆,,09026855555,6851111
安富商务酒店,,09027287775,
华洋宾馆,,09022588618,13199710033
新城快捷宾馆,,09022321899,
嘉隆宾馆,,09022505450,
致家商务宾馆,,09022396996,
巴里坤富华假日宾馆,,09026804666,6804999
华宇大酒店,,09022505999,
红星大厦宾馆,,09022566555,2567866
舒欣宾馆,,09022319666,
徽商大酒店,,09026730888,
伊吾瓜乡酒店,,09027262555,
加格达宾馆,,09022232140,2261666
贝壳酒店,,09027269666,
电力宾馆,,09022259555,2259581
建设金都酒店,,09022585222,
江南宾馆,,09022312112,
富华假日商务宾馆（新民五路店）,,09027197711,7197722
禾禾中州国际饭店,,09022316655,2315566
金诺宾馆,,09027269188,7269166
吉星快捷宾馆,,09022326888,
回家快捷宾馆,,09022251788,2257988
钱江商务宾馆,,09022328999,18299348815
小院旅馆,,09022363555,13899360618
福鑫商务宾馆,,09022267066,6999066
V8商务宾馆,,09022583111,
九重天宾馆,,09022315656,
坤昱宾馆,,09022505333,
华腾君悦快捷宾馆,,09022201388,
唯美商务宾馆,,09022315888,
佰圆快捷宾馆（友谊商贸城店）,,09022392188,
哈密市文化西路如家快捷公寓,,09022263888,
