姓,名,家庭手机,工作手机
古龙酒店,,09162691111,2691112
金地大酒店,,09162119555,
翔龙大酒店,,09162113366,2113266
艾斯国际酒店,,09162106666,
东豪商务宾馆,,09162268222,2268200
泊客连锁酒店,,09168856111,8856112
汉西通德酒店,,09162696333,18191159801
馨雅大酒店,,09163316789,13892608752
亦家商务酒店,,09162125678,2129222
艾美酒店（天汉大道店）,,09162120666,2185666
荣丰宾馆,,09168225111,
紫晶时尚酒店,,09162612666,2128666
H酒店·汉中西乡汉白路精品店,,09166326888,6326999
高客商务酒店（原高客之星快捷酒店）,,09162129566,2129588
芒果酒店（天台路店）,,09168618888,
君尚酒店,,09168609999,8606666
三国大酒店,,09162619688,
九州阳光招待所,,15591661588,
广电宾馆,,09168634017,
智诚铂锐精品酒店,,09168690000,
汉邦商务酒店（原兰庭商务酒店）,,09162800555,2800556
瑞禾快捷酒店,,09162161666,2161999
祥瑞快捷酒店,,09168317168,
民政宾馆,,09166222946,
留坝县如家快捷酒店,,13669166163,
钫鸿快捷酒店,,09168660988,8660999
中大宾馆,,09165370281,18992687286
九州宾馆,,09162216029,18700669396
电力商务宾馆,,09164224954,
奥斯卡时尚宾馆,,09168630088,
温州精品酒店,,09168128888,8129999
瑞和快捷酒店,,09162595999,
明阳快捷酒店,,09166212155,
汉宗宾馆,,09167387631,7387621
皇家驿站快捷酒店,,09162538588,
兴汉宾馆,,09162212611,
怡佳快捷宾馆,,09165378399,15091872522
天王商务酒店,,09162648888,2649333
恒星商务酒店（将坛西路店）,,09168865222,8865333
雅捷精品酒店,,09162100888,2100999
观景式公寓房,,15291651222,
西乡大酒店,,09166321588,
汉府假日酒店,,09167288222,7205770
假日快捷宾馆,,09166227733,
瑞仕达酒店,,09162680000,
百合酒店,,09162922633,
橡树酒店,,09162256139,
山河大酒店,,09162728518,2878998
月盛联盟酒店,,09166225556,15299155396
逸轩酒店,,09168114636,
悦豪快捷酒店,,09168212001,8221100
梦缘网络宾馆,,09166321820,
东旺宾馆,,09167217788,
长征商务酒店,,09168115001,
泊安酒店,,09162602222,
尚悦酒店（陈家营店）,,09162695555,
芒果酒店（中心广场店）,,09168150002,
芒果精品酒店（东大街店）,,09168150003,
汉英大酒店,,09162596666,
怡欣源时尚酒店,,09162705622,2705633
华都酒店,,09162609888,2640999
玉祥瑞宾馆,,09168216968,13022880612
鑫鑫宾馆,,09168290666,
金山大酒店,,09166210766,6388777
金山宾馆,,09166388777,
嘉诚商务宾馆,,09165692288,17791078158
皇家驿站酒店,,09162111101,
华尚商务宾馆,,09165692333,
馨源宾馆,,09167296566,13991614388
百捷时尚宾馆,,09162816699,
利亨酒店,,09162628880,2628501
兴盛源商务宾馆,,09168126888,13992672585
同心圆酒店,,09168189999,15091797271
留香阁宾馆,,09163928986,13289628841
365时尚酒店,,09167232888,13992680230
天骋宾馆,,09162727588,15191619726
嘉城商务酒店,,09165375988,17891078158
水晶时尚酒店,,09165303555,5306066
凤煌商务酒店,,09168218886,
鼎诚大酒店,,09167218666,
格林豪泰快捷酒店（汉中火车站北一环路店）,,09162755555,
摩登时代酒店,,09162619992,
金熙商务酒店,,09166318999,15591652761
悦江精品酒店,,09168169999,
聚龙港宾馆,,09162630888,
东方禾元大酒店,,09162120888,
艾斯酒店,,09162638888,
恒榕精品酒店,,09162690666,
速8酒店（汉中兴汉路店）,,09168850888,
斯唯特花园主题酒店,,09165375666,
阳光宾馆,,13991605591,15769268189
COCO精品酒店,,09166393555,6393777
隆登大酒店,,09168836666,8816868
