姓,名,家庭手机,工作手机
黑河国际饭店,,04568276001,8276002
馨逸宾馆,,04568430888,13945729111
嬉龙宾馆,,04567508555,
新汉庭商务宾馆,,04567532966,
家豪商务宾馆,,04568428333,13845659650
红英旅店,,13684569658,
人和旅店,,13904560499,
一休快捷宾馆,,04566679444,
盛鑫旅店,,18714568884,
金色阳光宾馆,,04566169777,
春天时尚旅馆,,04566760530,
黑河市合作区爱如家旅店,,04568224800,
亿昌快捷宾馆,,04566810123,
海燕宾馆,,04566318000,
鑫源快捷旅馆,,04566570333,18245679782
阳光家居旅馆,,18245635673,
新三星时尚旅馆,,04567209988,
铭家宾馆,,04562699990,
汽车时钟宾馆,,04568888588,
闽龙快捷宾馆,,04567217111,
宝马时尚宾馆,,04566669898,
极帝快捷旅馆,,04567775552,
鸿鹏快捷宾馆,,04566986688,
双龙宾馆,,04566584567,
双福城快捷旅馆,,04562880581,
汉庭时尚宾馆,,04567243777,
好百年快捷宾馆,,04566502000,
圣水酒店,,04567222699,18724339788
卓越宾馆,,13100944888,
禧龙时尚宾馆,,04566316678,
如果爱主题宾馆,,13089093373,
北安德顺楼宾馆,,04566400999,
兰天宾馆,,04566534567,
金利来宾馆,,04566578886,
馨达旅馆（原滨达旅店）,,04567771820,
四兴宾馆,,04566189222,
正中快捷宾馆,,04566666888,
青云假日宾馆,,04562633999,2633888
东龙宾馆,,04568286000,
桔子宾馆,,04562807333,
鼎鑫快捷宾馆,,04567219933,15344561195
黑河西兴宾馆,,04568985999,
华如客栈,,04562861777,2861999
喜龙快捷宾馆,,04566107779,
伏尔加河商务宾馆,,04568993888,
金尚商务宾馆,,04567513333,
北安万达商务酒店,,04566580333,
华夏宾馆,,04568220999,8294713
欣鑫快捷宾馆,,04566398555,
北苑宾馆,,04568449999,
华都假日宾馆,,04566506789,
王子快捷宾馆,,04567504888,15846850222
边关明月宾馆,,04566102949,13846333288
农垦北安宾馆,,04566664818,
兰轩宾馆,,04566395777,13763696377
威斯汀宾馆,,04566861111,
九龙宾馆,,04567869699,
都市118连锁酒店（黑河市中央大街店）,,04568283388,
东盛商务宾馆,,04566322222,
苹果假日宾馆,,04562608888,
铭城假日酒店,,04568756666,8867666
如家派柏·云酒店（黑河江畔公园店）,,04566778777,
吉润商务宾馆,,04566158888,
黑河伊甸园酒店,,04566769988,6768899
东方夏威夷酒店,,04562888888,
绿芳时尚宾馆,,04562822666,15945656565
丽都宾馆,,04564466168,13845607322
名泉宾馆,,04568558866,15645749000
北铁商务宾馆,,04566576999,
丽都宾馆,,04566198222,
如家快捷酒店（黑河北安客运站店）,,04566599999,
如家快捷酒店（黑河火车站店）,,04568969666,
万嘉宾馆,,04566550678,
金凯瑞宾馆,,04566810999,13846302332
如家快捷酒店（五大连池市政府鑫瑞广场店）,,04568503666,
汇丰宾馆,,04567506665,
五大连池百乐家居旅馆,,15846873866,
芒果快捷宾馆,,04568811453,13614567757
绥化宾馆,,04567226222,18445631985
祥合旅馆,,04566773580,
豪爵宾馆,,04567223535,
银池大酒店,,04567255777,
时尚宾馆,,13644667711,
交通宾馆,,04567267888,
五大连池家庭旅馆,,18645626298,13846384091
海鸥宾馆（铁路街店）,,04566761111,
喜羊羊家庭旅馆,,04567256888,
华隆宾馆,,04564455071,
未来时尚宾馆,,04566863888,
鸿兴快捷宾馆,,04567570999,7508366
名苑假日酒店,,04567267777,
五大连池温馨宾馆,,13846335309,
五大连池风景区温馨家居旅馆,,13115527555,18545288166
滨全时尚宾馆,,04566192518,
沃隆快捷宾馆,,04567227555,
林泉雅居宾馆,,04567225333,
品鑫假日公寓,,18724338987,
望京智选商务会馆,,04562659995,13555264433
幸福之家公寓,,04566330555,13846336789
顺达宾馆,,04567225066,
凤凰明珠酒店,,04566966888,
五大连池新泉山温泉酒店,,04567228999,18004567111
碧园宾馆,,04566349777,
生力旅馆,,15804566201,
天润旅馆,,18645661077,
水晶时尚宾馆,,04562637888,
绿竹青年旅舍,,15694561973,
新悦假日酒店,,04567245111,15561696111
银泉假日酒店,,04567291111,
昌盛旅游接待中心,,04567266665,
凤凰时尚宾馆,,04566690688,
金丽宾馆,,04566829811,
缤智博客宾馆,,04567245456,
适家快捷旅馆,,15045609955,15045619991
凤凰大酒店,,04566199988,
园丁家居旅馆,,18545249788,
爱之尚快捷旅馆,,04568690088,
五大连池风景区富哥家居,,13845666676,18904561296
万豪商务宾馆,,04568587777,
阳光家园旅馆,,13644666659,
美景假日宾馆,,13214665806,
欧陆风情假日酒店,,04567217777,
99快捷宾馆,,04566813456,
相逢居家居旅馆,,13846530616,
鸿庆快捷宾馆,,04567257333,13029949991
五大连池万豪名苑商务酒店,,04567225555,
日月潭酒店,,15846874288,
仙客来家居宾馆,,15246979331,
名苑假日酒店（迎宾路店）,,04568856666,
温馨客栈,,18846446165,
青青苹果主题宾馆,,04566528333,13134562789
520家庭旅馆,,13945736120,
嘉廷宾馆,,13115527555,18545288166
君悦商务宾馆,,04568515888,
佳熙快捷宾馆,,04566352977,
夏威夷假日宾馆,,04566625555,2860000
汉庭酒店式公寓,,04567243777,13284562555
盛河宾馆,,18645699045,13029939045
金龙滩浴场（客房部）,,04566415240,
汉庭（黑河中央商业步行街店）,,04567201177,
佳衡商务宾馆,,04567208666,
莫泰宾馆,,04562601888,
温馨家庭旅馆,,13199280778,
安瑞旅馆,,04567224338,
夏威夷宾馆,,04562675777,
江湾快捷旅馆,,04566777788,
九久家庭旅馆,,13149562796,
立波梦旅店,,18645610038,
天洪招待所,,04566677077,
双子城宾馆,,04566841111,6109299
快乐驿站快捷旅馆,,04568254819,
茂竹宾馆,,04567529555,
佳源客栈,,18004564600,
家宝快捷旅馆,,13634562103,
梦天湖商务会馆,,04562809999,
春天快捷宾馆,,04566617755,
连池商务宾馆,,04566336000,
左岸明珠商务酒店,,04562893555,2826666
五大连池轩煌大酒店,,04567266666,
日日租房,,18304567877,18845674562
一见钟情快捷宾馆,,04562867555,
假日宾馆,,04567610000,
东方旅馆,,04567777477,
顺意旅馆,,04567775009,13845622170
碧都假日快捷宾馆,,04567293456,
五大连池温泉国际商务酒店,,04567295555,18145534449
红河旅店,,04566358801,13684560505
凯利商务酒店,,04567222948,
地震局宾馆,,04567291666,
圣禾国际日租公寓,,15945639202,
龙宇宾馆,,04567220888,13329365456
华寓旅馆,,13845660300,
金隆酒店,,04566399888,
轩岛快捷旅馆,,04566760222,
湖景蓝湾家庭公寓,,13604561331,
黑河市望江假日酒店,,04562811666,
天福快捷宾馆,,04568517999,
天缘度假村酒店,,13846536620,15645747888
鸿兴快捷宾馆,,04567292777,
假日宾馆,,04568228855,13349464546
吉平旅馆,,04567291666,13846380545
鑫濠快捷宾馆,,04568566666,
昕钰宾馆,,15045605339,13555287286
泰和假日宾馆,,04566553888,
新禧龙快捷宾馆,,04566346789,
邮政招待所,,04567502444,
友谊时尚快捷宾馆,,04562611999,
林森商务酒店,,04562685555,6375555
农垦东方宾馆（龙江路店）,,04566828666,
大洋假日酒店,,04566768789,15945602862
风景区交通宾馆,,04567226555,7224888
阳光浴池宾馆,,04568631555,
怡心宾馆,,04567249999,
千禧龙快捷宾馆,,04566528666,18745618555
五大连池青年酒店,,04567222268,
宏福快捷宾馆,,13846354587,
小时代宾馆,,04562815678,2816789
天缘旅馆,,04562885288,
新和富快捷宾馆,,04568228337,
天竹宾馆,,13136939187,
天天顺旅馆,,15604561188,
安鑫源宾馆,,04567220012,13101542255
时钟快捷宾馆,,04566645588,
嫩江县新如家宾馆,,04567615678,
农业宾馆,,04566348555,
艾欧轻奢酒店（北安店）,,04566543222,6567222
东岳时尚快捷宾馆,,04568874444,
居佳联合酒店,,04566864999,
阳光假日宾馆,,04566558666,
福地旅馆,,04566825899,
银泉商务宾馆,,13555232222,
全程旅馆,,15004568836,15145673837
明珠文华酒店,,04567275555,
仁合快捷宾馆,,04566186888,
石油宾馆,,04567220188,15561696111
万客来宾馆,,04564465788,
金源宾馆,,04567253789,
瑞鑫连池宾馆,,04567220898,
荷塘月色快捷宾馆,,04562684777,
北大荒庄园,,04566443888,
时光印记主题宾馆,,04562862288,
聚源快捷旅店,,04566567766,
天安商务宾馆,,04567215888,
旺客来宾馆,,04566505555,6525555
黑龙商务宾馆,,04562854567,
