姓,名,家庭手机,工作手机
伯云商务宾馆,,08305225288,
天怡酒店,,08308887789,
剧苑宾馆,,08305222362,5225231
锦容宾馆,,08303326066,13036555797
东宫宾馆,,08308905566,
金豪宾馆,,08305212180,18121976581
九阳荔都酒店,,08305268888,
佳瑞宾馆,,08306666816,13320740151
赤水美和宾馆,,08305900178,
奇志宾馆,,08305216576,
大富豪酒店,,08308888166,15599289333
红英宾馆,,08305906881,
虹桥宾馆,,08305224953,
凯帝商务宾馆（流水沟巷店）,,08305835999,
乐家宾馆,,08305251228,18982426797
碧玉度假山庄,,13882708300,18121975408
京奥酒店,,08306378001,6378028
艾雅斯商务宾馆,,08305134145,17738024131
富鸿商务酒店,,08305950666,
玖联宾馆,,08305901290,18683019698
鸿利商务宾馆,,08305271418,
泸州皇庭酒店,,08308900888,
伯鑫宾馆,,08308887770,
明星宾馆,,08305905668,
凯骊宾馆,,08306666778,
宏泰宾馆,,08305256222,
符阳驿宾馆,,08305252876,
方舟宾馆,,08308889776,
虹宇宾馆,,08305240828,
荔都宾馆,,08305212802,3323872
忆家宾馆,,08305225666,18982499255
川源酒店,,08308889868,8881101
荔城酒店,,08305219300,
美酒河商务宾馆,,08308881108,
天华宾馆,,08305482000,
嘉利宾馆,,08305222785,
江景商务宾馆,,08308880028,
古镇农庄,,13018155246,
万顺大酒店,,08305254888,
井源商务宾馆,,08308880218,
正兴宾馆,,08305900919,13985211425
祥和旅馆,,13982721839,
姐妹宾馆,,08305217388,
汉都大酒楼,,08305950888,
赤水滨河大酒店,,08305906498,
永华宾馆,,08305211005,13982492165
赤水佳乐宾馆,,15085120569,
天赐宾馆,,08305858967,
赤水万宝旅馆,,08305900105,
合江县中华宾馆,,13550872087,
富利宾馆,,08308886665,
城兴旅社,,08305250240,
大坡农庄,,15885692298,
飞雨宾馆,,18982716596,
青草湾宾馆,,08305270960,8889789
龙头宾馆,,08305633888,
回归宾馆,,08305269273,
行者之家旅馆,,08308905318,18715892223
福来宾馆（原财来宾馆）,,15183000206,17683008677
遵义茂苑宾馆,,08305901149,
鸿公商务宾馆,,08308880799,
金虹宾馆,,08305905188,
雅轩宾馆,,08306667786,
鑫馨旅馆,,08305266928,
庭院公寓,,18084959485,
乐源旅馆,,083018283067,18283067048
中豪商务宾馆,,08308889978,15677208888
赤水木子客栈,,08305902168,
赤水康星会所,,08308901888,
佛森旅社,,08305268727,
明珠酒店,,08308881828,
赤水九支永宏商务酒店,,08305950666,
容鑫宾馆,,08308880919,
清华楼商务宾馆,,08308884555,
江南宾馆,,08305216393,
蓝天宾馆,,08305907060,
景苑宾馆,,08305700222,
吉兴商务宾馆,,08305906559,
富康宾馆,,08305223536,
情缘宾馆,,08305900885,
鑫源宾馆,,15196632672,
双麟宾馆,,08308889779,
八八八宾馆,,13921113678,
遵义赤水永宏宾馆,,08305900227,5950666
东方宾馆,,08305264488,
曾氏宾馆,,08308887788,
华富宾馆,,08308889799,
兴隆酒店,,08305475899,
金鹏宾馆,,08305212666,13982791111
新天地宾馆（新华南路店）,,08305224959,
福馨宾馆,,08305858315,
金鑫宾馆,,08305901808,
江陈宾馆,,08305020288,
新鑫宾馆,,08305906301,
佳和宾馆,,08308889786,
岷山宾馆,,08305223033,
福缘宾馆,,08305858881,
泸泸宾馆,,08305900088,
恭廷宾馆,,08305224685,
天鹅宾馆,,08302917977,3323111
云来客栈,,08308886299,
新星宾馆,,08305833258,
新世纪商务宾馆,,08305215166,
建宏宾馆,,08305213000,
赤水市水岸景致酒店,,08302998996,
安都宾馆,,08305266446,
九洲宾馆,,08305901999,
光明茶旅社,,08305900465,
岷江旅馆,,08305262127,
嘉华宾馆,,08305252797,
九支兴发宾馆,,08305901092,
罗蔓假日酒店,,08305907888,5907766
遵义赤水永富宾馆,,18185360777,
如峰大酒店,,08305262178,
港湾宾馆,,08305251000,
