姓,名,家庭手机,工作手机
米家风尚主题宾馆,,051382188090,
平安快捷酒店,,051380186588,
龙杰商务宾馆,,051382112999,
韦德酒店,,051382785888,66629666
静雅宾馆（步行街店）,,051382181388,18036185558
凯莱商务酒店,,051381261999,18068261717
东方商务宾馆,,051382295599,
和沐霖快捷酒店（ 海门客运站西店）,,051381293999,
静港旅馆,,051382123488,15896221831
梦都主题宾馆,,051382763666,
华俊快捷酒店,,051380155666,
万红商务酒店,,051381203156,
来客快捷宾馆,,051368701222,13814634879
大世界宾馆,,051380601666,13912247668
叠石桥远航宾馆,,18752468211,
中联大酒店,,051382639777,13390978777
银河浴场宾馆,,13862893990,
百佳商务宾馆,,051380606888,
皇储商务酒店,,051381261099,81261088
喜悦登宾馆,,051382661192,
和沐霖快捷酒店（ 海门客运站东店）,,051382833999,
7天连锁酒店（海门解放路店）,,051382831777,
隆旺马旅馆,,051382903118,
一站旅快捷酒店（解放中路店）,,051382802777,
鑫佳宾馆,,051380169666,
金黄海商务宾馆,,051381217888,
盛世宾馆,,051382355999,15996524233
金盛生态度假村,,051382713333,
赛城阳光酒店,,051380787888,
海门金黄海国际大酒店,,051381221728,81221666
清沐精品酒店（海门汽车站店）,,051382198199,18761983126
Cotel 咖语宿酒店,,051382825888,
艾森时尚商务旅店（中大路店）,,051381222888,
尚客优快捷酒店（海门叠石桥家纺城店）,,051382852666,82852777
速8酒店（海门商业步行街店）,,051385338111,85355888
海门思泊丽意林酒店,,051365080888,
富江华府宾馆,,051368630310,17778778230
喆啡酒店（海门临江新区店）,,051368026888,
百度水晶酒店（海港城店）,,051382336789,
金石商务酒店,,051382706688,
南通永泰国际大酒店,,051382191111,82180000
速8酒店（海门解放中路店）,,051366633888,
狮山宾馆,,051368061888,15151383388
欣乐金都之星商务连锁酒店,,051381202888,
尚海精致酒店,,051380786111,
锦江之星（南通家纺城汽车站店）,,051387168999,
泰中王商务宾馆,,051368063088,
如家快捷酒店（海门人民西路体育场店）,,051382666888,
海门皇家花园酒店,,051389282228,82878888
锦江之星（海门解放中路店）,,051381237999,
富华酒店,,051382267779,
宇宙商务酒店,,051381269888,
尚唐宾馆,,051381262222,
尚客优快捷酒店（中华中路店）,,051382600300,
格林豪泰商务酒店（海门三厂望江北路店）,,051382658888,
优爱时尚酒店,,051368702289,
莫泰酒店（海门叠石桥国际家纺城店
）,,051382883333,
汉庭（海门解放中路店）,,051381268628-0,
格林联盟酒店（港新区福建路店）,,051382898811,
旅程宾馆,,051382796777,13814675792
时间商务宾馆,,051386802888,
如家快捷酒店（海门人民中路东洲公园店）,,051380185666,
大岛国际大酒店,,051382350888,
格林豪泰快捷酒店（海门商和广场店）,,051381208999,
海门东恒盛国际大酒店,,051381299999,
橙子快捷酒店,,051380182777,
思杰大酒店,,051368187777,
驿铭轩精品酒店,,051381202788,
博林快捷酒店,,051381231999,
格林联盟酒店（海门叠石桥绣女路步行街店）,,051382793888,
全家商务宾馆,,051368382555,
万龙商务宾馆,,051382339988,
远洋宾馆,,051380339999,
金伍叶生态农业园,,051382860777,
海滨之星宾馆,,051381215999,15862819933
格林豪泰快捷酒店（南通家纺城汽车站店）,,051386326688,
中海宾馆（友谊路店）,,051382818777,
尚客优快捷酒店（南通海门解放东路店）,,051382681888,
莫泰酒店（海门长江路店）,,051382168168,81268268
华德快捷酒店,,051386800098,
格林豪泰快捷酒店（南通家纺城花园店）,,051381650888,
世纪龙招待所,,051382355348,
汉庭（海门三星叠石桥店）,,051368909888,
海门维多利亚国际酒店,,051382279998,822799990
浦江之星（叠石桥步行街店）,,051381228999,
润羊酒店公寓,,13814731388,
格林豪泰贝壳酒店（海门汽车站店）,,051380339888,81211998
甬江e家住宿,,051382666588,13773717708
光华国际大酒店,,051382188888,
华泰快捷酒店（海门镇中路店）,,051381206888,
博海商务宾馆,,051382285578,
华庭宾馆,,051365081999,
联邦大酒店,,051386801888,
龙连宾馆,,051368028000,
华德快捷宾馆,,051381208080,
兴旺旅馆,,15862781310,
鑫博商务酒店,,051381200199,81200899
环球宾馆,,051382334488,
巨辉宾馆,,051387127288,
舒忆宾馆,,051382112106,
汉唐印象宾馆（叠石桥家纺城店）,,051381650088,
南洋宾馆,,13951421799,
缘分天空商务酒店,,051382828999,
富特丽宾馆,,051368909990,
金鹤快捷宾馆,,051382119726,
叠石桥全新旅馆,,15996570805,
鑫龙旅馆,,15896255728,13218242631
鼎丰大酒店,,051382651779,18962900799
奥帝纳大酒店,,051381235666,
海门菜更香大酒店,,051382776799,
紫轩大酒店,,051380787878,
爱尚公寓,,13656276330,15950885022
金三角旅馆,,051382632727,15862802306
