姓,名,家庭手机,工作手机
如意旅馆,,13936464390,
平安旅店（西兴街店）,,13234955322,
玉坤旅店,,13613624413,
梦馨旅店,,15145002622,
三江村旅店,,15545599199,
五常雪谷小郭驴友之家,,15765521855,
佳华温馨旅馆（工大店）,,045183122151,
鑫鑫住宿,,18714611741,
淑娟旅店,,045186229333,13796068758
鑫维宾馆,,045186539952,15046189113
北安红星旅店,,13936393648,
农家院火炕青年旅舍,,18686822060,
金晟旅馆,,13845180817,15946003010
美家美客时尚旅馆,,18804512352,
悦家小住旅馆（一店）,,15846553699,
伟祥快捷宾馆,,15146632482,
贵人快捷旅馆,,13936181378,
哈尔滨水木旅馆,,045187350356,
鸿泰舒适旅馆,,045186547548,15246808980
齿轮招待所,,045184833111,51800111
诚信旅馆,,15663490211,
晶鑫旅馆,,13101518870,
德昌时尚旅馆,,045187550914,
佳源旅馆,,045184823367,
乐居旅店,,13836032141,
佳园快捷旅馆,,045184551535,
盈盈旅店,,13946073867,18745029813
战友旅馆,,18603604819,
黄河旅馆,,045182697788,
祥顺旅馆,,045182416222,
宝升旅馆,,13644568760,
学府公寓旅馆,,045157327222,18345199893
静馨旅馆,,045156555188,
悠然居休闲客栈,,045182593777,
铁滨旅店,,045186479997,13804575744
乐家快捷旅馆,,15246804367,
金山时尚宾馆,,045151817518,
海鑫公寓,,13836115501,13796601606
隆翔快捷旅馆,,045182700797,13936678669
隆昌旅店（和兴三道街）,,18746574443,
阳光快捷旅馆（南京路店）,,13936073477,
逸轩旅馆,,045158865611,
卓越时尚旅馆,,13946187156,
凯诗快捷旅馆（东方学院店）,,045151062556,18904616586
星吉快捷宾馆,,045151957983,
君缘时钟旅馆,,13845051082,
学林旅店,,18346203453,18814510451
恒安招待所,,15645660566,
鑫兴旅馆,,045151845327,
盛源快捷旅馆,,13069889808,
秋盈旅店,,18245181839,
鑫淼旅店,,18246089209,
兄弟宾馆（哈东路店）,,045151786333,
旭日宾馆,,15846148087,
八方源汽车旅馆,,045188193888,18104502022
金都时钟旅馆,,045155508742,
雅洁快捷旅馆,,15124567356,
金麟旅店,,045186438887,
振民旅馆（康安路店）,,18746464249,
嘉琦旅馆,,045182827168,13684617333
鑫垚旅店,,045182450852,
军山招待所,,045186201818,13845110602
美好时光快捷旅馆,,045187375025,13069893993
九龙时尚宾馆,,045153016381,15545476636
佳缘时尚旅馆,,15045696321,
网络旅馆,,13895751952,
欣家旅店,,15945117426,
琳琳青年旅社,,15145062515,
华滨旅店,,045185906996,85906995
万顺旅店,,13694513912,
好人加旅馆,,045184270882,
龙缘旅馆,,15545193226,
南城名苑家庭旅馆,,13091880300,
鑫怡快捷旅馆,,18345034978,13804531802
锦绣旅店,,15244680928,
长星快捷旅馆,,045153030331,
清卿旅店,,18145662043,
丽伟住宿,,15304659863,15304659862
恒茂旅店,,045182643977,
欣艳旅馆,,15104565436,
七十六号旅店,,18745041054,18245120543
长久旅店,,18646980211,
合利旅店,,045157776769,
懒猫旅馆,,045184202661,
吉祥旅馆,,18945631176,
天盛旅店（中共太平大街街道工作委员会东北）,,045185905017,15776655771
安欣旅社,,045184225868,
革新旅店,,13019722270,
蜂巢旅馆,,045151706203,
路博计时旅馆,,045184817718,
晨庄旅店,,045155609303,
顺达宾馆,,045155255123,
隆昌隆旅店,,15004619197,
雪谷英男驴友驿站,,18845795898,15244642879
家合旅店,,045186331285,
聚缘旅店,,15246605251,
温馨旅店,,18346150570,
七彩时尚艺术宾馆（学院路店）,,045156832222,56836777
立新旅店,,18345198550,
棒棒糖时钟旅馆（中央大街店）,,045187631619,13703613701
吉顺旅店（康安路）,,045184317724,
浪漫四季主题宾馆,,045155287722,
平楠驿站,,18404039466,
惠民旅馆,,045186512531,
龙凤休闲旅馆,,15145066678,
心影小宾馆（宣庆街店）,,045182821877,
胖哥旅馆,,13684515852,
鸿安时尚快捷宾馆,,045186119567,
小超旅馆,,15046184068,
晟鑫公寓,,15134613900,
青苹果快捷旅馆,,045151924999,13263697219
幸福旅馆,,13946171668,
海阔旅馆,,13263606905,
春光小城旅馆,,18545141511,
国英招待所,,045186490740,
东芝旅店,,045182312789,
快捷旅馆,,18245035240,
常会旅店,,18724619043,
时尚旅馆（文瑞街店）,,045186230275,
博雅时尚旅店,,045184540763,18245181797
69号旅馆,,045183010290,
旭源旅店,,13836174075,
阳光旅馆,,045187982172,
福临旅馆,,15945770183,
仁义旅店,,15246660905,
海纳旅馆,,045186610073,
乐居时尚快捷旅馆,,045155677773,
艳红快捷旅馆,,15046807786,
尚居公寓,,045151717944,
首府旅馆,,13604514007,
鑫焱旅馆,,15645097885,
宏图时尚快捷旅馆,,045157615488,
哈尔滨方林群益宾馆,,045183025969,83025968
创客快捷宾馆,,045189628000,
哈卫材招待所,,045184207698,
怡然之家宾馆,,045186265111,
绿神商务酒店（会展中心南直路店）,,045186654777,
艾尚旅店,,045184819013,13804501947
爱尚公寓,,15546348938,
温馨旅馆,,045151664139,
百家快捷宾馆,,045155573457,
阳光网络旅馆,,13149601885,
首府住宿,,13674673732,
中意宾馆,,045156890808,
水晶快捷宾馆,,045151663265,
舒馨旅馆,,15945664219,
路缘网络旅馆,,045155122514,
奕峰时尚宾馆,,045157407333,
鸿运快捷旅馆,,045157681536,
家乐旅馆（林兴路店）,,045151805506,
禧龙时钟连锁旅馆（安埠商厦店）,,045184196333,84296222
此情可待日租公寓,,18745121927,
温馨快捷旅店（南勋街店）,,045188964996,
萤火虫客栈,,045185866611,15104560756
时尚快捷宾馆,,045157328686,
果果袖珍宾馆,,045184539444,
殿昌旅馆,,18246101438,
丽园宾馆,,045157084567,
恒泰祥旅馆,,045182838818,13030051207
切尔思宾馆,,045157665559,13351886887
隆盛旅店,,045157623663,18845774987
好地方旅店,,045187601991,13936274718
冯记旅馆,,13674676993,
嘉亿宾馆,,045151847585,18045077688
金鸿旅店,,045153020498,
嘉园旅店,,045157829822,15546462908
雅居宾馆,,045187850789,
欣家园旅社,,13251500933,
鑫温泉洗浴宾馆,,045157054555,15663625666
如意旅馆,,045186626535,15546169377
鑫越旅店,,15145098032,
华梅旅店,,18745760778,
福盛宾馆,,045155557537,
快乐驿家舒适宾馆,,045187551225,
祁园快捷宾馆,,045156555565,
丽尚旅馆,,15776846266,
家彬旅馆,,045153712388,
都市假日快捷宾馆（康安路店）,,045187618761,
一米阳光主题宾馆,,045157468887,
林林招待所,,045153985288,
万通旅社,,045188322033,
华谊宾馆（红专街店）,,045184682252,15545111179
滨朋旅店,,15765598770,
家洁旅馆,,13069729826,
亚布力镇铁锅炖农家院,,13945640940,15545439398
万德福旅馆,,045181084567,81083456
华林旅馆,,045184531121,
鸿桂坊旅馆,,045186338008,
香悦时尚快捷宾馆,,045187177666,
欣天天快捷旅馆,,045184836600,
尚辉宾馆,,045186528899,
哈铁高层旅店,,15946091424,
健龙艺术家宾馆,,045184848148,86790999
沐恩房联便利,,045186525003,
九如快捷旅馆,,045153014190,15046731039
恋家时钟旅馆,,18045471746,
