姓,名,家庭手机,工作手机
蒙峰招待所,,18647847315,
鑫港小宾馆,,04716383486,
万康宾馆,,04712337738,
家新旅店,,04716911555,
山丹宾馆,,13948431568,
家乐宾馆,,18247112484,
捷富招待所,,13327110931,13327113583
富福鑫宾馆,,04714960539,4460539
大福字酒店,,04713817424,13009513728
喜洋洋招待所,,04716524689,
基顺招待所,,04716966691,
曼果时尚宾馆,,04713290019,
四海宾馆,,04714910859,
万达缘来公寓式酒店,,18947139298,15847771377
丰亚小宾馆,,04716310929,
喜云宾馆,,13624711950,
荟怡宾馆,,04716592297,
再兴宾馆,,18647120191,
祥云客房,,04716302678,
海亮誉峰男生公寓（一店）,,18004897149,
利弘宾馆,,15804716560,
金泽宾馆,,04715221396,13074791396
万达高层景观阳光公寓酒店,,13354881683,
睿鑫宾馆,,15904819960,
慧所女生公寓（三店）,,15049136433,
富华小宾馆,,18247135260,
兴安宾馆,,15661265102,18686049634
鼎泰御都商务宾馆,,04713289077,15326010444
冠荣宾馆,,18847199018,
喜发宾馆,,13734713580,
好利达招待所,,15947211631,
宏盛宾馆,,18686082976,
鸿恩楼商务宾馆,,04716350512,6350511
国贸小宾馆（火车站店）,,18647376075,
玉苑招待所,,15904813616,
义兴招待所,,04716532587,
四通招待所,,04712326416,400833-6699
塞那宾馆,,13674839334,
煌嘉商务宾馆,,13074725097,
福盛兴宾馆,,04714925585,13754111743
雅鑫宾馆,,13347110872,
逢盛招待所,,04716516620,13190500442
煜成楼宾馆,,15335584116,
龙圣源宾馆,,04715956676,
故家连锁酒店（大召店）,,04716233028,15248176789
鑫元宾馆,,13847114993,15332812496
明珠宾馆（文化宫路店）,,04716673399,15754861888
祥泰宾馆,,15754907133,
昌盛宾馆,,13694713848,13087109767
名轩宾馆,,04714318767,13354716644
盈佳宾馆,,04715682065,
鸿源锦宾馆,,04715684555,
金保利宾馆,,04712348299,
温豪爱捷商务酒店,,04712532801,
美兰快捷宾馆,,04716655697,
雅湘宾馆,,04715980661,
龙凤宾馆,,15124799652,
青云招待所,,15947219609,18904716086
东来居宾馆,,15849337997,
燕安商务宾馆（原鸿安商务宾馆）,,04713372636,
水务宾馆,,04718123996,
听雨阁旅店,,04713977750,13739980855
海荣招待所,,15560900155,
仙鹤宾馆,,13074717433,
恋缘客栈,,17096160245,
尚宜佳快捷酒店（鼓楼店）,,04716951171,
尚宜佳快捷酒店（天元店）,,04716286811,
颐居商务酒店,,04713303888,
国贸草原宾馆,,18686084770,
恒悦客房,,13171031310,
帝晨主题快捷酒店,,04716552001,6554939
昭郡小宾馆,,13474810508,
利芳宾馆,,15304719852,
雅阁宾馆（大学城店）,,18047104649,15849169769
健丰宾馆（润宇店）,,04712319313,
子叶酒店（通达南站店）,,04713303388,3302211
健丰七屋主题宾馆,,04716966581,
天龙宾馆,,15354815395,
好时光旅店,,15661167059,
致家宾馆,,04713383988,
麦尔德时尚酒店（中山路店）,,04716926611,6921155
聚缘宾馆（石羊桥路店）,,15947415821,
鑫悦宾馆,,15047620920,
安居招待所,,04715975590,15184702856
虹德宾馆,,15047845882,
6号公馆,,04716370336,18745910452
怡家小住,,15391145992,
枫情招待所,,15848104903,
如归宾馆,,13947150503,
上苑书香苑公寓,,13314713233,
繁华客栈,,15548751166,18698458683
金宝招待所,,04713336859,13948126828
天臣招待所,,07414939087,15354851923
大仁招待所,,13347113016,
鄂尔多斯宾馆,,13171003692,
嘉宇招待所,,04715286583,
徐掌柜宾馆,,13722045315,
万悦宾馆,,04713681902,18647388457
金柏安浴场（客房部）,,13734843117,15847114580
九鹏宾馆,,04712205557,2206800
雀客旅馆,,04716558734,
环旅商务宾馆,,04716311649,13214014577
靓驿商务宾馆,,04716237480,13337117392
红格尔快捷酒店,,04715952488,
晶悦宾馆,,04714936617,15248053807
悦嘉商务汇通酒店（新华大街店）,,04716655888,6655999
健丰宾馆（战备路店）,,04716212809,15848919677
创美戴斯酒店（海亮附院店）,,04712350999,
利利宾馆,,18698447089,
温馨宾馆,,15540932316,
鑫宜豪快捷宾馆,,04712351088,
乾峰快捷酒店,,04713295558,3295559
丰隆宾馆,,18204891066,
云豪湾商务酒店,,04714622777,5187088
优品度快捷酒店,,04717391277,
洁达宾馆,,04716231861,15849175547
裕照小宾馆,,15848395616,
家兴宾馆,,13948917717,
鼎益宾馆,,04712537783,4310516
蓝天宾馆（云中路店）,,04712537414,15148061024
忠超宾馆,,15647182076,
和缘宾馆,,15648126761,
和谐宾馆,,15754888182,
蒲公英家庭宾馆,,04714696651,
蒙德主题酒店（师大店）,,04712281133,
情凯小宾馆,,18347957498,18698441992
爱之家宾馆,,15326061622,
青逸主题酒店（原蒙德酒店农大店）,,04712359888,15248109120
君晨酒店,,04712826523,13039518485
长安金座酒店,,04712693000,2693939
水木年华快捷酒店（健康街店）,,04715226611,5226161
友森宾馆,,04714924753,
裕通快捷酒店,,04716210011,6210055
豪嘉园林宾馆农大店（兴安南路农业大学店）,,04715696196,
隆昌祥旅馆,,04714603891,
恋尚嘉快捷酒店,,04715960566,
军华宾馆,,04715975822,
立谊宾馆,,04713692629,
振华宾馆,,04714314180,
戎德宾馆,,04716585757,
唯美男女生公寓（一店）,,13190538313,
宜家宾馆,,04713916576,18547110868
金麦庄商务酒店,,04713811418,
聚馨宾馆,,04713950775,
德胜达宾馆,,04713683080,
舒新创网络宾馆（毫沁营店）,,15047874406,
金宸商务宾馆,,04715951827,
宜家快捷酒店,,04717186555,
京华宾馆,,04712264888,2264666
金鑫宾馆,,04712822310,
日昇昌宾馆（北门店）,,04713310458,
珺悦招待所,,04716236732,
万达隆宾馆,,04713396680,
宸华宾馆,,04714977985,
明海源宾馆,,04716577835,
宜豪宾馆,,13848610809,
国贸宾馆（国贸大厦店）,,15326093039,
雅宇旅店,,15148029656,
如意宾馆,,15034921160,
新康宾馆,,13347146486,
新福地宾馆,,04715970972,
帝豪快捷宾馆（县府街店）,,04712359077,2359078
俪宸宾馆,,04716303226,13337118136
鑫港小宾馆,,04716303672,
宜豪宾馆,,04715977200,
8090主题宾馆,,13789618254,
嘉悦宾馆,,04716683811,6683822
奈伦大酒店（呼和浩特店）,,04712348000,2348333
老赵宾馆,,15847162483,
富国天瑞大酒店（疾控中心大召寺店）,,04715963555,
健丰七屋主题宾馆（供电局店）,,04716380319,
心悦商务酒店,,04712286199,2286099
顺达旅店,,15391110354,13754090353
宏恋宾馆,,04714964601,4907510
阳光招待所,,04713911050,
富源招待所,,04713957851,
永峰旅馆,,15354878625,
巴彦塔拉饭店,,04716663001,
劝业招待所,,04714916140,
嘉度宾馆,,04714927133,18947113404
大学城星期8宾馆,,15647146176,
欣悦旅店,,15847770365,
嘉度宾馆（内蒙医院店）,,04714312805,15047877736
东客隆宾馆,,15389809125,15848373176
金遇宾馆,,04715251768,15352875879
家缘商务宾馆,,04713284509,13171051996
远辉快捷酒店,,04712830188,
今雨楼商务宾馆,,04716539149,
沙河宾馆,,04715960288,
天意宾馆,,13171077657,18947954028
华阳宾馆,,04716373112,
学友宾馆,,15389716572,
5月数字宾馆（内大东门店）,,04714965266,
馨逸轩宾馆,,04714971181,
瑞峰宾馆,,04713294199,15661007713
飞龙宾馆,,04718522217,
i8宾馆,,15389806175,18247171739
嘉瑞商务宾馆,,15391152123,
君豪商务宾馆,,04714930011,
家寓小宾馆,,04714922850,
恒泰宾馆,,04717393555,
旅之家快捷酒店,,04716932299,
玉海宾馆,,04715979526,
益逢宾馆,,04714318811,
三和国际酒店（呼伦北路店）,,04713304388,3304389
陶然小镇宾馆,,04712537008,15849347559
金牛宾馆,,04716500961,
佳悦宾馆,,04716505691,
世宇隆酒店（光明店）,,04712350111,
帝豪快捷宾馆,,04716305588,
尚华精品酒店（中山西路火车站店）,,04713379999,3458000
伯豪华宇商务酒店,,04713255333,3256333
海亮公寓一家小居,,15561114999,
三和国际酒店（新华西街店）,,04716398555,6399696
路通宾馆,,04712255000,
雅鑫酒店,,04717399918,15049188829
欣利达宾馆,,04717183999,15548748826
宿之客快捷酒店,,15148021242,
蓝影酒店,,15847454291,15849383041
好再来宾馆,,04716372210,15247179407
众鑫迎宾大酒店,,04716613555,
圣宝小宾馆,,15024947823,
和盛宾馆,,04717381111,
家寓小宾馆（文化商城店）,,04714317355,18548156321
爱之驿主题宾馆,,15849177001,15947617739
真鑫宾馆,,13848157742,
轩平宾馆,,04714662480,13684788102
金茂祥宾馆,,04715212913,
健丰连锁酒店老树客栈（展东路摩尔城店）,,04714601155,
嘉都宾馆,,04712286568,2286569
和顺祥宾馆,,04716590161,
城市假日酒店（八一店）,,04716241900,6241911
来雨轩商务酒店,,04713302899,
佳宏宾馆,,17704888375,15754847252
家宏宾馆（乌兰察布东街四店）,,04714927766,
凯盛宾馆,,04716528530,
青方快捷宾馆,,04716505719,
聚隆宾馆,,15714712825,18847762048
新豪商务宾馆,,13848135330,
锦颐连锁酒店（中山西路大召店）,,04716233366,6233355
