姓,名,家庭手机,工作手机
义华池洗浴中心宾馆,,043266233999,
桐林经典公寓,,13079758111,15044631127
银都宾馆,,043266530057,
天同一快捷商务宾馆,,043266267222,
亿邦商务宾馆,,043266261800,13294322222
九州商务宾馆,,043266275099,
森淼宾馆,,043266228996,15124365288
华苑商务宾馆,,043266238217,
兰亭主题宾馆,,043266223058,
益旺旅馆,,043266235433,
金穗休闲会馆,,043266243333,
白云国际酒店,,043266278888,
关东商务宾馆,,043266239898,
睿家时尚宾馆,,043266239997,
旭旸时尚快捷宾馆,,043266229996,15044631888
白云宾馆,,043266229888,
如祥时尚旅馆,,043266272339,
国兴宾馆,,043266268666,66229118
枫林晚主题宾馆,,043266273678,
益嘉时尚宾馆,,043266263335,
子曰大酒店,,043266256322,66539567
鑫都时尚宾馆,,043266225150,
红升宾馆,,043266269999,
日兴时尚休闲会馆,,043266233377,
裕鑫洗浴宾馆,,043266231115,
嘉缘旅店,,043266272067,13894253226
吉元商务宾馆,,043266197888,
釜山温泉会馆,,043266231400,
桦都现代商务宾馆,,043266233456,
莲花宾馆,,043266224858,
晶都时尚宾馆,,043266226922,
中源时尚旅馆,,043266221368,
爱意时尚旅馆,,15981230500,
金穗商务会馆,,043266268885,
国兴商务宾馆,,043266229118,
领度时尚宾馆,,043266902666,
尚好家旅馆,,043266237373,13596317373
荣凯商务宾馆,,043266264222,15673696999
松白大厦,,043266705777,
天俪都休闲旅馆,,043266243137,
众轩时尚旅馆,,043266262227,
蜂巢休闲宾馆,,043266230600,
江滨旅店,,043266887944,
蜂巢宾馆,,043266275505,
龙源旅店,,15124364966,
红人旅店,,043266270603,
易达休闲旅馆,,043266224678,
客来旅店,,043266227015,
桃源洗浴宾馆,,043266241222,
东林时尚旅馆,,15981226898,
小秋时尚旅馆,,043266229378,
昱临时尚旅馆,,13664444532,
缤纷旅店,,15543029600,
天丽都旅店,,18643260757,
樱花旅店,,15886290360,
泰和旅店,,13943247368,
红梅旅店,,043266190923,
新兴酒店,,04326228049,
名峰生态度假村,,15844272222,18301094509
交通旅社,,043266224205,
绿柳宾馆,,043266537777,
旭旸时尚快捷宾馆,,04326250008,6256778
金都快捷宾馆,,043266256111,
馨园时尚宾馆,,043266228819,
快乐时尚旅馆,,043266199555,13331705007
百姓时尚旅店,,13894278853,
鸿鑫时尚旅馆,,13944652855,
如意旅馆,,13704343630,
都市时尚旅馆副食店,,043266246007,
嘉乐旅店,,13943266800,
爱奇旅店,,18824186440,
红日旅社,,043266276361,
西川时尚旅店,,043266222167,
金田招待所,,043266224834,
百成旅店,,043266228876,
庭园旅店,,043266237799,
阳光时尚旅馆（长胜大街）,,043266246886,
东方宾馆,,043266225555,
蜂巢时尚旅馆,,043266240404,
夹皮沟镇宾馆,,043266732588,
大众招待所,,043266222214,
白云大厦,,043266826666,66275529
红林宾馆,,043266886729,
金福缘休闲宾馆,,043266191333,
盛世华都大酒店,,043266767888,
万鸿商务休闲宾馆,,043266253988,
青春公寓（一中店）,,18626743833,
雅阁旅馆,,043266220782,
富士商务休闲会馆,,043266278750,
林业宾馆,,043266224026,
辛巴克概念旅馆,,043266265555,
百盛时尚旅馆,,043266230708,
和友时尚旅馆,,043266273811,
如意元宾馆,,043266723688,
莲花住宿,,400833-6699,
宏达宾馆,,043266262977,
天赐源时尚旅馆,,13844682731,13039177337
福顺旅店,,043266237548,
昕旺时尚旅馆,,043266237207,
顺其自然时尚旅馆,,043266271933,
金巷招待所,,043266225842,
幸福旅店,,15567483316,
德源兴旅店,,043266196158,
御园时尚旅馆,,043266237865,
美嘉旅店,,043266239333,
万嘉主题宾馆,,043266227778,
祥和盛旅店,,18646098250,
鸿基旅店,,18243298079,
鑫辉时尚旅店,,043266223760,
顺天洗浴宾馆,,043266279936,
汇源旅店,,043266173702,
白山宾馆,,043266704200,
华顺时尚宾馆,,043266233850,
春秋旅店,,043266732523,
红太阳旅店,,043266226477,
金海润宾馆,,043266265255,
