姓,名,家庭手机,工作手机
七星潭度假饭店,,0088603-38232345,
花莲馥丽生活旅店（Quality Inn）,,0088603-8320000,
花莲葛洛莉亚的城堡（Gloria House）,,00886932654303,
花莲缤纷台湾国际青年民宿,,0088603-8461168,
花莲如果海星海民宿（If-ocean）,,0088603-8671017,
花莲挑tea背包客栈（Pick tea Backpacker）,,00886975875668,
香城大饭店（花莲店）,,0088603-8353355,
花莲客至轩民宿,,0088603-38232292,
花莲太鲁阁晶英酒店（SILKS PLACE TAROKO）,,0088603-8691155,
花莲日之出民宿,,00886963327660,
花莲英伦情人（English Patient Hostel）,,00886972507168,
小羊房背包客栈,,0088691-8266489,
花莲陶陶居山庄,,0088603-8579989,
花莲七里香花园民宿（Jasmine Orange Hostel）,,00886960678831,
吉美民宿,,0088603-8522225,
花莲非凡假期大饭店,,0088603-8311757,
花莲漂亮生活会馆,,0088603-8321000,
花莲县漫波假期饭店（Manbo Holiday Hotel）,,0088603-8350011,
阿思玛丽景大饭店,,0088603-8329555,
花莲花之恋民宿（Flower & Love B&B）,,0088603-8352388,
采沃旅店,,0088603-8246399,
经典假日饭店,,0088638359966,
花莲初樱.见晴民宿（Chuying Hostel）,,0088603-8537085,
雲頂民宿,,0088603-8577366,
花莲春秋大饭店,,0088603-38322122,
国光民宿,,0088603-8334037,
远雄悦来大饭店,,0088638123999,
花莲君典家民宿（Jun dian jia home stay）,,00886988230206,
七星潭灯塔民宿（Light House 59）,,0088603-8239466,
撒花庄庭园民宿,,0088603-8525983,
花莲小旅行迷你公寓（mini voyage hostel）,,0088603-8321150,
花莲丽都小筑民宿（Lidu House）,,00886920559717,
福品旅店,,0088603-8316899,
花逸宿光精致民宿,,0088603-8465388,
花莲馨晴民宿,,00886953622955,
wei sen house（花莲葳森家民宿）,,00886917906441,
晶蓝色美人鱼民宿,,00886928686989,
西门窝青年旅馆,,0088603-8320270,
花莲香缇民宿（Shanti House）,,00886919037559,
晴空民宿,,00886979755933,
小和农村民宿,,008860988166951,
花莲城市家园民宿,,00886921651293,
花莲童话汽车旅馆海洋馆（Fairy Tale Sea Motel）,,0088603-8361299,
花莲美仑大饭店,,0088638222111,
童话汽车旅馆都会馆,,0088603-38357272,
花莲花东漫活亚绿亚民宿（ARIA’S HOME）,,00886989777158,
雅筑汽车旅馆,,0088603-8347755,
花莲城市生活松园居民宿（Sung Yuen Citylife Guesthouse）,,00886981515501,
浪淘沙民宿,,0088603-8323169,
花莲溪畔22号民宿,,0088609-16300168,
花莲瑞穗原乡温泉民宿,,0088603-8876307,
颖居花莲民宿,,00886939011075,
花莲寄居穴青年民宿（GG House）,,00886955702345,
花莲新港77 villa,,00886988291277,
花莲踩风民宿（Caifeng house）,,00886919356698,
花莲奇莱大饭店（Chuline Hotel）,,0088603-8356141,
花莲松邑庄园,,0088603-38873318,
在水一方湖畔小屋（In the water side of the lake cottage）,,00886979369876,
花莲枫之宿民宿（Fong Su Hostel）,,00886928876199,
森活艺宿民宿,,0088603-38358583,
花莲海公主民宿（Sea Princess Hostel）,,008860911276925,
花莲轻旅行民宿,,00886913187115,
花莲甜蜜的家民宿,,00886988983851,
猴子冲浪背包客栈（花莲一馆）（Monkey Surfing Backpackers HostelⅠ）,,00886938921330,
花莲怡和居民宿（Yiho Bed And Breakfast Hotel）,,00886936796006,
花莲柏林格民宿,,00886905088128,
塞维尔乡村旅店,,0088698-7560896,
花莲布洛湾大饭店,,0088603-8356177,
花莲芒果旅店,,0088603-8333535,
花莲85美仑民宿,,00886927267988,
花莲栈民宿,,00886980364835,
法那斯民宿A馆,,0088697-8965518,
花莲乔治花园民宿（George Garden Guesthouse）,,00886930821031,
花莲叶宿文旅（Leaf Inn）,,0088638222899,
花莲真爱电梯民宿（Truelove）,,00886958526553,
花莲乐乐居民宿,,008860963028480,
花莲爱的真谛民宿（Bed and Breakfast true meaning of love）,,00886985262531,
