姓,名,家庭手机,工作手机
开心宾馆,,18737612346,13333971887
星光宾馆,,03763112519,13033717066
鱼夫客栈,,03763166969,
锦江商务宾馆,,03766128333,
东荣大酒店,,03765557888,13253800022
锦江商务宾馆（二店）,,15518592803,
彩虹主题酒店,,03763163007,
水利宾馆,,03763982319,
芒果商务宾馆,,03766128666,15939766399
凯旋假日宾馆,,03763960888,
黄国宾馆,,03763118888,6115888
火车站大酒店,,03763183388,
君悦宾馆,,03763182666,3120666
潢川县弘光如家宾馆,,03763160666,3160777
金祥宾馆,,03763198828,15303768630
金润休闲中心,,03763296888,
域丰园大酒店,,03763296666,
蓝天宾馆,,03768176655,
丽景公寓酒店,,03763935566,
众元宾馆,,03763128777,
碧海云天休闲会所,,03763165666,18937688830
中天快捷宾馆,,03763920888,
中原宾馆,,15649198116,
贵宾商务宾馆,,03763186000,
明珠国际大酒店,,03763169888,
旺佳宾馆,,13353760759,
如意宾馆,,03763111162,
旺佳旅馆,,13253822218,13253837823
四季宾馆,,13839709239,
云顶大酒店,,03763981222,3981333
明珠健身游泳馆（客房部）,,03763162999,
泰和宾馆,,13526027772,
宏旺宾馆,,03763192829,
明都商务宾馆,,15225353523,
尚品商务宾馆,,13253851799,
长相依宾馆,,15803970992,
副食宾馆,,03763290088,
365宾馆,,15039798085,
国宾大酒店,,03763979995,
花都宾馆,,15839765267,
鑫辉宾馆,,13323978753,
阳光宾馆,,03763111586,13569766609
华兴宾馆,,03763901117,
鼎尚足浴养生（客房部）,,03763916066,
黄河梦主题酒店,,03763979598,
锦江宾馆,,15290207611,15188294197
悦来宾馆,,03763111285,15738261235
徽商商务宾馆,,15638609522,
幸福宾馆,,13033736801,
东方之星,,03766128555,
溪水源宾馆,,03763971777,
东都宾馆,,03763290000,
玉兰宾馆,,03763181999,
京九快捷宾馆,,18039326355,
东方假日酒店,,03763189777,3291919
阳光大酒店,,03766871888,
海日宾馆,,18790059199,
避风港宾馆,,13033782655,
春天快捷宾馆,,03763936399,
东阳宾馆,,03766128955,
星星旅馆,,03763166766,
宝阁宾馆,,03763979333,18616357728
阳光花园宾馆,,03763166661,
春天宾馆（二店）,,03763165555,
黄都宾馆,,03763980188,
尚客优快捷酒店（潢川迎宾路店）,,03763128666,
光州国际酒店,,03763199158,
韩蒸主题客房养生堂,,03763298777,
好旺角宾馆,,03763939777,
九龙大饭店,,03763976060,3976188
海通宾馆,,13333769687,
北京商务宾馆,,03763910999,
芙蓉旅馆,,03763932068,
新发旅馆,,15537633071,
阿信商务宾馆,,03763188688,
顺心宾馆,,15903971936,
航空宾馆,,03763927666,
中天电力宾馆,,03763292000,
新阳宾馆,,03763934005,
温馨宾馆,,03763917758,
胜利商务宾馆,,15225353523,
迎宾宾馆,,400833-6699,
亚星宾馆,,03763978176,
三环宾馆,,03766128660,
佳禾酒店,,13782902765,
富丽华大酒店,,03765558777,
潢川宾馆,,03766118888,6119801
港华宾馆,,03763974989,
云昇宾馆,,13837680430,
九江宾馆,,03766118699,
欣欣宾馆,,18237657197,13033788960
金安宾馆,,03766118829,
新都国际酒店,,03763918555,
红阳大酒店,,03763961811,
彩虹商务快捷宾馆,,03763958885,
豫南宾馆（胜利小区北）,,03763181999,
聚雅楼旅馆,,13087018699,
三六九酒店,,03763961766,
皇龙宾馆,,03763187888,
鑫源宾馆,,15939728444,
百源宾馆,,03763920099,
汇来宾馆,,13603977120,
天源大酒店,,13837677727,
真诚宾馆,,03763960899,
君逸宾馆,,15537658588,
金桥宾馆,,03763906622,
友谊宾馆,,13937635090,
未来商务宾馆,,03763966660,
教育宾馆,,03766116966,
豫鑫宾馆,,13526099551,
迎宾宾馆,,03763916518,
吉祥宾馆,,03766125558,
京西宾馆,,18639709267,
张国大酒店,,18737615515,
大围孜酒店,,03765533667,
龙达大酒店,,03763196777,
舒佳宾馆,,037615037639,15037639888
零点休闲洗浴中心（客房部）,,03763981777,
