姓,名,家庭手机,工作手机
汇鑫快捷宾馆,,03575623452,15935705102
宝鑫盈商务快捷,,03575605555,
霍州市如家商务宾馆,,03575612188,
五洲仙商务宾馆,,03575628988,13097620042
朗逸快捷酒店,,03576654321,
桃园大酒店,,03575620666,
尚客优快捷酒店（霍州滨河路店）,,03575615333,18535768258
根生大酒店,,03575620016,
尚客优骏怡连锁酒店（临汾霍州火车站店）,,03575988222,18535768256
兴华快捷酒店,,03573495558,13935706221
舒馨商务宾馆,,03575629008,
欣怡快捷宾馆,,03575629000,
兴霍商务宾馆,,03575625444,15934544534
瑞丰商务酒店,,03575600555,
家富富侨健康会所,,03575611006,
霍州锦兴快捷宾馆,,03575618518,
温馨家庭旅馆,,15035791789,
丰隆宾馆,,13467129258,
星辰宾馆,,18636755010,
碧汾宾馆,,13233128931,
七里峪森林假日酒店,,03575653333,
茂源宾馆,,13934719322,13934719388
迎宾商务宾馆,,03575579997,
茂恒宾馆,,15135362742,
华欣快捷宾馆,,03575605816,13935761816
康乐园酒店,,03575622846,13753788689
煤炭宾馆,,03575610999,15525949690
佳园宾馆,,03575613586,
鑫豪宾馆（滨河路店）,,13935796527,
怡和宾馆,,13453655326,13754965650
晋隆源商务大酒店,,03575615488,
大唐良子足疗休闲会所（客房部）,,03575604666,
清泉大酒店,,03575625787,
君悦商务宾馆,,03575575222,13903475188
网虫快捷酒店（霍州店）,,03575606111,
阳光绿州会馆,,03575653777,15713575007
金洲大酒店（兴霍路店）,,03575615688,
博祥宾馆,,13734123174,
中镇宾馆,,03575611920,
宜馨苑火龙浴场客房部,,03575613566,
临安旅店,,15935705897,15803573232
东盛宾馆,,15935763173,15525900568
永康大酒店,,03575618800,15735709736
香洁大酒店（原江南大酒店）,,03575611252,
康洲商务酒店,,03575611555,
碧阳商务宾馆,,18734758039,
霍州宾馆,,03575889111,
鼓楼宾馆,,03575610009,
霍汾宾馆,,03575613878,
北城商务宾馆,,03575623883,
碧泉宾馆,,13903575490,
朝晖公寓,,13467134613,
恒洁宾馆,,03575610510,
三源宾馆,,03575621306,
阳光招待所,,13753527680,13754985028
世纪宾馆,,13934349069,
金安宾馆,,03575613013,
万达手机城,,03578925010,
鑫盛山庄,,15698488677,
车站旅馆,,15535702312,
姐妹酒店,,03575627066,
渔头山庄,,18603570789,
霍州阳光快捷酒店,,15935358420,
兴隆宾馆一部,,03575620004,
建材商务宾馆,,13453690800,
霍岳山庄,,13835377869,
帝豪会馆,,03575886555,
晋隆源宾馆,,13835738408,
亚泰宾馆,,03575611177,
金泉宾馆,,03575639210,
怡宏商务宾馆,,03575623452,
金泰大酒店,,03575622991,
金沙酒店,,03575613999,
安莱大酒店,,03575607333,
顺兴隆宾馆,,15135793733,
明悦大酒店,,03575621372,
锦丰宾馆,,03575627522,
阳光招待所,,13753771055,
宾乐旅社,,03575650375,
星和宾馆,,15034368182,
祥和旅社,,13935761298,
嘉禾宾馆,,13643572130,
