姓,名,家庭手机,工作手机
安泰商务宾馆（工农兵大道店）,,07966329188,
雅轩宾馆,,07966128996,
龙泉大酒店（龙川大道店）,,07962057888,
宇杰大酒店,,07966316888,15949695976
凯瑞商务宾馆,,07962059888,13707962638
龙都商务宾馆,,07962059300,
完美主题酒店,,07968837999,
春岚山庄,,13979650039,13970633925
红运宾馆,,07968188818,15170830929
好运来客栈,,13576827957,
水岸帝都酒店,,07967173666,7173668
星星宾馆,,07968111611,
天天宾馆,,07968830088,
高老庄酒店,,07968898999,
迎宾楼宾馆,,07968100921,13397969810
天湖宾馆,,07967662518,
滨江商务宾馆,,07967170888,
新天地酒店,,07967358666,
晨鑫宾馆,,07966555600,17707063310
政务宾馆,,07966893996,13576630586
糖巢城市酒店,,07962188888,
金水湾宾馆,,13755403618,
滨江假日酒店,,07968116669,
园区商务宾馆,,07965839898,
笔耕人家乡村酒店,,07965832999,13970681880
皇朝国际大酒店,,07968409888,
奥克主题酒店,,07968311314,8800666
嘉和商务宾馆,,07968976655,15007966383
天缘宾馆,,07967170868,18770679211
精品旺江酒店,,07967662222,18679922202
凤阳宾馆（小康村店）,,07967561888,18070563009
方正宾馆,,07968448818,
凯悦宾馆,,07968413028,
以宏酒店,,07968936695,13907969093
尚客优快捷酒店（吉安二七路店 ）,,07968977666,
7天连锁酒店（吉安城南行政中心店）,,07967088777,
凤阳现代宾馆,,07967633888,
华士顿酒店,,07968916666,
金沙主题酒店,,07967056888,8892888
南苑宾馆,,07968432699,
蓝天商务宾馆,,07968799991,
东方花园时尚酒店（花苑路店）,,07962189889,
尚客优快捷酒店（吉安庐陵广场店）,,07968448678,
盛世豪庭商务宾馆,,07968996888,
和馨商务宾馆,,07962171666,2175666
田心之家商务宾馆,,07967731222,
金锣湾大酒店,,07962183888,2183999
亿都168商务宾馆,,07968797168,
美博酒店,,07968616666,8616111
云峰宾馆,,07966550333,
银海大酒店,,07968299999,
华云大酒店,,07968979888,
瑞鑫大酒店,,07966675988,
汇金大酒店,,07968611888,8611886
金沙风尚主题酒店,,07968301888,
名仕精品酒店,,07968831111,
井冈山裕翠宾馆（一部）,,18307067667,
井冈山裕翠宾馆（二部）,,18307067667,
城市便捷酒店（吉安井冈山大学店）,,07968869999,
海天汇大酒店,,07965596333,
鑫村宾馆,,07966556075,18679605233
二十五小时艺术酒店,,07968828888,
99旅馆连锁（吉安火车站店）,,07962175888,
上井农家乐,,13576828546,
大冲商务宾馆,,07968611999,
熊猫招待所,,13207962535,
爱莱酒店,,07968275999,15170829939
八一现代宾馆,,07968936333,
如斯宾馆,,07962182300,13970690435
维也纳酒店（吉安人民广场店）,,07968881111,
吉安迪威乐国际酒店,,07962169768,
吉安爱琴海主题酒店,,07968759999,8713888
IU酒店（吉安汽车站步行街店）,,07968179077,
濠江精品酒店,,07963536666,
华飞商务宾馆,,07962610388,18797967367
北山宾馆,,15779698958,
影视宾馆,,07965700800,
桃园里民宿,,07968836333,
林盛宾馆,,13979672345,
井冈山天公馆大酒店,,07966566698,6566668
武功山山口青年旅舍,,18580378787,
惠新园酒店,,07967191699,
三笑大酒店,,07965328666,
井冈山山地人家农家山庄,,18702669046,15807069107
玉峡国际大酒店,,07962128888,
大井茶园农家客栈,,13970648616,15270165024
大井农家乐22号,,15270165713,
红军村农家乐,,13970658354,
佳家主题宾馆,,07962510188,2514666
99旅馆连锁（安福汽车站店）,,07967629111,18070562998
鸿运宾馆,,13970688557,
骏怡连锁酒店（井冈山桐木岭路店）,,07966550055,13979655723
井冈山农家别墅,,13979689522,
大井湾里农家,,15270165683,15979654469
泰发宾馆,,07967081266,
麗枫酒店（吉安汽车总站店）,,07968887666,
翠竹农家客栈,,13970633918,
百顺商务宾馆,,07968328666,
福瑞大酒店,,07967636888,7361666
七彩好景酒店,,07962056666,2051111
赣江商务宾馆,,13766239917,
鸿安商务宾馆,,07967722166,
宜家商务酒店,,07966111989,18279838037
龙腾宾馆,,07967519888,
嘉源商务宾馆,,07962601918,
