姓,名,家庭手机,工作手机
春岚山庄,,13979650039,13970633925
好运来客栈,,13576827957,
晨鑫宾馆,,07966555600,17707063310
政务宾馆,,07966893996,13576630586
云峰宾馆,,07966550333,
瑞鑫大酒店,,07966675988,
井冈山裕翠宾馆（二部）,,18307067667,
井冈山裕翠宾馆（一部）,,18307067667,
鑫村宾馆,,07966556075,18679605233
上井农家乐,,13576828546,
兰花苑客栈,,18797868586,
翠竹农家客栈,,13970633918,
大井湾里农家,,15270165683,15979654469
井冈山农家别墅,,13979689522,
骏怡连锁酒店（井冈山桐木岭路店）,,07966550055,13979655723
鸿运宾馆,,13970688557,
红军村农家乐,,13970658354,
大井农家乐22号,,15270165713,
大井茶园农家客栈,,13970648616,15270165024
井冈山山地人家农家山庄,,18702669046,15807069107
北山宾馆,,15779698958,
林盛宾馆,,13979672345,
井冈山天公馆大酒店,,07966566698,6566668
龙潭娟子农家住宿,,13755429575,
金凤农家乐,,13979650307,
小井农家乐,,13879693066,
吉安天街客栈,,07966561222,
映象酒店,,07966555066,18170635886
杜鹃园客栈,,15070673253,
如意农家乐,,13607966865,
上井客栈,,13576828549,13576828142
山里人住宿,,13970648291,
龙潭住宿,,13879638399,
长城宾馆,,07966567999,
望美自驾屋,,07966610508,
锦森宾馆,,07966561618,18107961187
井冈山竺轩大酒店,,07966569699,6569688
嘉华大酒店,,07966668999,
上井酒楼,,18770633448,13133696211
温馨农家乐,,15979691109,
井冈山仙女潭农家乐,,13979671323,
自驾游农庄,,13207066636,
井冈山粗茶淡饭农家乐,,15979094404,15949698957
山水苑养生农庄,,15079622009,
中信井冈山会议中心酒店,,07968970333,
山泉水农家乐,,18170612999,
山地人家度假农家乐,,18770411948,
群香酒楼,,07967163386,13979632352
桃源大酒店,,07967163333,
麓舍精品酒店,,07968971280,
山地人家别墅庄园,,07966559979,6558338
良苑宾馆,,07966556766,
大井湾里客栈,,18907066635,13755429593
喜来登宾馆,,07966867999,
客家农庄,,13507969706,
三合宾馆,,07966861998,15607962442
生资宾馆,,07966553713,
明悦宾馆,,13576868268,
井冈山迎宾馆,,07966555698,
向阳红宾馆,,15979654161,
云海宾馆,,07966553066,
井盛宾馆,,13979672345,
梦华宾馆,,07966893566,
星街宾馆,,07967168878,13657067866
自家菜园饭庄,,13979671099,
金森酒店,,07966898018,
五悦景区连锁酒店（井冈山店）,,07966899888,
井冈山惠悦宾馆,,13237969860,
房产宾馆,,07967162288,
大福宾馆,,07966898500,13576825967
红联大酒店,,07966868988,
天子山大酒店,,07966610666,
交通宾馆（兰花坪路）,,07966558599,
圣廷大酒店,,07966611999,
锦江之星品尚（井冈山风景区汽车站店）,,07966566567,
井冈山金狮面大酒店,,07966668333,
人保宾馆,,07962089111,15879642769
摇篮商务酒店,,07966552577,18079627031
罗霄山庄,,07962087888,
天意宾馆,,13970633542,
井冈山中泰来国际大酒店,,07966666199,6666666
井冈山星期酒店,,07966555566,6555577
小雨天商务酒店,,07966893900,13979632356
关北大酒店,,07966890288,6890299
井冈山景泰宾馆,,07966569888,6569566
路政宾馆,,07967187999,18707068050
楠竹山庄,,07966666655,6565008
井冈山唯美湖景酒店,,07962089000,18807069102
商贸大酒店,,07967076888,7165988
井冈山红盛宾馆,,07967188333,
井冈山紫金宾馆,,07962086666,
井冈山红五星国际酒店,,07967216666,
井冈山景园大酒店,,07967166888,7169999
井冈山江山大酒店,,07966666669,
红杉树假日酒店,,07967163666,
井冈山凯旋门大酒店,,07962086776,18807068853
统计基地,,07966552924,6552904
井冈山瑞鑫假日酒店,,07966568788,6568799
鑫隆酒店,,07966891418,
井冈山滴翠苑宾馆,,07966552952,
井冈山锦江大酒店,,07966560888,
国光商务酒店,,07966552385,
井苑宾馆,,07968973888,
安贝来公馆,,07966899986,13755404098
7天连锁酒店（井冈山景区店）,,07966555777,
井冈山江轩宾馆,,07966561288,
井武公寓,,15879608626,
满江红大酒店,,07966890007,6893555
井冈山映山红宾馆,,07966550666,
中煤宾馆（长坑路店）,,07966560200,
紫龙湾大酒店,,07966898999,6898000
井冈翠林宾馆,,07966560668,
井冈山天乐府酒店,,07966566666,
井冈山大酒店,,07966555666,
井冈山奥源大酒店,,07966689999,
井冈山衡山大酒店,,07968972222,
井冈山饭店,,07966566166,
和谐苑,,07966565888,
财苑宾馆（建筑港店）,,07962181666,
翠湖宾馆,,07966557888,6557666
科苑宾馆,,07966556176,
丽景湾商务宾馆,,07966896685,6896999
笔架山大酒店,,07967169888,7161888
天明宾馆,,07966561466,
云海观澜宾馆,,07962080779,
武警宾馆,,07966565111,15879161616
南湖宾馆,,07966556666,
杜鹃宾馆,,07966866628,
煌庭酒店,,07966670777,
民航大酒店,,07966695177,
东方假日大酒店,,07966550017,2180188
蓝天宾馆,,15279633181,
阳光假日公寓,,07966556819,6556688
红杜鹃酒店,,07966551996,
红叶宾馆,,07966898955,
宁冈宾馆,,07966863999,
北苑宾馆,,07966560008,
红星宾馆,,07966555188,
南轩宾馆,,15179675666,
电信宾馆,,07966558888,
鹃花宾馆,,07966552787,
金融宾馆,,07966551655,6552987
原野客家酒店,,07966556279,
长青宾馆,,07966557257,
红叶大酒店,,07966550413,13970452893
经贸宾馆,,07927156221,
卧珑湾大酒店,,07967071666,7071888
实惠农家乐,,13979606877,
景区农家客栈,,13576648467,
八角楼山庄,,07966666887,
景明驿栈,,07966566928,13217961268
大井农家乐,,13879638238,
银都宾馆,,13207967780,
银星大酒店（地税干部井冈山培训基地）,,07966565800,
井冈山宾馆,,07966552618,
喜来登大酒店（瑞金路店）,,07966890681,
青草客栈,,18907066635,13755429593
井冈山市国鑫宾馆,,07966558880,
凯悦商务酒店,,07967119888,
红歌大酒店,,07962180999,
建业宾馆,,07966561388,
大井茶园农家,,13576612716,13970648616
小井特色农家院,,13576649406,
山地人家18栋,,18827802097,
满堂红宾馆,,13097061029,
国土基地酒店（红土地）,,07966666808,
圣地山庄,,07967026288,7027280
瑞峰宾馆,,07966567299,
红井岗大酒店,,07962089886,
邮政大厦,,07966554488,
金叶大厦,,07966558086,
红山宾馆,,07966552588,
供销宾馆（桐木岭路店）,,07962180118,
井冈岁月红色文化主题酒店,,07967072888,
林野大酒店,,07966557981,
红源宾馆,,15170810805,
西安天泽宾馆,,079688384025,
名扬楼别墅,,13902343291,
客家人住宿,,13755404907,
体育馆招待所,,07966552979,
工会宾馆,,07966560191,
翔龙商务酒店,,07967162668,
海事宾馆,,07966561999,
南苑公寓,,07966611988,
盐业宾馆,,07966561883,
生态苑客栈,,07967163777,
锦新宾馆,,07966899518,
西苑宾馆,,07966557589,
红土地山庄,,07962089668,18679602226
鑫悦宾馆,,13479061998,
新苑宾馆1,,07966557552,
山城大酒店,,07966553502,
阳光丽景公寓,,07962089788,
花园宾馆,,07966651288,
井峰宾馆,,07966559999,6559888
凤凰商务酒店,,07962089998,
89团旅酒店,,15270165722,
红军住宿,,07966556013,
南苑大酒店,,07966611988,
交通宾馆,,15070666642,18279650617
丽洲度假休闲山庄,,18370096830,
沁园春大酒店,,07966557999,
兄弟农家,,07966559451,18079636289
会师酒店,,07966863968,18507963836
荣达宾馆,,07966890118,
红城大酒店,,07966899588,
金丰宾馆,,07966891088,
茅坪拥军楼别墅,,07966813999,
农家野菜楼住宿,,07966556647,
金海诚宾馆,,18702563637,
方竹宾馆,,07966557878,
宝山宾馆,,07966896898,
路云宾馆,,07966551653,
河背农家院,,13576827957,
建设宾馆,,13576868177,
怡然居田园酒店,,07966550098,
舒馨宾馆,,07966893683,
悦来酒店,,07966863968,
东方红宾馆,,07966566333,
广电宾馆,,07967162828,
