姓,名,家庭手机,工作手机
龙兴宾馆（东店）,,05376343999,15562345657
永青宾馆,,05376751119,15069730356
宏苑宾馆,,05376816166,
柒彩时尚商务宾馆（兖兰路店）,,05376830456,
静雅宾馆,,15562369998,15553765478
瑞祥商务宾馆,,05376932688,
诚祥商务酒店,,05376666608,6666609
港湾印象连锁酒店（兖兰路店）,,05376827699,17753789312
香阁主题宾馆,,05377173366,
忆家快捷宾馆（嘉祥店）,,05376512333,
贵安商务宾馆,,05376822558,
晨光精品连锁酒店,,05376788888,
如家快捷酒店（济宁嘉祥汽车站店）,,05376455888,
梦泽缘商务宾馆,,05376864789,15589792519
鑫阳商务宾馆,,05376600068,13563728919
东环宾馆,,05373210885,
舒欣宾馆,,05376821234,
银座佳悦酒店（嘉祥店）,,05376592666,
东方君悦连锁酒店（曾子像店）,,05376900222,
都市迷你连锁酒店（萌山路店）,,05376451999,
嘉祥宾馆,,05376821282,
君临华府假日酒店,,05376868999,
尚客优快捷酒店（济宁嘉祥店）,,05376709999,
盛缘商务宾馆,,18354738556,
祥安旅社,,13287271918,
东方君临,,05376780000,6780000
鑫源旅社,,13053769663,
信义安诚信酒店,,05377172888,
怡站酒店,,05373370888,
亿客商务宾馆,,13188800522,
润豪宾馆,,05376789960,15863729066
棕楠海假日酒店,,05373232222,
格林豪泰快捷酒店（嘉祥建设南路店）,,05373232998,
恒成宾馆,,05376812666,
梁宝寺银都商务宾馆,,05376706678,6677133
鹏欣商务宾馆,,05373213666,
卧龙山商务酒店,,05376804333,15605378877
三力商务宾馆,,05376853888,
宜源亭商务酒店,,05376783222,
柒彩时尚主题酒店,,05376832777,
世纪商务宾馆,,05376827699,
尚都大酒店,,05373377777,6592888
天地仁和宾馆,,05373273008,13287290826
祺瑞宾馆,,05376839555,
麟城宾馆,,05376731555,
金都宾馆,,05376668188,
华祥招待所,,13562739555,
嘉祥大酒店,,05376989666,
萌山商务酒店,,05376821123,13280043168
天悦商务宾馆,,05376736667,6736668
润信酒店,,05376881888,
港湾印象连锁酒店（建设北路店）,,05373212999,
迎客来宾馆,,13280086485,
天华宾馆,,05376810188,
都市118连锁酒店（汽车站店）,,05373216999,
盛隆宾馆,,05373210184,
东方君悦精品酒店,,05376665666,6837666
365时尚宾馆,,05376851678,
金豪宾馆,,05373218899,
同安宾馆,,05376677522,
麒麟亿家商务宾馆,,05376820009,18653755861
爱家宾馆,,17853708388,
德意小屋,,13258039996,
城西浴池宾馆,,13964903908,
大和宾馆,,13953739585,
龙潭商务宾馆,,15969781998,
金河湾宾馆,,05376709369,13188823003
祥城宾馆,,05373219182,3217888
友谊商务宾馆,,13793751811,
天成宾馆,,05376784728,
卫国旅社,,18266835248,
华真洗浴宾馆,,13287209078,
甜园宾馆,,05376777789,
家外家旅社,,05376752590,
玉成宾馆,,15864146620,
天顺宾馆（建设北路店）,,05376869009,
嘉馨旅馆,,15263719098,
龙呈宾馆,,15269785666,
今世缘宾馆,,05376880777,
郭家老店商务宾馆,,13963739858,
阳光海岸,,15206771678,
祥龙宾馆,,13153791721,15564708801
客乐宾馆,,15106753431,
祥丰旅社,,05376820586,
嘉祥宾馆,,05376821339,
顺河宾馆,,13225481303,
世海大酒店,,05376813398,
亿轩宾馆,,05376828456,
嘉鸿宾馆,,05376162666,
竹园大酒店,,13173191910,
云海宾馆,,05376853333,
华庭商务宾馆,,05376677666,
冉里宾馆,,05376781173,15820073675
顺祥宾馆,,05376666660,6666662
贵和宾馆,,15753763343,
