姓,名,家庭手机,工作手机
厦友家精品客栈,,05926294755,15859252185
金杉树精品酒店,,05926152526,
心远酒店1号（集美大学店）,,05926151010,
厦门泊家雅苑主题公寓,,13215916706,
锦江之星（厦门集美杏林店）,,05926373999,
戴曼斯精品酒店,,05926217879,
蓝色海岸商务酒店（北站店）,,05923753888,3753688
华濠四季酒店（厦门北站店）,,05926290700,
土楼人家客栈,,18567969566,
珩馨民宿,,18965423841,
2046快捷酒店,,05928531818,18950038678
海角7号客栈（厦门北站店）,,18559777619,18959228031
乐途精品客栈（厦门北站店）,,13559474267,
浪漫小屋（北站店）,,13779945084,
遇见客栈（厦门北站店）,,05925883635,18150378669
小驴客栈,,13720875586,
易宿家168精品客栈（北站店）,,17750651069,
梦港湾精品客栈（厦门北站店）,,13338363312,
爱途精品客栈,,18850581038,
维也娜公寓（厦门北站店）,,18850335927,
随遇精品客栈,,18850336030,
海湾部落客栈（北站店）,,05925516225,18150368896
幸福人家酒店式公寓（北站店）,,15980861658,18060917623
蓝天温情客栈（厦门北站店）,,05926250647,13306029709
潘多拉精品公寓（厦门北站店）,,18559277768,
雅园520精品客栈,,13616060233,
致青春公寓,,13599903967,
巧·遇·时尚度假屋（北站店）,,18120733346,
转角.幸福.客栈（厦门北站店）,,13779945084,
归然客栈,,13850048479,
遇见你精品客栈（北站店）,,15959340832,
绿色家园客栈,,05926517175,15395929027
美丽华精品客栈（北站店）,,05926385290,18106083399
恋海风情精品客栈,,13225089169,
狗窝主题驿站,,13023975523,
集美小镇客栈（厦门北站店）,,05923150002,18064519639
乐安公寓,,15606097650,
幸福晴海驿站,,15080319502,
古德客栈,,18850558817,
北站好望角客栈,,18859270512,
厦门北站站前客栈,,18120786527,18150389817
心怡庄园,,18059828931,
浪漫小筑客栈,,15105956033,
蓝海湾主题客栈（厦门北站店）,,18030128590,
我们的岛客栈,,18606092571,
厦门北站陌陌之家,,18150389861,
锦江之星品尚（厦门集美大学国贸店）,,05923385888,
厦门松柏客栈,,13328329632,13859539772
厦门惠众之家客栈,,15960389608,
厦门北海湾惠龙万达嘉华酒店（原京闽北海湾酒店）,,05926123333,
拾青春客栈,,18106955305,
厦门星家坡客栈,,18059209659,
朋来客栈（北站店）,,18559777619,
厦门宾临客栈,,18050039365,
如佳青年旅社,,13959280114,
翠园客栈,,05926275001,18030256626
岩缘小筑宾馆,,18950048559,
摩客栈老别墅,,15040507450,
雅香阁客栈（厦门北站店）,,15959452117,15305925917
集大客栈（集美大学店）,,18759282305,
星期八主题客栈,,05926299876,18150166828
一米阳光客栈,,13559238278,
颐家宾馆,,05926689266,13023980685
厦门罗约海滨温泉酒店,,05926686399,
城市便捷酒店（厦门集美大学店）（原天地人酒店）,,05926295888,
五洲精品客栈,,05926093960,13599543192
新主题客栈,,05926281340,15880299589
博雅青年公寓,,05926316722,13365902736
舒心公寓,,18064486452,
1998客栈,,05926199976,18150160668
半山民宿,,13960394301,
梦梦公寓（厦门北站店）,,15985837091,
厦小理客栈,,15960389583,15159122223
阿琴客栈,,13799775516,
非常公寓,,15105968521,18159639278
心远酒店,,05926155959,
北站海湾精品客栈,,18950166651,
谊家快捷酒店,,05926603777,
鹭燕客栈（厦门北站店）,,18950048559,
春天里海景客栈,,18120779670,
家园驿站,,18250872181,15710605818
临厦恋语客栈,,18106955305,
天缘租房,,18650014252,15105981360
瑞瑞家公寓,,15280212129,
缘家客栈,,13055511648,
三号公馆（厦门北站学院店）,,18030222352,
微笑客栈,,15359892709,
燕晨假日公寓,,13850002973,
福临公寓,,05923369959,
如家快捷酒店（厦门集美大学店）,,05922632222,
爱筑时尚精品情侣主题酒店,,05927791666,
锦江之星（厦门集美学村店）,,05926279000,
阳光花园酒店公寓,,18859257318,
爱情公寓（厦门北站学院店）,,05926266679,18059867372
私奔主题客栈,,05926263073,13395010207
青年阳光酒店（杏林店）,,05927799555,
小铁门精品主题客栈,,15960204547,
宜家客栈（软件学院店）,,05926103810,15105972681
诚信公寓,,15880222963,
锦家公寓,,13860114236,
华舒酒店,,05926279999,
厦门北站奇旺旅馆,,18695696325,
如家快捷酒店（厦门集美杏林西路店）,,05926312111-9,
松山美地（北站店）,,15980896372,
四海之星酒店,,05926661655,
麻吉精品客栈,,05926060432,
厦门山水宾馆,,05926680888,
华大公寓,,13559490060,15260247849
厦门日东花园酒店,,05926218888,
锦江之星（厦门北站嘉庚体育馆店）,,05922596566,
财富天下客栈,,05926056129,15280282650
厦门嘉丽商务宾馆,,05926295999,18750237386
小酒窝精品公寓,,18950129421,
润悦丰酒店,,05928818188,
厦门名典商旅酒店,,05926197999,
厦门明珠海湾大酒店,,05923500333,
