姓,名,家庭手机,工作手机
三边宾馆,,09124613805,
美特快捷酒店,,09124933777,4933111
爱格主题酒店,,09124989999,
华卫钻石商务宾馆,,09124870999,
顺盈商务宾馆,,13720795537,
红楼商旅宾馆,,13239264899,
圣和宾馆,,13892225046,
绿地商务酒店,,09124819666,
日月星大酒店,,09128046789,
恒丰商务宾馆,,13659221978,
华泰商务宾馆,,09128046000,
君悦商务酒店,,09124846999,
明珠商务宾馆,,09124861999,
众舒时尚酒店,,09128053345,2341805
兴达宾馆,,09128055889,15353515059
天悦商务宾馆,,09124988666,
圣宝商务酒店,,09128069288,
7天连锁酒店（靖边民生路汽车站店）,,09128059199,
鸿达商务酒店,,09124968999,
四海商务宾馆,,18292216554,13289799678
东都大酒店,,09124967555,
海天盛世酒店,,13154022111,
正和大酒店,,09124834888,
丽人商务宾馆,,15309127768,
汇丰商务酒店,,09124811777,
锦江之星（靖边人民路汽车站店）,,09128047400-0,
龍源大酒店,,15029404562,13484483027
浩泰商务宾馆,,09128059168,
丰嘉宾馆,,09124611555,
吉利商务酒店,,09124919777,
祥和商务宾馆,,09128042888,
苹果商务宾馆,,09124838000,
油都商务酒店,,09122292999,
苹果快捷酒店,,09124989898,
辉煌商务宾馆,,09128047444,
钻石商务酒店,,09124648444,
锦溪宾馆,,09124616666,
和嘉快捷酒店,,09124833555,
2號公寓,,09124862222,
凌云大酒店,,09128040114,8040115
天丽假日酒店,,09124814777,
虹桥大酒店（新车站店）,,09128048666,
天天顺商务宾馆,,09124631661,
索菲利亚大酒店,,09124976666,
华纳时尚酒店,,09124618591,13325413266
佳鑫宾馆,,13892292920,
都市118酒店（靖边民乐园店）,,09124864999,
泰龙酒店,,09124810888,
御庭豪座大酒店,,09128042666,
烨金大酒店,,09124936666,8056666
天赐商务酒店,,09128069588,15529896238
钻石国际大酒店,,09124912777,
银都宾馆,,09124616677,
蓝雲商务宾馆（靖边店）,,09124971777,15029420999
天召丽庭,,09122256333,
百盛商务宾馆,,09124618889,
丽景大酒店,,09124810111,
富龙旅游度假山庄,,09124830556,13892212008
锦泽源酒店,,09124811999,
统万大酒店,,09124966666,
宝龙大酒店,,09124645588,
普尼商务酒店,,18220927922,
兴庆宾馆,,09124977678,13038993081
祥衡宾馆,,09124870777,15029420999
嘉禾商务宾馆,,09124865888,
昌盈商务宾馆,,15591225366,
红丰商务宾馆,,09128044567,
如家快捷酒店（榆林靖边汽车站人民路店）,,09122262255-9,
东方假日酒店,,09124838888,13892274468
升华商务宾馆,,18729426889,
东海大酒店,,09124919999,
锦苑大酒店,,09124834999,
富豪商务宾馆,,09128048999,
天宝俪商务宾馆,,09124625313,
仁瑞商务酒店,,09124728555,
云海大酒店,,18609129996,
圣都商务宾馆,,09128048668,
汉庭（榆林靖边县长城路店）,,09124985666,
树成大酒店,,09124864999,
中油西北大酒店,,09124877888,
龙海大酒店,,09128052333,13991076778
如家快捷酒店（靖边民乐园广场店）,,09122262211,
环亚大酒店,,09124878555,
蓝天时代酒店,,09124966660,
远银商务酒店,,13891245890,
金源商务宾馆,,09124642328,
恒隆商务宾馆,,18220201540,
星亚商务宾馆,,13892265624,
凯立蓉大酒店,,09128042777,
名都大饭店,,09124836666,
凯悦年华酒店,,09124649999,
明月商务宾馆,,13474443597,
靖边粮贸宾馆,,09128044999,
凯迪大酒店,,09128062222,
紫靖城生态园林酒店,,09128055555,8061111
