姓,名,家庭手机,工作手机
洪山宾馆,,07247331888,
阳光快捷酒店永隆店,,07247472777,
阳光快捷酒店雁门口店,,07247592111,
7日连锁酒店,,07247537777,
蓝天宾馆,,07247226222,
裕华大酒店（长途车站店）,,07246208588,
京山青年宾馆,,07247328199,
安馨宾馆,,15972635479,
钟鼓楼宾馆,,07247235957,
京山绿林风景区梅园大酒店,,13872907718,
绿林源宾馆,,13477388963,
玲珑客栈,,07246108226,15671085880
驿路港湾公寓,,07247575899,15872981059
绿林山庄,,07247488261,
东门宾馆,,07246503130,15629766661
西街宾馆,,15629788883,15629788887
银河宾馆（毓秀店）,,07247220288,
如家派柏·云酒店（京山店）,,07246200888,
华联99时尚宾馆,,07247406999,
京源饭店,,07246111618,
京城宾馆,,07247366118,
劳动宾馆,,07247222318,
新市华都宾馆,,07247243168,
瀚祥商务酒店,,07247234666,
步行街宾馆,,07247535678,
锦仁商务宾馆,,07247412777,
京都宾馆,,07247344799,
京山天鹅之恋主题酒店,,07247219899,
华洋假日酒店,,07247328999,
尚一特连锁酒店,,07246200000,6208888
尚客优快捷酒店（荆门京山城中路店）,,07247520888,
天安宾馆,,07247239688,
伟豪客栈,,07247461231,18972898561
泊金湾精品酒店,,07247466888,
京华宾馆,,07247339888,
荆门屈家岭金色假日酒店,,07247490888,
美的商务酒店,,07247330999,
悦豪大酒店,,07247425666,
东城宾馆,,15629766661,15872925584
花心旅馆,,18972898332,
京山县四季如家酒店,,07247235566,7238866
1加1宾馆,,07247223488,
金福源酒店,,07246813777,
米兰精品主题酒店,,07247565999,
巷子里·7公寓,,18696022677,
富水公寓,,13886903306,
乌托邦驿站,,07247329887,
宝盈商务宾馆,,07247567555,
兴丰宾馆,,07247413699,
荆门江峰商务大酒店,,07247418818,
金凌宾馆,,07246205566,
碧水蓝天洗浴广场（客房部）,,07247345888,
鑫城商务宾馆,,07247423299,
嘉逸商务酒店,,07247422777,
鸳鸯溪宾馆,,07247488698,
京惠宾馆,,07247222199,
惠亭湖假日酒店,,07247336666,
京仑饭店,,07246211666,
五色谷快捷酒店,,15717821617,17371617757
九洲大酒店,,07247221888,
华兴宾馆,,07247488057,
新市商务宾馆,,07247220518,
仁和宾馆,,07246204999,
城市便捷酒店（京山客运站店）,,07246500555,
荆门锦程客栈,,15872934719,
喜洋洋宾馆,,07247325555,
丽都宾馆,,07247327979,
家逸宾馆,,18986978917,
京山太子山庄养心谷,,07247461888,
8号宾馆,,07247419299,
玫瑰湾宾馆,,07246218066,
智梦旅社,,13677260484,
金五商务宾馆,,07247425599,
文峰公园网球宾馆,,07247337866,
九鼎商务会所,,07247342888,
艳芳宾馆,,15908637793,
白鹿春舍酒店,,07246214699,
精武宾馆,,07247320040,7320030
同福宾馆,,13409605069,
京山豪威凯瑞大酒店,,07247339999,7239888
锦豪商务宾馆,,07247413888,
广盛宾馆,,07247233669,
邮电宾馆,,15327557587,
逸林居客栈,,07247461431,13971869327
国会宾馆,,07247217688,15972635358
紫来宾馆,,13677247305,
蓝天宾馆,,07247423399,
林业宾馆,,07247233088,13972867108
宜家快捷宾馆,,07247227899,
东旭商务宾馆,,07247414777,
万珍宾馆,,07247326735,
翰林商务宾馆,,07247361666,
商业宾馆,,07247221333,7231766
广电宾馆,,07247221761,
鑫山宾馆,,07247219666,13385242233
家馨时尚旅店,,07247239988,
金玉商务宾馆,,07247410766,
7號公馆,,07247576777,
缘汇宾馆,,07247332121,
京山爱尚宾馆,,07246200399,
君临商务宾馆,,07247236889,
锦江宾馆,,07247230388,
新概念商务宾馆,,07247233099,
铁路宾馆,,07246208088,
毓秀宾馆,,07247222799,
五叶红酒店,,07247320460,
春风宾馆,,13477554993,
华达酒店,,07246208666,
金海湾宾馆,,07247237888,6501799
京山玉丰国际大酒店,,07247336999,
邮政宾馆,,07247322588,
百花宾馆,,07246625555,
利金酒店,,07247328567,7328707
五三国际大酒店,,07246205666,
京山金山国际大酒店,,07247568888,7365999
百合商务宾馆,,07246212251,
杰哥酒店,,13972872985,
荣鑫宾馆,,07247418849,13339773488
绿林山生态旅游度假酒店,,17080660068,
绿林山度假酒店,,07247488888,
十客房旅馆,,18908696068,
车友宾馆,,13774052476,
京江宾馆,,07247563265,
新月旅馆,,13707262448,
帝一酒店,,07247560000,
锦程客栈,,07247227688,
君蓉宾馆,,13047185005,
永兴宾馆,,07247535999,
灶王府宾馆,,07247236868,
权群宾馆,,13677275315,
萌萌旅馆,,13677256544,
盛源宾馆,,13093232498,
美美宾馆,,13581352076,
宜佳宾馆,,072413886941,13886941600
京豪商务宾馆,,07247573115,
潆波招待所,,13807266656,
绿林山庄,,07247488990,
佳家宾馆,,07246216188,
新运宾馆,,13971850487,
辉林酒家,,07247436286,
云杜宾馆,,13607264326,
映山红宾馆,,072482731959,15178962204
京港宾馆,,07246208999,
佳佳宾馆,,18672178339,
思源小栈,,13093233010,
民福大酒店,,07247320888,
京山太空舱旅馆,,13409605069,15827842348
罗店宾馆,,07247582111,
阳光快捷酒店宋河店,,07247561666,
法院招待所,,07247234088,
城开宾馆,,07247331733,
五应宾馆,,07247410222,
假日旅馆,,07247227257,
石龙宾馆,,07247464566,
仙女山庄,,07247383898,
新阳宾馆,,07246200518,
艳阳商务酒店,,07247324777,
国信宾馆,,07247222048,15926666596
艳阳宾馆,,07247228668,
交通招待所,,15972656910,
食乐园旅社,,07247451496,400833-6699
轻机宾馆,,400833-6699,
迎宾宾馆,,15327499277,
白云边招待所,,13677263423,
兄弟宾馆,,07247222762,
海月湾酒店,,07247233888,
城畈招待所,,07247232823,
神舟宾馆,,07247419438,
太子商务酒店,,07247227928,15007262622
毛家旅馆,,07247412777,
京鑫宾馆,,400833-6699,
城管宾馆,,07247235939,
房产宾馆,,07247321336,
大洪山宾馆,,07247488068,
荆门京山华兴旅馆,,13972880648,
时代宾馆,,07247326455,
便民旅社,,07247415225,
旗旗宾馆,,15271774611,
蓝天假日宾馆,,07247224000,
顺风旅馆,,15971989190,
京永宾馆,,07247472197,
涌鸿宾馆,,07247411888,
友佳宾馆,,07246212100,
33号宾馆,,072415572666,15572666405
爱珍宾馆,,07246500898,
嘉源宾馆,,15337474836,
嘉丽宾馆,,07247220888,
宋河电力宾馆,,07247562458,
鑫盛客栈,,07247329808,
园梦旅社,,15327497219,13297128986
天河度假村,,07247488260,
广茂宾馆,,07247326281,
富临宾馆,,07244281109,
绿林旅馆,,07247239286,
开心宾馆,,07247239588,
君安宾馆,,13581326445,
