姓,名,家庭手机,工作手机
盛源宾馆,,031184499669,
弘发宾馆,,031185127972,
金冠宾馆,,031184384272,
尚辰宾馆,,031184398439,
7天连锁酒店（石家庄晋州信誉楼店）,,031189138777,
鸿业大酒店,,031184338222,
521主题酒店,,031184366521,
石家庄365云盟酒店（晋州宾馆）,,031184380166,84319999
鑫盛宾馆,,031184495058,
如家快捷酒店（石家庄晋州火车站中兴路店）,,031184337777,
东苑宾馆,,031180753689,
嘉年华宾馆,,13313315101,
恒丰宾馆,,031184326583,13032631503
宏泰宾馆,,031184321891,
香城旅馆,,031184315180,13231138245
鑫天地宾馆,,031184499123,
尚客优连锁酒店（新时代汽车广场店）,,031184406777,
星期天宾馆,,031189817678,
驿家365连锁酒店（人民医院店）,,031189138365,
365云盟酒店（晋州火车站店）（原九九客栈）,,031184483222,
驿家园宾馆,,031184433777,
都市花园酒店（晋州新客运站店）,,031184496888,
中兴旅社,,031182161066,
吉祥宾馆,,031184413076,
商城酒店宾馆,,031184338614,
红云宾馆,,031184367773,13582618996
广源宾馆,,13803345656,
广汇宾馆,,18831186153,
驿家365连锁酒店（晋州卓创店）,,031184322365,
怡顺旅社,,13014394012,
艾尚520主题酒店,,031184414520,
恒源宾馆,,031184336369,
朋悦宾馆,,15033110066,
金泰宾馆,,031184331986,
晋影宾馆,,13653218458,
金源宾馆,,031184321593,
星梦宾馆,,031184337719,
炬星宾馆,,031180753723,15003114688
福缘宾馆,,17743897939,
金堂商务宾馆,,031184335558,
沃源商务酒店,,031184311666,
顺达旅社（光明街）,,031184316188,
奕佳宾馆,,031184315898,
嘉诚商务宾馆,,031184311666,
东方之星快捷酒店（光明路店）,,031184484300,
家兴旅馆,,13402486701,
再相逢旅馆,,031184329779,
四朋宾馆,,031184327356,15831927298
天佑宾馆,,13343231076,
西苑宾馆,,031184488888,
纱城宾馆,,031184325052,
小天鹅宾馆,,031184488555,
城南大酒店,,031184328801,
工业路宾馆,,031184413222,
华都温泉假日酒店,,031184435111,
晋丰旅馆,,031184329635,
北方宾馆（新园街店）,,031184318118,15130079799
尚品公寓,,13932115668,
阳光旅馆,,13315462533,
庞家小院,,18931196169,
金融招待所,,13231107105,
天天宾馆,,13933024444,
总十庄KTV宾馆,,18732100143,
丽宫宾馆,,031184315181,
富祥旅社,,13831181168,
魏征街旅社,,13933032124,13081111985
光明旅馆,,031118032416,18032416328
新世纪旅馆,,031184312826,
紫云宾馆,,031184320783,400833-6699
金鹏宾馆,,031184327355,13102819165
晋州宏光旅社,,13073188688,
槐茂春旅馆,,13473960379,
新华宾馆,,031184356884,
帝都宾馆,,18633869329,
祥瑞宾馆,,031184333986,
