姓,名,家庭手机,工作手机
盛世鸣水世界中心客房部,,04675627777,
爱尚家快捷宾馆,,04672791333,
鑫玉林旅店,,15946768458,
馨悦主题旅馆,,04675458988,
东府快捷宾馆,,18646754447,
福成旅馆,,18945157667,
红业舒适旅馆,,04676223377,
禧年快捷宾馆,,04675915555,5911999
天天时钟旅馆,,04675286161,
有家快捷旅馆,,04675523332,15561753332
晨光快捷旅馆,,04675212515,13946862515
宏伟旅馆,,04675513777,
诚信新旅馆,,18746775511,
欢乐家休闲旅馆,,04675973000,
假日快捷酒店,,04675577888,
驿家快捷宾馆,,04672357222,8126111
瀚森商务宾馆,,04676250666,
时尚日租公寓,,13199169606,
瑞丰阁宾馆,,04676135888,
鸿枫快捷宾馆,,04675281666,
鸡西帕弗尔饭店,,04672667777,
燕鑫旅馆,,15545717755,
隆越洗浴宾馆,,04672436888,
柠檬快捷旅馆,,04675282800,13136940000
红浪漫主题宾馆,,04676189969,
海洋之星快捷宾馆,,04676697333,8135333
新天地时尚宾馆,,04676111555,
密海湾宾馆,,04675205777,
金港湾商务宾馆,,04678623333,
宏汇快捷旅馆,,04675230567,
禧達福商务宾馆,,04675289999,
福天宾馆,,04676117999,13634673786
凯悦宾馆,,04675404444,
越秀时尚宾馆,,04676224777,13945830003
叙缘宾馆,,04676119997,
禧龙宾馆,,04675210467,18945836722
金缘快捷宾馆,,04675749567,
新城宾馆,,04675182222,
禧龙宾馆（虎林店）,,04675873777,
旺达快捷宾馆,,04675068666,
阳光假日宾馆,,04672139999,
千岛林接待中心,,04675955582,
新巴黎假日酒店（康乐街店）,,04676233666,
首成宾馆,,04676195999,
上佳宾馆,,04676221888,6160123
时尚家庭公寓,,13836559168,
阁林旅馆,,04672680777,
阳光快捷宾馆,,04678299217,
速8酒店（鸡西万达步行街店）,,04676121888,
茗苑宾馆,,04672751234,
如家快捷酒店（鸡西金龙大厦火车站万达广场店）,,04672190888,15146757880
丽阳舒适旅馆,,04675172833,
汉庭（鸡西火车站店）,,04672366666,
回家日租房,,15184626833,
友合商务宾馆,,04678819999,
王府客房,,04675129997,
康安宾馆,,04675239929,
东北宾馆,,04672659933,15184636611
北琴海商务宾馆,,04672393355,
轩菁苑旅店,,04675829566,
临江宾馆,,04675939986,13384678197
家源旅馆,,04675220277,
驿站快捷旅馆,,04672665099,
金诚旅店,,04678156241,
嘉城客栈,,04675523123,
如意168时尚宾馆,,04672645888,
开元宾馆,,04675900678,
哆来咪8宾馆,,04678683888,
開元宾馆,,04672335288,
晨曦宾馆,,04675512111,
恒润宾馆,,04672133777,
鸿日快捷旅馆,,04672648186,
如海宾馆,,04672638666,2334777
日月潭连锁快捷宾馆,,04676182999,
鸡西龙城花园酒店,,04676188888,2882333
天意洗浴会馆,,04675257999,
金玉旅馆,,15110116777,
温馨日租公寓,,15246228822,
格格日租公寓,,18646744321,
同鑫宾馆,,04675555507,15645826599
万豪商务宾馆,,04678678999,
华逸快捷宾馆,,04678190678,
宜家休闲会馆,,04672551234,
蓝色港湾主题宾馆,,04675835888,
龙潮商务会馆,,04678108666,
佶佰快捷旅馆,,04676203000,15645807665
英利快捷宾馆,,04672559876,
柏宁假日酒店,,04676116666,
华融酒店,,04675608868,
日租房,,15645804456,
恒顺旅馆,,04675926868,13234671287
龙悦快捷宾馆,,04672306656,
鸡西市委招待所,,04672669988,
万佳假日旅馆,,04675266522,13836566660
嘉年华时尚快捷宾馆,,04678291555,
永昌旅社,,04672135608,
福顺源快捷宾馆,,18246771000,
如意旅店,,15946661659,
隆江宾馆,,04672647777,
苹果假日舒适宾馆,,04675288008,
月秀港湾快捷宾馆,,04676223535,
禧龙宾馆（站前店）,,04675853888,5853777
八方来宾馆,,18746774776,13763679503
虎林好时光商务酒店,,04675888777,
鸡西市鸡冠区格林鼎顺酒店,,13206967666,
七星旅馆,,13624670989,
今生缘快捷宾馆,,04672322799,
海浪快捷宾馆,,04675211903,15545296867
安泰旅店,,18646766911,
水宫休闲浴馆（客房部）,,04672458666,
我行我宿日租房,,15645804456,
嘉怡快捷旅店,,04672451118,
时尚旅馆,,15045776935,
畅响宾馆,,18646777018,
诚信公寓,,04676159001,
党校招待所,,04672886688,
时光驿站,,15184630001,
北方快捷宾馆,,04672400707,
金达莱宾馆,,04675288383,
君悦商务宾馆,,04672896999,2896888
禧龙宾馆（兴国中路店）,,04672339222,
今兆晖快捷宾馆,,04676228885,
密山宾馆,,04675226666,
日月潭时尚宾馆,,04672583888,
铭珠快捷旅馆,,04672123733,
梦溪快捷旅馆,,04672303666,
福顺财多大酒店,,04676116988,2436111
龙电宾馆,,04672733333,2651000
东方珍宝岛商务宾馆,,04676201777,6201888
维多利亚宾馆,,04678899777,
龙煤矿建招待所,,04672722863,
驿路阳光快捷宾馆,,04675241118,
杏福霖时尚宾馆,,04675115777,13946862789
青竹旅店,,04675233322,
金瀚旅馆,,04675288799,
鸿成快捷旅馆,,04675553339,
日月潭时钟宾馆,,04676118666,
金昱宾馆,,04675608555,5608818
浅水湾洗浴（客房部）,,04672413999,
爱丁堡时尚快捷宾馆,,04672122345,2602222
福龙宾馆,,04676177117,
丽江宾馆,,04678135777,
福莱得酒店,,04676151777,
金翰快捷旅馆,,04672762555,
铁龙招待所,,18746774776,
苹果假日快捷宾馆,,04672888876,
钰烨城时尚宾馆,,04676221212,
红星楼宾馆,,04675156969,
汇鑫旅社,,04672668558,18604666031
花园宾馆,,04676189999,6173111
鑫吉祥快捷宾馆,,04676211678,
丽江宾馆,,04672396555,
虎林鑫人合旅游滑雪山庄,,04675856222,
520快捷旅馆,,04676222520,
0467时尚快捷宾馆,,04672120467,2128888
德林商务酒店,,04675297000,
宜静家庭旅馆,,13846098515,
百旺快捷宾馆,,04678134444,15846443081
1+1旅馆,,04676117000,
火车头快捷旅馆,,04678293456,13054324646
东源快捷时尚宾馆,,04676193555,
金瑞源宾馆,,15094660909,13763645345
彼岸时尚客房,,04676136668,6731333
祥瑞宾馆,,18204675558,
月牙儿时尚旅馆,,04672899977,
思家快捷宾馆,,13159899755,
密山贵宾楼,,04675222111,
青苹果快捷宾馆,,04678296333,2338288
雅林时钟宾馆,,04676228333,
爱尚时尚快捷旅馆,,13351873234,18704676999
瀚庭洗浴客房部（原隆华宾馆）,,04678183111,
虹竹快捷宾馆,,04678139777,
东方宾馆,,04675115555,
诚信旅店,,04675831999,
汉宫水疗商务会馆,,04672881777,
苑容旅社,,04678137219,
黑8时尚快捷宾馆,,04678687777,
白鹤快捷宾馆,,04675220168,
小资印象快捷宾馆,,04676196789,
兴亚宾馆,,04675240001,
北府浴都（客房部）,,04678112111,
日尚快捷宾馆,,04676222777,
假日旅馆,,04675804000,
宏昆宾馆,,04675222986,
鑫水湾商务酒店,,04675608679,18346796597
广聚旅店,,04672648816,
望湖时尚宾馆,,04675437766,
皮革城大酒店,,04675244999,
鑫溢大酒店,,04675081888,
九洲旅社,,13904877559,
金源商务酒店,,046761599999,
飞鱼宾馆,,04675083579,
申乐会馆,,04672679555,8287555
鸡矿集团宾馆,,04672722142,
普罗旺斯时尚宾馆,,04676224666,
新宇旅店,,13904878862,
静竹苑旅店,,13329565009,
乌苏里商务酒店,,04675955799,
海阔宾馆,,04672646381,
嘉和佳快捷旅店,,04676228282,6228282
宏利锦程快捷宾馆,,04672679898,
天府旅馆,,04675219177,
百利达快捷旅店,,04672671957,
御龙山庄,,04672687555,
新丽旅社,,04672646955,
矿务局大酒店,,04672723082,
龙都酒店,,04672625555,
锦江宾馆,,04678273888,
六福酒店,,04675966888,
翰林快捷旅馆,,04676222279,
家兴园旅馆,,04676122334,
佰盛旅馆,,13504681146,
嘉和福快捷旅馆,,04672681456,
千翔阁招待所,,04672371338,13836598687
金吉祥宾馆,,04675828777,
洪利旅店,,04675830509,
新兴庄园客栈,,04672305990,
鑫梦旅店,,13634670868,
思佳宾馆,,04672559889,
兴凯湖镇东方酒店,,13945812003,
红星宾馆,,04678966666,
俄罗斯风情园酒店,,13846091227,
安君旅馆,,04675888221,
金城园酒店,,04672728978,
鹏顺阁旅馆,,13555052757,
洪发旅店,,046781296999,
铭辉快捷旅馆,,04676222199,
春秋宾馆,,15094660909,
金尚快捷旅馆,,13945806711,
都乐休闲旅馆,,15946773477,
隆达旅馆,,18004679716,
吉祥旅店,,18246723476,
香积国酒店,,04675125099,
阳光时尚快捷旅馆,,04675556664,
女子公寓,,18646781225,
家兴宾馆,,13804892715,
金地旅馆,,04676138000,
文成旅店,,13836599899,
乾丰快捷宾馆,,04675717888,
南华快捷宾馆,,04675517888,
日月明宾馆,,04672130028,
银河新概念会馆,,18945815222,
百顺旅店,,15045786355,13836516579
牵手旅馆,,13945822560,
银河旅店,,13946824495,
招待所,,04678292288,
银河旅店,,04675261668,
好运来招待所,,04672665411,
焱焱旅馆,,13624676222,
俊盛旅店,,04675900234,
爱朶快捷主题旅馆,,04678279099,13846008621
隆鑫旅店,,400755-8888,
鱼家园,,13796417675,
乌苏里招待所,,04675825337,
浪漫巴厘岛快捷宾馆,,04672786161,
天竹旅店,,04675222753,
风顺快捷宾馆,,04675573999,
爱情公寓,,04675521521,
温馨旅店,,04678116059,
祥瑞休闲快捷旅店,,04675297618,
名爵商务宾馆,,04675232882,
隆源宾馆,,04675507678,
9+1主题宾馆,,04672782245,
聚鑫源旅店,,13101677654,
缘中圆酒店,,04676727666,
新概念旅馆,,04675998444,
金元旅社,,04678279080,
新虎林宾馆,,04675823188,
同鑫时尚宾馆,,04675518555,
温馨旅馆,,04675223801,
谊昌旅店,,04672669387,
鸿云别墅,,18724673777,
银河旅店,,04672470770,
聚鑫旅店,,04672478866,
馨馨园旅店,,13836547387,
苏武牧羊大酒店,,04675929555,
盛祥园旅店,,04675128799,
凯悦快捷宾馆,,04675551110,
鑫誉旅店,,04672570666,
双兴旅店,,15845358168,
温暖旅店,,04672461711,
德源旅店,,13946804337,
审计培训中心（颐园酒店）,,04672374162,
水利宾馆,,13796930138,
朋来客栈,,04678203883,
小米粒儿民宿,,13045367087,
鸡东宾馆,,04675582451,
五谷飘香农家院,,04678125558,
关东农家院,,04672381999,
陌陌宾馆,,04675935333,
虎林宾馆,,04675823188,
福祥旅店,,04672569618,
新东北农家院,,04675509456,13763671467
汇众洗浴中心客房,,04675840000,
贵宾家庭旅馆,,13624676456,
家庭式旅馆,,18646720137,
金贺宾馆,,04672393123,
家庭小厨房,,13945802300,
福客来旅馆,,04678170678,
星光旅馆,,04675218588,
旺居快捷旅店,,15146737888,
青山湖大酒店,,04675602888,
青雅旅店,,04675086588,
新贵旅社,,04672662781,
金海旅店,,04672484355,
一得金旅馆,,04676212567,
福园旅馆,,04675220707,
亿乘旅店,,13089569797,15184632222
钢强旅馆,,04675596333,
一北旅店,,04675736456,
金桥旅店,,15094639137,
鸿运旅店,,04672562234,
红馨月旅店,,04672422880,
瑞达旅店,,04672557557,
海滨酒店,,15246225900,
顺源辅酒店,,13945829176,
蒋旭大酒店,,15945807189,
添福客栈,,04675886427,
兴凯湖饭店,,18204672518,
明明小旅馆,,04678161117,
家外家旅馆,,15846724444,
虎头镇水利宾馆,,15094640555,
恒久招待所,,04672552567,
家园旅店,,15146735432,
明园旅馆,,04678168156,
聚宾旅馆,,04672649218,
金利旅店,,18643940789,
家庭旅馆,,15846716270,
