姓,名,家庭手机,工作手机
澄园别墅,,13970252371,
阳光招待所,,18720169407,
老表招待所,,18779232397,
金城小宾馆,,18807928118,
三江宾馆（庐峰东路店）,,07928589831,15350462775
儒林宾馆,,07924809919,
华龙宾馆,,07928615878,
君宁旅社,,07924334152,
小中房宾馆,,15807929912,
瑞莉豪华公寓,,18179248496,
农友小宾馆,,13607925217,
京东宾馆,,13479233478,
浩丰旅馆,,07928987708,
南站宾馆,,07928127776,
李阿姨家庭旅馆,,07928289128,
宏宇宾馆,,07926821540,
亚星客房部,,13133923878,
小丽家庭旅馆,,18720286185,
丽都宾馆,,13870271684,15390877212
银海宾馆,,07924886259,
港城招待所,,07926758399,
青春来家庭旅馆,,13970251282,
菜家庄住宿,,15007028959,
江南旅社,,07928588331,
新华光商务酒店,,07926892293,
丽都宾馆,,15307027555,
富豪商务宾馆,,07924201388,15898531792
龙海宾馆（双峰路店）,,07928235566,
九江兄弟公寓（2号）,,15779831288,
庐山雅楼家庭旅馆,,18907022882,
振鑫招待所,,15179202009,
站北宾馆,,07926810417,
金诚宾馆（大润发店）,,13803554983,
蓝谷假日酒店,,07924394888,
牧童小院,,13037271998,
黄百涛别墅,,13970217305,
朋悦斋别墅,,18779221177,
庐山瑞士雪山别墅,,13970252371,
北美枫叶别墅,,13970252371,
庐山美国圣公会主教别墅,,13970252371,
林芳宾馆（火车站店）,,07928500428,18779235539
豪庭快捷旅店,,18370252020,
红枫宾馆（火车站店）,,07928595618,15079273968
吉祥宾馆（火车站店）,,13870236075,
明珠招待所（三医院店）,,13617923425,
林芳宾馆二部（火车站店）,,15350133988,
夜子家庭旅馆,,13907920650,
永安小宾馆,,15879268599,
洁诚小宾馆,,15979967123,
九景小宾馆,,15270573678,
京九宾馆,,07926821607,
红星小宾馆,,13320022369,
水兵宾馆（火车站店）,,07928554913,18720280698
城西阳光旅馆,,18979265511,
商贸宾馆,,15949527326,
富安宾馆,,07928533531,13307029155
华泰宾馆,,07927036836,
富强宾馆,,15879273588,
慧庐宾馆,,13870203279,
周阿姨牯岭小院家庭旅馆,,13979280370,
源鑫宾馆,,07928281716,
新海商务宾馆,,13635971588,
富华小宾馆,,15179231399,18779218129
暖馨酒店式公寓,,13755239533,
光阳生态园客房,,13426621662,
便民客栈（烟水亭店）,,18379227185,
望角招待所,,13879232951,
鑫庐大酒店（二店）,,13507023836,15949557646
醉美酒店,,18170292777,
琴海宾馆,,13197921971,
风景名胜区曹珍家庭客栈,,07928283560,
聚庐大酒店,,13970269722,
如意出租屋（九江学院店）,,18279227920,15347926070
小院子客栈,,07928790638,
市容招待所,,07928261757,13755213785
海霞家庭旅馆,,07928283692,18779211811
盛源客栈,,13979226366,
东门客栈,,13870275899,
军民招待所,,18379228313,
雅逸轩客栈,,13767208555,
安江招待所,,18146608577,18146606577
长江宾馆（九江庐山分部）,,07928281826,
九德宾馆,,13479298750,15949573307
佳缘小宾馆,,15070219103,
舒雅出租屋（九江学院店）,,18370123650,
金阳光宾馆,,13907026871,
鸿运宾馆,,07928580319,
星光招待所,,07928270870,
长韵公寓,,18770277889,
都市家庭旅馆,,13767250075,
武宁宾馆（浔阳东路店）,,13672253858,
云上归墅客栈,,07922399988,13207921116
满口香宾馆,,07928113111,
朋来宾馆,,17770261772,
姊妹娘家屋宾馆,,07928339753,
沙龙宾馆,,18270663573,
泰平招待所,,07928226909,18479285706
新福胜旅馆,,13037266168,
红星旅社,,07928133769,
庐山好宾馆,,13907020290,
天海连锁酒店（时尚主题店）,,07928311888,
新晨宾馆,,07924212262,13064178020
奕翰大酒店,,07924222227,
金沙宾馆,,07926812846,13803560139
天天旅馆,,13870263763,
浔城客栈（九江学院店）,,07922150606,
瑞昌市锦江之星商务宾馆,,07924208899,4232777
凯悦宾馆,,07924356988,15079238233
学子公寓（九江学院店）,,15170927306,
宇晴庐客栈,,13979266522,
庐山阳光假日家庭旅馆,,15979956481,
