姓,名,家庭手机,工作手机
漠上花主题客栈,,18809371369,18909373975
顺意得农家乐,,09378833382,
拾壹号旅馆,,13993743331,13099371908
口天客栈,,13399403799,
大漠恋青年客栈,,15339377661,
鑫叶小宾馆,,13893714195,
旅途时光客栈,,09378886070,13099379679
东盛招待所,,09372666667,
沙窝窝客栈,,18893615915,
北方湖杨宾馆,,09372626060,
友家客栈,,15309373653,
星月宾馆,,09372655217,
亚欧宾馆,,09373336288,13389476660
葛老大农家客栈,,09378882385,
龙吉宾馆,,09375999141,
福华快捷酒店,,09372610866,
敦煌锦富精品酒店,,09378887999,
梦之途客栈,,09378882629,15693777728
天骄快捷连锁宾馆（三分店）,,09372667770,
西之奇饭店,,09372665333,
玉门油城商务宾馆,,09373243383,
五洲商务宾馆,,09375911199,5985222
悦天商务酒店,,09378818558,
民政宾馆,,09375918000,
银河快捷商务宾馆,,09372631658,
彩虹桥商务宾馆,,09372662266,
派酒店（酒泉时代广场店）,,09372667778,
速8酒店（酒泉南苑店）,,09372664411,
天马宾馆,,13830147289,18193727804
农垦宾馆,,09375999588,
金合大酒店,,09373365700,
绿洲商务宾馆,,09372828555,
金玉宾馆,,09373218888,
陇安商务宾馆,,09375583333,13830779888
紫晶风尚酒店,,09375957777,
锦洲商务酒店,,09372825555,
天禧酒店,,09372778811,
尚客优快捷酒店（敦煌观景店）,,09378893888,8893777
大漠宾馆,,09378853388,
兴鑫宾馆,,09378805088,8888861
恒翔宾馆,,09378326666,13993703599
广盛源宾馆,,09375940000,
金洋宾馆,,09374411009,
莫高宾馆,,09375955888,
敦煌青旅太空舱客栈,,13893738346,
敦煌蘇源大酒店,,09378869666,
古郡雯华酒店,,09378853288,
青艺寓舍,,15101723929,
派酒店（酒泉建设路欧洲苑店）（原天骄宾馆一分店）,,09372667779,
敦煌华荣国际大酒店,,09378698886,18894095339
7天优品酒店（酒泉世纪广场店）,,09375982333,18809370973
佛光大酒店,,09378819886,18193719909
敦和大酒店,,09378892888,13830187668
睿辰宾馆,,09375586666,18509375053
天鹅情侣主题酒店,,09376952520,6950520
亿豪商务酒店,,09375598222,
广源大酒店（鸣山路店）,,09378821488,
浩缘商务宾馆,,09373376788,
锦江之星品尚（敦煌妙街店）,,09376989988,18893279221
新华客栈,,09378826077,13830188759
宏鑫商务酒店,,09378875688,
敦煌党河湾客栈,,09378899912,18093785091
鑫鹏快捷宾馆,,15193714655,15193737008
甘家庄客栈,,15293749768,
金莎宾馆,,09378800800,
嘉源商务酒店,,13830716839,
敦煌茉雅庄精品酒店,,09378892882,
滨河世纪商务宾馆,,09375953000,18709373030
君益缘山荘,,09378888026,15009481688
敦煌方舟大酒店,,09378898889,13309370008
敦煌金润大酒店,,09378848999,18893776060
敦煌蜜途微主题青年客栈,,18293730002,
云天国际大酒店,,09378898226,8896222
快客家庭公寓,,17793730077,
敦煌秦时明月客栈,,13618983318,
敦煌艾斯汀酒店,,09378800888,8865333
敦煌天下苑客栈,,09378805885,8805656
青木时代青年客栈,,13519077766,
敦煌木刻艺术客栈,,13359391015,
酒泉商贸宾馆,,09372666478,2664815
忆旅客栈,,13993733126,
自游人驿站,,09378698889,15009377565
敦煌青红艺术客栈,,09378825189,15293755483
大漠行者青年旅舍,,09378889696,
沙城驿站,,09378825136,18139779496
广源大酒店（阳关中路店）,,09378852928,
月泉文华农家客栈,,09378882296,
敦煌龙门客栈,,09378805056,18792792759
都市118连锁酒店（酒泉丽景阳光店）,,09372850616,17718672686
三人行驿站,,18693078111,
青宁驿站,,18097194567,18897068886
小时代青年客栈,,18209215586,18799263258
遇见青年客栈,,18089379912,13139488804
敦煌新泰·大酒店,,09378699777,
阿楚姑娘电影音乐青年旅舍,,17793729758,
