姓,名,家庭手机,工作手机
文苑家庭公寓,,18693777366,
朋来旅馆,,15193497773,
御龙客栈,,18215100010,15339873498
一缕阳光旅馆,,18298955085,15352180989
嘉峪关路路通招待所,,13993773203,13830196455
交通快捷宾馆,,09376225330,13993798684
嘉乐宾馆,,09376225814,
嘉峪关鑫乡韵庄园,,09376288118,18993796388
兴盛园客栈,,13993782918,18298963880
金峪快捷宾馆,,09376387788,
伊鑫商务宾馆,,09376288558,
嘉峪关飞善郡宾馆,,09376200611,13309476290
宜家快捷商务宾馆,,09376210088,
福龙宾馆,,09375971717,13299346555
尚客优连锁酒店（嘉峪关兰新东路店）,,09376288199,5971000
西域家庭式宾馆,,15009471666,15009478666
龙泉商务宾馆,,09376229922,15393261090
崯宏商务宾馆,,09376301099,6301089
宏大宾馆,,09376326693,6306688
牧马人青年宾馆,,09376229990,15293475859
鸿成宾馆,,09376389555,
锦江之星（嘉峪关兰新路店）,,09376399806-0,
水墨名关假日酒店,,09376200200,
清馨雅居客栈,,13239408963,15009472311
怡心家庭旅馆,,13830180009,15337002333
布丁酒店（嘉峪关大唐美食街雄关广场店）,,09376376888,6383333
果优商务宾馆,,09376301286,18693768829
麗枫酒店（嘉峪关方特欢乐世界店）,,09376268888,18193770007
聚缘家庭公寓（大唐美食街北门店）,,15101757782,
京龙宾馆,,09376238811,
嘉峪关佰欣宾馆,,09376342888,
星程酒店（嘉峪关雄关广场店）,,09376207111,
嘉峪关晟泰商务宾馆,,09376789567,15393267767
丝路雄关国际青年旅舍,,09376309922,15390582556
清幽雅居客栈,,15339877773,18793787999
泰和山庄,,09375942777,15101760377
嘉峪关过往咖啡宾馆,,09376208811,17793737750
7天优品酒店（嘉峪关大唐美食街店）,,09376390088,
富丽花园公寓,,18298951636,
嘉峪关印象雄关概念酒店,,09376330333,6330888
戈壁幸福之家驿站,,15009472573,18193771058
四海缘旅馆,,15348075311,
丝路之星快捷宾馆,,13079315550,
鑫玥旅社,,13830184272,
星程酒店（嘉峪关迎宾湖店）,,09376321111,59411110
丽都快捷宾馆,,09376372398,
乐美家庭公寓（润泽园小区店）,,15352183498,15209477329
都市馨家公寓,,13830190504,
咱家大院,,18609479778,
龙门宾馆,,13309476465,
嘉旅商务酒店,,09376918188,
洪予家庭公寓,,13830168568,13830167712
嘉峪关君澜酒店,,09376267088,18009475867
新育才家庭公寓,,15352185591,
温馨家庭公寓,,15339475736,13893791621
湖畔招待所,,09376324918,
嘉峪关丽城快捷宾馆,,09376388866,6323366
朝晖公寓,,18298951636,
紫轩阁家庭旅馆（火车站店）,,15193796936,18143772898
佳宁青年旅舍,,15095685552,13830168385
幸福一家人旅馆,,13830199928,
青峰小栈,,13399428165,
十號客栈,,17709471030,
嘉峪关骥家商务主题酒店,,09376264999,6390111
维纳宾馆,,09376269955,15352186283
嘉峪关御景快捷酒店,,09376220033,15293480926
驿旅阳光家庭旅馆,,09376398885,13321268115
嘉峪关圣德宾馆,,09376338788,13085940558
乐居雄关家庭旅馆,,18009479277,
方圆招待所,,09375960333,13659370358
舒颖宾馆,,09376288880,
百合宾馆,,13619373008,
南湖家庭公寓,,13830166677,18693778658
紫轩阁家庭旅馆（五一街店）,,15193796936,18143772898
万家家庭宾馆,,13519477031,
如家快捷酒店（嘉峪关新华中路人民商城店）,,09376301333,
嘉峪关金都商务宾馆,,09376339439,18109471004
关城老王家农家院,,18093730013,13993766813
金辉宾馆,,09376211899,18009470980
万悦商务宾馆,,09376379288,18193775008
聚德宾馆,,09375942222,18394805033
速8酒店（嘉峪关方特迎宾东路店）,,09376207888,18009479719
