姓,名,家庭手机,工作手机
桐桐旅社,,13183255111,
伞塔招待所,,037123910055,
超捷宾馆,,037125559692,
龙泊青年之家,,18539466543,
师生招待所,,13503785044,15333781226
清雅快捷酒店,,037127999790,
维爱主题酒店,,037123281166,
大宋天下,,037122110111,
星芮连锁酒店（通许店）,,037124998889,24999678
佳盛源租房,,18739988892,
梅雅酒店,,037122779999,
学府旅馆,,18937821611,
江南假日宾馆,,037124976727,13303782866
天宇宾馆,,18236562828,
添波快捷宾馆（西门大街店）,,037123237979,
瑶瑶公寓,,18736951226,
飘渺澜珊公寓（1店）,,13723236125,
飘缈澜珊公寓（2店）,,13723236125,
朋来宾馆,,13183284501,13083780350
吉星旅社,,13069306814,13673788345
迎宾旅社,,037122868345,15093668637
温欣家庭公寓,,15993343160,15736871229
新华超市旅社,,037125951415,
温馨旅社,,15837831975,13781176880
凤凰愉家酒店,,037126555999,
锦江之星（开封清明上河园龙亭店）,,037125996666,
彩虹主题酒店,,037122373331,22373315
玲玲家庭宾馆,,18530147654,15203781108
忆青春主题客栈（老河大龙亭景区店）,,037122660999,13393818857
尚客优连锁酒店（开封老河大西门龙亭景区店）,,037122162222,
山东旅社,,037125967662,
7天连锁酒店（开封鼓楼广场学院门店）,,037123627915,27776668
天连锁酒店（开封鼓楼景区大润发店）,,037123232307,
亿豪商务酒店（海洋馆河南大学店）,,037122856288,
新亚快捷宾馆,,15638133155,
吉祥公寓,,13343780330,
建伟旅馆,,18567005350,
银海旅社（丁角一街店）,,037123981904,
愉家旅馆,,13707619977,
佳明快捷（总店）,,13837848584,
佳明快捷（2店）,,13837848584,
53号公寓,,13603487527,
致青春私人影院主题酒店（新河大北门店）,,15226087977,18937866560
优优公寓,,15737821301,
怡家旅社,,13598787980,13503785816
乃升旅社,,037122386321,15890370227
牛牛宾馆,,037125979792,
旅行者青旅客栈,,18937849527,
新兴公寓酒店,,13137821919,
畅畅旅社,,13639691798,
假日主题宾馆,,15237871351,
润庭旅社,,18568640708,
九点快捷宾馆,,15037856682,
金阳光住宿,,037122232556,15037853527
事成客栈,,037122856776,13333781518
雪静旅社,,13783997672,
爱情公寓（新河大店）,,15237877127,15039044439
新河大公寓,,15515200561,
家美公寓（2店）,,13938637349,
好家公寓,,15515200561,
美家公寓（1店）,,13938637349,
天虹宾馆,,037123910607,13700789407
糖果快捷酒店,,037128661111,
网际主题酒店,,037123305557,
圣莲旅社,,037125986089,18581486692
爱情公寓（河大北门店）,,18737872020,18837889993
壹家快捷宾馆,,18003789729,
天资宾馆（一店）,,037123361111,13569502262
鑫盛宾馆,,037126441111,13333782258
尚家快捷宾馆,,13393812223,
楚天公寓,,13937824862,
华南旅社,,13223802342,
69快捷酒店,,037127939299,13569509227
悦佳美宾馆,,037123253198,15515524499
胜利家庭宾馆,,13937893011,
延军旅社,,15037878551,
刘吉招待所,,18738974531,
康美宾馆,,15038213152,
宜家商务酒店,,037126512999,
家缘快捷宾馆（大梁路店）,,037123235777,
锦绣宾馆（中山路店）,,037123155688,
家外家宾馆,,15903783331,
涵旭快捷宾馆（星光天地清明上河园店）,,18749860900,
菊园快捷宾馆（清明上河园西门店）,,037123893988,15103783308
七七快捷宾馆,,18937860228,
众达宾馆,,037122330085,15890372092
璞玉快捷宾馆,,13676991941,18937810105
开封好乐假日宾馆,,13938634196,
1十1公寓,,15838658281,
心静快捷宾馆,,13303783818,
来远宾馆,,037128996882,15137880455
天然旅社,,13937882991,
E家快捷宾馆,,037122383290,13569535697
三姐招待所,,037123910522,
海庭公寓,,18317842869,
亿豪宾馆,,18237812905,
宜居快捷宾馆（迎宾路店）,,037123851116,
振兴宾馆,,037122058887,
瑞祥快捷宾馆（包公祠店）,,037125662577,
