姓,名,家庭手机,工作手机
华庭宾馆,,09923658866,
顺天祺商务宾馆,,09906611116,6611115
万豪商务宾馆,,09907528666,15809909251
海格蓝商务宾馆,,09906990699,
泽宇天源宾馆,,09906963888,
美辰商务宾馆,,09906666752,6666753
丽都宾馆,,09927271000,
浩客商务快捷酒店,,09907563888,
都市926商务宾馆,,09906611566,6611567
博玉大酒店,,09906961888,6960777
大漠明珠商务宾馆,,09907582588,
蓝湖都市花园酒店,,09907523213,7523216
明珠大酒店（友谊路店）,,09906858888,6858988
美佳馨商务酒店,,09907558558,7528528
和颐酒店（克拉玛依石油总部店）,,09906999555,
锦江之星（克拉玛依行政中心店）,,09906668666,
迈乐薇快捷酒店,,09906666910,
全季酒店（克拉玛依店）,,09906390666,
乐尚精品酒店,,09907559999,
红十月精品酒店,,09906668880,6668885
尚客优连锁酒店,,09927271666,
蓝海·城市花园酒店（东岸）,,09907523211,7523223
蓝湾酒店（西环路店）,,09906988988,6988968
柠檬酒店,,09927271111,
克拉玛依乐好太宾馆（星云路店）,,09906990558,
鑫都快捷宾馆,,09906821888,
雪莲宾馆,,09907526000,
蓝湾酒店,,09906969165,6911988
如归快捷宾馆,,09906611668,
梦想青年旅舍,,13629978285,15709901744
兴隆宾馆,,09906666853,
禹新宾馆,,09907564222,
星程酒店（克拉玛依店）,,09906966668,
汇利石油民俗风情园,,09906886797,6875300
其实三十三主题酒店,,09907563008,7585008
如家酒店（克拉玛依电视台店）,,09907550000,
凯宾酒店,,09906376666,6371111
盛云轩商务宾馆,,09906628666,
雅都商务宾馆,,09906990000,13689976987
阳光酒店,,09907565588,7564450
汉庭（克拉玛依乌尔禾店）,,09906965888-0,
喜海湾酒店,,09906663222,6663777
陆豪商务宾馆,,09906611988,
石悦大酒店,,09906915888,
宏升宾馆,,09906628222,
幸福驿站宾馆,,15719968011,13031398588
歌诗图宾馆,,09906985222,13899565264
金旭快捷宾馆,,09906385555,
怡家商务宾馆,,09906915999,18799219216
丽缘商务宾馆,,09906984666,
豪梦缘宾馆,,09906628777,
东方大酒店,,09907558888,
威尔斯特酒店,,09907564666,7564777
苏杭商务宾馆,,09906966661,6966662
我行我宿商务宾馆,,09906611188,
新南苑宾馆,,09907584888,
温州商务宾馆,,09906666756,
金新酒店,,09906988888,
花园酒店,,09906928888,
梦龙宾馆,,09906962290,
海悦商务宾馆,,09906961166,
捷安大酒店,,09923872552,
亿客快捷宾馆,,09906975052,13999513775
汇友宾馆,,09906666853,
驿家商务宾馆,,09906666321,
阳光商务宾馆,,09906969357,6383666
清云阁快捷宾馆,,09906666369,
小小苹果商务宾馆,,09906611558,
海岸阳光精品酒店,,09907581111,7580000
苏园酒店,,09906666458,
鑫河宾馆,,09906666061,6666062
优家商务宾馆,,09906666510,
和美轩快捷宾馆,,09906230383,
太阳城宾馆,,09906886685,
天诚宾馆,,09923651110,18097805448
玉都商务宾馆,,09907585566,
博达银都酒店,,09906666628,7565888
葡京酒店,,09907589888,7589777
金新月宾馆,,09906917077,
新居快捷宾馆,,09906666578,6666579
克拉玛依沃沃大酒店,,09906989587,6989566
克拉玛依宾馆,,09906875555,6883192
福兴宾馆,,09906234048,13689986501
唯美主题宾馆,,09906888889,
银华快捷宾馆,,09906990668,
金芒果酒店,,09907558118,
益鑫宾馆,,09923653168,7271168
绿色家园快捷酒店,,09906233266,
新环球商务宾馆,,09906666826,6666827
佳兴宾馆,,09907559557,
龙华大酒店,,09906620288,6620289
皇朝商务宾馆,,09907581234,
好佳快捷宾馆,,09906913688,
香舒丽商务宾馆,,09906666633,
日濠水都（客房部）,,09906969888,
鑫龙泉宾馆,,09923688768,
惠林商务酒店,,09907585999,
赛家商务宾馆,,09923881288,3682033
君悦百合主题酒店,,09906817777,6892999
绿岛商务宾馆,,09906257168,
景苑商务宾馆,,09906663330,
万豪商务宾馆,,09927270888,7270666
天天顺宾馆,,09906988088,7583616
东湖宾馆,,09906611996,
玛依塔柯酒店,,09923886888,
香逸商务酒店,,09906886618,6666573
乐聚商务宾馆,,09906913899,15999397275
如意快捷宾馆,,09906259111,
东方商务宾馆,,09906967001,7563100
合意快捷宾馆,,09906666183,
星座主题宾馆,,09906611112,
新疆鸿福准噶尔大饭店,,09906989791,6989799
天阳大酒店,,09907582626,7582686
华生宾馆,,09906223840,
清水湾商务宾馆,,09906666406,6880596
蓝波湾酒店,,09906666580,6666581
乐怡居快捷宾馆（原金湖快捷宾馆）,,09907583999,
鑫宏源大酒店,,09923658777,
格林豪泰商务酒店（克拉玛依油建路店）,,09907523998,7523999
江南宾馆,,09906962483,
克拉玛依正天华厦大酒店,,09906969658,6989999
假日商务宾馆,,09906666850,
隆盛快捷宾馆,,09906990333,6990555
宝丽金商务酒店,,09906977898,
凯悦大酒店,,09906988500,6988566
嘉年华快捷宾馆,,09906238845,13899582238
天富宾馆,,09906369166,6369177
银珠宾馆,,09906666569,
桃李园大酒店,,09923871973,3650099
佳安招待所,,09923650978,
金新宾馆,,09926881120,
民乐园酒店,,09906885627,
侏罗纪大酒店,,09906960666,
金角商务宾馆,,18999519396,
