姓,名,家庭手机,工作手机
华顺宾馆,,051236683464,15335270327
158商务宾馆,,051257008806,15051692080
丝绸之家客栈,,13773191880,
君梦商务宾馆,,051257689555,
龙辉青年旅舍,,13581775168,
摩玛商务宾馆,,051257571237,18952459582
盛华时尚宾馆,,051236825175,
周庄藤仓青年旅社,,13750868879,13648295256
远大宾馆,,051283639766,
布丁酒店（昆山火车站店）,,051257168088,57168068
昆山优嘉大酒店,,051236870888,
周庄近水楼台客栈,,051257215523,
6+1商务宾馆,,051257880678,
君悦青年旅舍,,15035973331,
望江宾馆,,051257380583,
绩溪宾馆,,051236880999,13776335195
白马宾馆,,051257562500,
如意宾馆,,051257299128,
永泰商务宾馆,,051257899555,
青春雅居宾馆,,051257038999,
富锦园宾馆,,051257961333,
两岸丽景酒店,,051257357373,
速8酒店（昆山庆丰大桥外滩印象店）,,051236883866,
晴海宾馆,,051257779068,
周庄聚宝酒楼,,051257204990,
阳光城宾馆,,051257576158,
尚客优快捷酒店（昆山玉山镇震川西路超华建材市场店）,,051255109000,
周庄悦庭客房,,13956380118,15722659871
小桥人家客栈,,051257211851,18013220506
金恒商务宾馆,,051250362288,
柏林宾馆,,051255231380,
雅秀时尚宾馆,,051257757380,17740880766
玫瑰园宾馆,,051257451001,
水乡农家私房菜馆客栈,,051257212112,
星汇商务宾馆,,051255190222,
速8酒店（昆山青阳北路店）,,051236863888,
天龙快捷宾馆,,051257718058,
水乡客房,,051257212910,
东辉商务宾馆,,051255381666,
黄浦宾馆,,051250125999,
星尚连锁酒店公寓,,051250116211,
喆·啡酒店（昆山阳澄湖店）,,051236918588,
玉熙宾馆,,051255235666,
周庄珍珍客栈,,18915487815,
梦莱茵帆船俱乐部酒店,,051257942979,18012663554
云都商务宾馆,,051257868877,
日升宾馆,,051255179868,
尚客优快捷酒店（苏州昆山淀山湖店）,,051257810888,
速8酒店（昆山火车站店）,,051257371888,
大鸿运宾馆,,051255239700,
新江南宾馆,,051236821999,18112663128
印象·周庄精品客栈,,15905192332,15312159395
周庄壹号客栈,,18136199801,
周庄印象六月精品客栈,,18112650156,
悦心宾馆,,051257906279,57905780
金安商务酒店,,051250121015,
夜色江南临河别院,,051257212871,13862663106
锦江之星（昆山火车站店）,,051255218222,
优嘉永盛酒店公寓,,051250333388,36608188
昆山一醉皇冠酒店,,051257338888,
中环精品酒店公寓,,051236605666,
腾龙阁酒店式公寓（前进东路店）,,051286160888,86160016
烟雨江南民宿,,051257229978,13952454755
昆山君豪酒店,,051257168888,
三元楼精品客栈,,13338679565,
莼鲈之思度假酒店,,051257218899,
