姓,名,家庭手机,工作手机
田园宾馆,,15214970529,
启东商务宾馆,,09084221000,
万鹏商务宾馆,,09087666777,
君丽廷酒店,,09087655222,7655777
星河大酒店,,09084212666,
博格拉宾馆,,09084237000,
顺沁商务宾馆,,15209080521,
孜勒苏柯尔克孜乌恰县国际商务中心,,09084629888,
兴旺招待所,,15809085218,
交通招待所,,09084231988,13379706550
肉孜阿吉旅馆,,13579577778,
蓝天酒店,,09084233299,
中瑞商务宾馆,,09086668888,
邮政宾馆,,09085722283,
万宝宾馆,,09084238999,
钟鑫快捷宾馆,,09084253666,
供销宾馆,,09086666999,
阿图恰河大饭店,,09084236666,
桦林商务酒店,,13199753298,
腾飞宾馆,,18209080669,
晶鑫宾馆,,09084262888,
逸安招待所,,18997698029,
无花果宾馆,,09084226555,
电信宾馆,,09084222168,
温州商务宾馆,,09084239111,
和谐宾馆,,13199970788,
亚星大酒店,,09084236888,
克州宾馆,,09084223658,
针纺招待所,,09087622526,
邮政宾馆,,09084228336,
鑫源宾馆,,09086667111,
百信招待所,,09086660201,
阿克陶宾馆,,09085727888,
