姓,名,家庭手机,工作手机
园区大酒店,,05377700202,
君悦商务大酒店,,05377626888,
杏花村大酒店,,05377316999,7367777
迎春宾馆,,13853729695,
碧海蓝天宾馆,,05377796333,
云轩宾馆,,05377798888,15689763333
阳光快捷宾馆,,05377320002,
水浒客栈,,05377733111,
鲁源宾馆,,05377328916,
圣苑商务酒店,,05377450888,15668116288
豪客商务酒店,,05375105988,
九泰商务宾馆,,05377318989,
速8酒店（济宁梁山青年路盛世华城店）,,05377666698,
无名商务宾馆,,15020745777,
鹏程快捷宾馆,,05377731116,
龍昇商务宾馆,,15092768875,
一和宾馆,,05377768388,
家和快捷宾馆,,05377306523,18369729997
梁山县如家宾馆,,15275751222,
88快捷宾馆,,13165186068,
天马宾馆,,05373395777,
圣奥商务宾馆,,13953726092,
梁山水泊商场商务宾馆,,05377600166,
中韩大酒店,,05377368888,
柏克home精品酒店,,05377520899,
开元大酒店（水泊中路北关店）,,05377334788,
七星快捷酒店,,05377666661,
尚客优连锁酒店（梁山徐集正阳店）,,05377764999,
铂爵大酒店,,05377738888,
凯莱生态文化园（客房部）,,05373228666,
漢庭酒店,,05377314444,
温馨商务宾馆,,05377762678,15562360601
银都迎宾馆,,05377507777,
好汉宾馆,,05377305899,
宏图快捷宾馆,,13792303697,
凤凰大酒店,,05377368166,
金阳光洗浴快捷宾馆,,05377733338,
水中韵洗浴宾馆,,05377330099,18595207339
99优选酒店（梁山汽车站店）,,05377365666,
明珠商务酒店,,05377706006,
