姓,名,家庭手机,工作手机
幸运旅客之家,,073127570975,
安平旅馆,,073123222752,17707411605
爱家主题酒店（原天天酒店）,,073123250702,13974152506
黄金宾馆,,18670890776,
琼楼宾馆（金融路店）,,13387336742,
远宏旅馆,,073123247583,
鸿运宾馆,,073123240997,13317333803
萍逢招待所,,13207332110,
恒丰宾馆,,073123209688,
顺天宾馆,,073123056789,
玉都宾馆,,073123342888,
黄金海岸商务宾馆,,15570738857,
富源宾馆,,073122151555,
佳宾宾馆,,15974394578,
鑫康宾馆,,073123661788,
龙信商务宾馆,,073123118888,
时代假日酒店,,073123685555,
星辰宾馆,,18670845090,
天玺商务宾馆,,073123709888,
丽景主题酒店,,073122999000,
香寓主题酒店,,073123223131,
东台宾馆,,073123218088,
英煌宾馆,,073123551888,
嘉里宾馆,,073123203998,
迎宾宾馆,,073123233771,
鼎盛国宾商务酒店,,073122356788,22356588
红舟宾馆（老店）,,073123811788,
皇天大酒店,,073122921888,
天伦大酒店（国瓷南路店）,,073123228188,
五彩今天连锁酒店（醴陵醴泉路店）,,073122922333,
华湘大酒店,,073122350666,
优客99,,073122978999,18507997809
香格里拉酒店,,073123021999,
登峰宾馆,,073122356199,15116059105
华盛大酒店,,073123203333,23201333
金满地商务宾馆,,073122977888,
一佳公寓,,073122913088,15675358200
鑫都大酒店,,073123336666,23336668
万事达商旅酒店,,073122923888,
旭日阳光商务宾馆,,073123451778,
悦华宾馆,,073123811999,
金穗宾馆（瓷城大道店）,,073123161111,
今生缘宾馆,,073123265286,
友谊宾馆,,073123169988,
便利新莲宾馆,,073122351858,
城市便捷酒店（醴陵火车站店）,,073122926888,
新世纪宾馆,,073123235718,13874198033
森蓝客房部,,073123366677,
嘉特宾馆,,073123369202,17716787822
喜来登宾馆,,073123811998,13272146198
银座假日酒店,,073122921999,
新六福宾馆,,073122351788,15570759692
湘苑客楼宾馆,,073123216208,15273324652
锦园宾馆,,073123227722,13974163893
金霖都大酒店,,073122356777,
东豪宾馆,,073123208788,
醴陵市文化商务酒店,,073123218888,
金茂宾馆,,13203348687,
人大宾馆,,073122933666,
财富宾馆,,073123258788,
幸运旅客之家,,073127570975,
安平旅馆,,073123222752,17707411605
爱家主题酒店（原天天酒店）,,073123250702,13974152506
黄金宾馆,,18670890776,
琼楼宾馆（金融路店）,,13387336742,
远宏旅馆,,073123247583,
鸿运宾馆,,073123240997,13317333803
萍逢招待所,,13207332110,
恒丰宾馆,,073123209688,
顺天宾馆,,073123056789,
玉都宾馆,,073123342888,
黄金海岸商务宾馆,,15570738857,
富源宾馆,,073122151555,
佳宾宾馆,,15974394578,
鑫康宾馆,,073123661788,
龙信商务宾馆,,073123118888,
时代假日酒店,,073123685555,
星辰宾馆,,18670845090,
天玺商务宾馆,,073123709888,
丽景主题酒店,,073122999000,
鑫福宾馆,,073123229832,13874108727
华泰商务酒店,,073123558388,
百福宾馆（醴陵店）,,073127552619,
新兴宾馆,,073122922988,
君一宾馆,,073123249999,
红舟国平公寓,,18974137988,
启源山庄,,073123409999,23037777
志勇宾馆,,073122918699,
巴伦酒店,,073122120088,
外贸大酒店,,073123337777,
永龙大酒店,,073123208888,23208002
华泰酒店,,073123641111,
蓝海大酒店,,073123058888,
金阳大酒店,,073123287333,18975317988
友好宾馆,,073123187688,
湘园宾馆,,073123366634,
红舟宾馆（商务店）,,073123167888,
益康大酒店,,073123186788,
来龙宾馆,,18373388330,
柏林宾馆,,073123336677,13974186158
东风大酒店,,073123211111,23219999
新太阳国际大酒店,,073123328888,
鑫隆商务宾馆,,073123055888,
丰华假日宾馆,,073122354866,
鑫天宾馆,,073123368388,
福隆酒店,,073123338486,
新广兰旅馆,,073122351868,
碧园宾馆,,073123036788,
银河宾馆,,073113054123,13054123847
东站客栈,,18274224228,
南郊宾馆,,073123050468,
新朋友酒店,,073123459797,
朝阳宾馆,,073123051666,
新亚宾馆,,073123218188,
同源商务宾馆,,073122977566,
浦峰宾馆,,073123178998,
凯欣宾馆,,18973323359,
浦口宾馆,,073123130113,
金嘉怡宾馆,,073123203198,
汇丰酒店,,18627334808,
华兴宾馆,,073123030311,
湘慧宾馆,,18774191123,
相约宾馆,,13167428269,13077040907
嘉濠宾馆,,18670478375,
蓝星宾馆,,13272132827,
白云宾馆,,073123023128,
福华宾馆,,15096335488,
金海宾馆,,13117331870,
东乡旅馆,,15273375511,
大红门旅馆,,073123226052,
鑫星宾馆,,073123037733,
伊家商务宾馆,,073123111555,
非特宾馆,,073123165666,18373315556
今缘旅馆,,073123811168,
德惠住宿,,073123667819,18975390181
天翔宾馆,,073122918155,
心诚旅馆,,073122351256,
德安宾馆,,073122919607,
小村旅馆,,073122351338,
今天连锁（醴泉路店）,,400677-0066,
鑫意宾馆,,073123038088,
华宇宾馆,,073122922688,
祥艳宾馆,,073123266088,
东方红宾馆,,073122922488,
新兴旅馆,,18670417822,
帝豪商务宾馆,,073122351888,
兴魏宾馆,,073122351699,
兴宇客栈,,073123166570,
馨园宾馆,,073123816258,
吉祥旅馆,,073123237577,
译枫宾馆,,073156205588,
天添旅馆,,073123227174,
泉都宾馆,,073123382333,
