姓,名,家庭手机,工作手机
一家人宾馆（大锦线店）,,04168120966,13464458404
陆正庄园,,04168820666,
新家宾馆,,04168157779,
汇缘商务宾馆,,04168112555,
鑫鑫旅社,,04168156789,8154666
金座商务宾馆,,04168847777,
金宇假日酒店,,04168656666,
夏日商务宾馆,,04168873555,
杏花村商务酒店,,04168308888,
凌海·添福商务宾馆,,04168109999,7029888
富源金子公寓,,04166911111,
鑫玉旅店,,13050446660,
富源公寓,,15940652008,18641697155
隆泉湾旅社,,04167031155,
芳源旅店,,04163353628,
家园商务宾馆,,04168187670,
凌风阁足道宾馆,,04166961111,
家福旅店,,18640664197,
金嘉园酒店,,04167919288,
弘福商务宾馆,,04166905678,
昌泰商务宾馆,,04168356668,
宏泰商务宾馆,,04168271666,
晋鑫宾馆,,04168297333,
宏都商务酒店,,04163367888,
富源商务宾馆,,04168159999,
花园酒店,,04168182222,8188888
安达商务宾馆,,04163361333,
好再来宾馆,,04168125576,
凌海国际酒店,,04168137777,
九华山商务酒店,,04167033333,
凯隆旅店,,18841605211,
百川宾馆,,04163141777,
东进宾馆,,13841680009,
开元宾馆,,04168849999,
南站旅店,,13841677692,
东方华地城湿地温泉住宿,,04163368001,
进宝旅馆,,04166994999,
锦州凌海花园温泉酒店,,04163366666,
华夏山庄度假村,,04163562111,
双河宾馆,,04168192603,
锦州华夏山庄,,04163562111,
双河宾馆,,04168192603,
锦凌招待所,,04168188799,
迎宾楼旅社,,04168155888,
欣悦龙旅店,,04166900361,13304063166
宏香旅店,,04168133731,
金城原种场招待所,,04168260017,
西花园商务俱乐部,,04168190022,
吉星旅店,,04162144928,
丽源商务宾馆,,04168188818,
海峰酒店,,04168404488,
贵和旅店,,04166900856,
金海岸百姓家宴,,04163367666,
江鑫源旅店,,04168128382,
八千缘酒店,,04168693333,
运财酒店,,04168660102,
运红酒店,,04168160666,
