姓,名,家庭手机,工作手机
皇冠假日宾馆,,03107858111,
建安宾馆,,15102673697,15188873697
锦城宾馆,,03107888048,
昌隆商务宾馆,,03107888188,
锦桥宾馆,,03107777666,
金凯悦宾馆,,03105043888,7856888
柳园宾馆,,03107812888,
聚鑫宾馆,,03107703999,7836085
三环商务酒店,,03107900888,
客必居快捷宾馆,,15933881606,
向阳宾馆,,03107776789,
中原宾馆,,03107883333,
君悦宾馆,,03105049000,
尚客优快捷酒店（邯郸临漳建安路店）,,03107783888,15830087859
康乐宾馆,,03107775678,7865018
金康宾馆,,03107705888,7703777
捞福来大酒店,,03107818665,
祥云宾馆,,03107778852,
新林宾馆,,03105041666,
新城宾馆,,03107702999,
白云宾馆（公安小区西南）,,03107869532,
长城宾馆,,18731001617,
运财大酒店（西店）,,03107861528,
心诚旅馆,,15830055560,
建军饭店,,13230093268,
利都宾馆,,03107903888,
天润楼,,03107886155,
新邺宾馆,,03107869369,
海马大酒店,,13722391555,
春生大酒店,,03107862529,
奕泽园宾馆,,18330035518,
冀南宾馆,,03107819777,
临磁酒店,,03107968907,
聚福楼,,400833-6699,
