姓,名,家庭手机,工作手机
萍聚旅店,,15844540266,
乐客旅馆,,04357378855,
水岸时尚宾馆,,04357779977,13844557369
佳宁宾馆,,04357650999,13844557345
星月时尚宾馆,,04356995555,
伊统河畔商务宾馆,,04357605999,
姜氏新濠商务宾馆,,04356942999,
玉林商务宾馆,,04355021186,
嘉濠宾馆,,04357377777,04355023777
丽都宾馆,,04357229900,
北方大酒店,,04357531111,
吉缘宾馆,,04357222285,
88时尚假日酒店,,04357272677,
嘉星宾馆,,04357277555,
彬源宾馆,,04357227998,
金典时尚宾馆,,04357370123,
万家商务宾馆,,04357677777,
新王府之星宾馆,,04357335888,
银河温泉大酒店,,04357614555,7375555
柳河县七天商务宾馆,,04357664999,
萍聚旅店,,15844540266,
乐客旅馆,,04357378855,
水岸时尚宾馆,,04357779977,13844557369
佳宁宾馆,,04357650999,13844557345
星月时尚宾馆,,04356995555,
伊统河畔商务宾馆,,04357605999,
姜氏新濠商务宾馆,,04356942999,
玉林商务宾馆,,04355021186,
嘉濠宾馆,,04357377777,04355023777
丽都宾馆,,04357229900,
北方大酒店,,04357531111,
吉缘宾馆,,04357222285,
88时尚假日酒店,,04357272677,
嘉星宾馆,,04357277555,
彬源宾馆,,04357227998,
金典时尚宾馆,,04357370123,
万家商务宾馆,,04357677777,
新王府之星宾馆,,04357335888,
银河温泉大酒店,,04357614555,7375555
柳河县七天商务宾馆,,04357664999,
