姓,名,家庭手机,工作手机
优佳宾馆,,03703143226,
电影主题宾馆,,13271070611,13271072611
民权尚宅快捷宾馆,,03705062789,
星光假日酒店,,03708700088,8700099
舒雅宾馆,,03708525503,
东兴帝豪宾馆,,03708520272,
黑马快捷宾馆,,03708675777,
速八快捷宾馆,,03708857899,18537046509
舒馨快捷宾馆,,03708603888,
亿轩国际酒店,,03708519999,
天天假日宾馆,,03708532555,
金阳光宾馆,,13343603555,18039945160
尊皇假日会所,,03708859666,
主题宾馆,,13343603555,13837073268
故道人家商务酒店,,03708597777,
金银信快捷宾馆,,03708586628,13243254665
新白云商务酒店,,03708770999,
民权迎宾馆,,03708583301,
0370城市酒店,,03708850370,
都市118连锁酒店（民权店）,,03708578118,8577118
优佳宾馆,,03703143226,
电影主题宾馆,,13271070611,13271072611
民权尚宅快捷宾馆,,03705062789,
星光假日酒店,,03708700088,8700099
舒雅宾馆,,03708525503,
东兴帝豪宾馆,,03708520272,
黑马快捷宾馆,,03708675777,
速八快捷宾馆,,03708857899,18537046509
舒馨快捷宾馆,,03708603888,
亿轩国际酒店,,03708519999,
天天假日宾馆,,03708532555,
金阳光宾馆,,13343603555,18039945160
尊皇假日会所,,03708859666,
主题宾馆,,13343603555,13837073268
故道人家商务酒店,,03708597777,
金银信快捷宾馆,,03708586628,13243254665
新白云商务酒店,,03708770999,
民权迎宾馆,,03708583301,
0370城市酒店,,03708850370,
都市118连锁酒店（民权店）,,03708578118,8577118
