姓,名,家庭手机,工作手机
亲水客栈,,02159240798,
前途无忧公寓,,02161524406,18717707715
温馨小站,,15821020387,
海派求职公寓（金山店）,,02137916018,13601916061
和喜快捷宾馆（城市沙滩店）,,02157951139,
豪鹰宾馆,,02157299666,
新馨白领公寓（川沙路店）,,02158588168,15800674590
大宅院,,02159235620,
锦宏客房部,,02157943188,
99连锁旅馆（金龙新街店）,,02167312895,
9号蜗居公寓,,15921611518,
锦诚连锁旅店（南桥路店）,,02157424181,
上海新乐活生态酒店,,02137027777,37021666
上海浦东机场莎海国际酒店,,02138136666,20985777
燕来客栈,,15800600347,
嘉翔旅店,,02159927259,18217686828
艾丽时尚宾馆,,02155580950,
廊苑商务宾馆,,02157325366,
上海博地精品酒店,,02161633333,
大千生态庄园（客房部）,,02159238800,59238822
宝宝有点累国际青年旅舍,,17802101913,15168800172
东平森林公园缘辉农家乐,,02159338083,13774337781
雨翔时尚宾馆,,02138181226,13311751832
99旅馆连锁（上海沪太路长途汽车站店）,,02161072199-0,61072182
小晓旅馆,,02157191337,
好迪士旅馆,,13671559727,
慧峰宾馆,,02157183038,
马勒别墅饭店,,02162478881,
高老庄吉祥坊,,02156805766,
美臻园度假村,,02152960081,
牧心小院,,02139279816,13917706087
锦江之星（上海闵行工业园区文井路店）,,02163888818,
远香湖畔LOFT居家公寓,,18635566223,
上海海上皇宫假日酒店,,18930236566,
恋家公寓（二店）,,13884737760,
家元素迪士尼温馨主题公寓,,18001811659,
素居酒店式公寓（浦东新国际博览金桥店）,,02131666766,18516090957
上海四季百果园境庐度假酒店,,02159238136,
墅派樟苑,,18918095288,
康明庄园（别墅住宿区）,,02168917766,
人济酒店,,02151191888,
安逸花园别墅,,15370658762,
上海中信泰富朱家角锦江酒店,,02139277888,
财富大酒店,,02165110000,
上海海景海港大酒店,,02157530000,
上海东郊宾馆,,02138919888,58958888632
小马家日租别墅,,17701655552,17701655551
临海别墅轰趴三馆,,17701655551,
纪鹤宾馆,,02152966822,
豪派宾馆,,02133615666,
艾吧主题宾馆（松江新城地铁站人民医院店）,,02157722619,
宁泰158连锁宾馆（周浦小上海步行街店）,,02131267818,17717916030
爱爵酒店（上海火车站店）,,02156308777,
暖家别墅,,17317159590,
雄峰旅馆,,13671539727,
蘑菇精品酒店,,02156456978,
金叶时尚宾馆（上南路三林路地铁站店）,,02168309858,
99优选酒店（上海川沙新源路步行街店）,,02168956899,13918268595
香片儿宾馆,,02157120299,18512189942
艾享时尚酒店（上海体育场店）,,02164360277,
路人甲时尚主题酒店（上海松江大学城欢乐谷店）,,02167601818,67618227
精装公寓（虹桥火车站店）,,18016093898,
爱伊精品宾馆,,02158100867,
上海盈晟创想酒店,,02166519755,
格林联盟（梅家浜路店）,,02137027799,
艾享精品酒店（大柏树店）,,02165043831,65200709
7天优品酒店（上海迪士尼惠南野生动物园店）,,02168037777-0,17717929077
易佰连锁旅店（上海松江新城地铁站店）,,02137012100,
上海拉卡菲酒店,,02158558558,
艾森精品酒店（上海武宁路地铁站长寿路店）,,02152392356,
易佰连锁旅店（上海奉贤海湾大学城店）,,02162969100,18616862970
艾久主题宾馆,,02180105266,
0578风情酒店（临汾路店）,,02133870578,
艾享酒店（顾村公园店）,,02136558858,
易佰连锁旅店（上海南外滩店）,,02153087589,
布丁酒店（上海陆家嘴蓝村路地铁站店）,,02158702550,51693911
锐翔精品酒店,,02156888578,
羽翔宾馆,,02158135678,
易佰连锁旅店（上海虹桥火车站国家会展中心店）,,02134622700,
格林豪泰贝壳酒店（上海虹桥枢纽会展中心华翔路店）,,02164610182,13566323186
思宇时尚宾馆,,02163128305,
99旅馆连锁（上海柳营路店）,,02156300238,
布丁酒店（上海同济医院大宁灵石公园店）,,02156050207,
怡馨主题酒店,,02133688895,
诺丽主题酒店,,02137551118,17717601018
和佳精品宾馆,,02152272237,52272236
艾森概念酒店（江苏路店）,,02162277886,
紫秀之家家庭公寓,,15821602740,
富锦白领公寓,,13764707832,15021470668
易途时尚酒店（东宝兴路地铁站店）,,02165878813,
易佰连锁酒店（上海朱泾汽车站东林寺万安街店）,,02167228197,
港庆商务宾馆,,02168883958,
逅海主题酒店（上海火车站长寿路店）,,02162779288,
嘉郡商务酒店,,02159163118,69522299
蓝调精品酒店,,02157822929,
双兰宾馆,,02157801789,
捷家宾馆（世博园店）,,02158457770,
如辰精品酒店（上海安亭国际汽车城店）,,02159513827,
豪恋精品酒店（上海大学店）,,02169951375,
信亚宾馆,,02156303026,17317507703
芮春时尚宾馆（北新泾地铁站店）,,02162227133,
顺驿精品酒店,,02168362152,
郎尚时尚宾馆（虹桥枢纽店）,,02162218998,13636686661
金前宾馆（龙华医院店）,,02154030815,
丽恩主题宾馆（火车站北广场宜川路店）,,02156359931,
欧驿精品酒店,,02158125257,
尼航主题酒店（长寿路地铁站亚新广场店）,,02158858656,
玉源聚精品旅店,,02136553616,
星岛假日酒店（游轮港店）,,02156561188,56571176
0578时尚主题酒店（曹杨店）,,02162860578,
尚客优连锁酒店（叶榭店）,,02157801789,
0578心宿酒店,,02158870578,
思迪家服务式公寓,,02162992367,
朗逸旅馆（上海南站店）,,02154043119,15026900406
依依旅馆,,02154043119,15026900406
梦梦客房,,02166786759,
梦里水乡精品酒店（李子园地铁站店）,,02166362255,
易佰连锁旅店（上海九亭国展中心店）,,02157787739,
景莱主题酒店（上海陆家嘴八佰伴店）,,02168593788,13022111726
舒乐精品客栈,,02157120288,13564282393
易佰连锁旅店（上海世博园店）,,02150903578,
金苑时尚酒店,,02166872822,
康元宾馆（蕴川路店）,,02156809976,
鑫星精品酒店,,02158800758,
速8酒店（上海松江大学城新松江路店）,,02137793939,
康元宾馆（宝杨路店）,,02166787917,
申丽宾馆,,02163087296,
灵达时尚宾馆（世博店）,,02150901018,
驿亭四季酒店（北外滩店）,,02161732626,
新爵皇家酒店（世博三林店）,,02168528880,
美拉思时尚精品酒店（五角场财经大学店）,,02155800938,
海上凤凰主题酒店（城西路店）,,02150818881,
子威时尚宾馆,,02156682339,
智轩主题酒店（五角场店）,,02155888019,
馨雅宾馆,,02157480111,
艾忆时尚宾馆（城隍庙外滩店）,,02163013130,18964853735
青山湾时尚宾馆,,02154333768,
精装99酒店式公寓（虹桥国家会展中心店）,,02139879881,13501626042
新桥宾馆,,02137623170,
舒菊精品酒店,,02152785680,
锦江之星（上海场中路店）,,02136562200,
上海诗悦精品酒店,,02133886057,
悦恋主题酒店（国家会展中心店）,,02139880866,
君逑酒店,,02157260115,
唯舍时尚宾馆（上师大店）,,02164360288,
陈桥里居客栈（上海迪士尼店）,,17317574629,
迪士尼主题客栈,,15921853527,
怡家家宾馆,,02157121719,
朋友客栈（迪士尼店）,,15921853527,
逸民居客栈（上海迪士尼店）,,17317574629,
虹祥精品酒店,,02167731520,
盛嘉宾馆,,02136302026,
海上凤凰主题酒店（上海闵行都市路店）,,02134201786,
江文精品酒店,,02161738170,13052475948
佳森时尚宾馆（会展中心店）,,02159208686,
壹家酒店连锁（惠南地铁站乐购店）,,02168001666,
同园书香公寓,,13512187235,
墨玉主题酒店,,02159566098,
密爱主题酒店,,02137653989,
华成酒店（上海浦东机场店）,,02133934235,
艾享时尚连锁酒店（天山店）,,02132586877,
驿峰宾馆,,02156603115,
知心宾馆（大华三路地铁站店）,,02166378099,
浦江之星（安亭店）,,02159187310,
恒天风尚酒店,,02155785575,
通云旅馆,,02161494409,
程美快捷酒店,,02137686699,
0578时尚旅店（上大店）,,02136515356,
蓝波万酒店（长江南路店）,,02166186000,
温泰168商务快捷酒店（上海虹桥国家会展中心店）,,02169002058,13817111418
澜悦精品酒店（孟龙四平路店）,,02156089118,56088488
捷缘时尚酒店,,02163016060,
为波宾馆（凯地店）,,02134685761,
侬舍精品客栈（迪士尼店）,,13122156312,13301901382
易滋宾馆（光新路店）,,15021239363,
易滋宾馆（交通路店）,,13795464859,
揽星阁客栈（周浦迪士尼店）,,13122156312,13301901382
华景旅馆,,15618125632,17765105632
青年求职公寓（汽车站分店）,,17621205451,
翠泉别墅山庄,,15921853527,
易滋宾馆（长寿路店）,,18217778366,
青年求职旅社（中山北路店）,,18516660919,
绿地新江桥城日租公寓,,13472823337,
鹏盛旅馆（南站店）,,13120868383,13918247304
久久旅馆（淞滨路地铁站店）,,02136503299,
维也纳国际酒店（上海国际旅游度假区高科东路店）,,02161109999,
维也纳酒店（上海浦东机场华夏路地铁站店）,,02120258388,
艾九精品酒店（成山路店）,,02158568788,
0578 花园酒店,,02156650578,
今夜时尚宾馆（上海西藏南路店）,,02163309958,
艾森主题酒店（七宝店）,,02162213858,
泽选精品酒店,,02152908718,
浙来时尚宾馆（龙居路店）,,02150382989,
永胜旅馆,,02151052988,
君悦旅馆,,02167251851,18916111719
如家派柏·云酒店（上海虎林路店）,,02156760558,18721011769
豪爱精品酒店（西渡店）,,02157185088,
豪爱精品酒店,,02167171788,
万信慧选酒店（上海崇明堡镇店）,,02159421666,
骏怡连锁酒店（上海美兰湖地铁站店）,,02156872630,13611977623
海友酒店（上海崮山路店）,,02158616666,
碧钰时尚宾馆,,02159575989,
捷星商务旅馆,,02158416803,
锦伟精品酒店（鞍山新村地铁站店）,,02165034480,
艾八时尚酒店,,02169113681,
吉泰连锁酒店（世纪大道店）,,02158358136,
龙池时尚旅店,,02156796117,
天缘宾馆,,13137399957,
翠楠宾馆,,02156996060,51871666
青瓷主题酒店,,02133762319,
上海怡卿宾馆,,02150921195,
安洁时尚宾馆,,02168700083,
美村国际度假连锁酒店（上海秀沿路地铁站店）,,02158180722,
速8酒店（上海彭浦新村地铁站店）,,02156888216,
亿丰商务宾馆,,02137573996,
云泉主题酒店,,02150429199,
松顺宾馆,,02164821558,
上海缘森主题酒店,,02152751569,
富春居精品连锁酒店（顾村公园店）,,02156117677,
锦江之星（上海市北工业园店）,,02156778366,
易佰良品酒店（上海迪斯尼浦三路地铁站店）,,02150762590,
万信慧选酒店（上海蓝村路地铁站店）（原光辉岁月大酒店）,,02158751059,
99皇冠时尚宾馆,,02164703199,
百时快捷酒店（上海国际旅游度假区川沙店）,,02158987909,
福龙宾馆,,02157642520,
易佰连锁旅店（上海闵行交通大学江川路店）,,02154701558,
宏霞宾馆,,02151008556,13061886228
滨州商务宾馆,,02160975272,
开运宾馆,,13641954113,
布丁酒店（上海南站上师大店）,,02164755659,
99旅馆连锁（上海浦东金桥路地铁站店）,,02168860499,
101旅店（丰庄地铁站轻纺市场店）,,02139597871,
新纪元旅馆,,02157728451,
华府99生活旅馆,,02167670860,
99旅馆连锁（上海延长路店）,,02156618883,
艾尚精选酒店,,02154809989,
维也纳酒店（上海野生动物园地铁站店）,,02158188819,17317967535
迪八主题酒店,,02131035588,
蓝调精品酒店（丰庄店）,,02169895790,
华顿精品酒店,,02156379961,
艾森主题酒店（凯旋路店）,,02152589288,52587388
IU酒店（上海松江车墩影视基地店）,,02157700053,57700035
栖霞旅馆,,02158889968,
0578风情酒店（梅陇路店）,,02136610578,
易佰良品酒店（上海嘉定南翔解放街店）,,02169917322,
