姓,名,家庭手机,工作手机
圣泉宾馆,,03767444166,15517610666
快客商务宾馆,,03767869006,
地球村精品酒店（商城店）,,03767866222,
運逹宾馆,,18639705239,
商西宾馆,,03767885188,
昆仑大酒店,,03767456555,13903975891
鸿运宾馆,,13949171196,
豫南主题宾馆,,18603977686,18738625298
近水楼宾馆,,03767860995,
福喜宾馆,,03768135736,
愉家时尚酒店,,03763263888,
明悦宾馆,,03767973799,13526013378
7天连锁酒店（商城汽车北站店）,,03767953777,
龙源宾馆,,03767444011,
港湾印象连锁酒店（商城店）,,03767975333,18637601618
江南快捷酒店,,03767388999,
黄柏山宾馆,,03767864888,
佳惠大酒店,,03767972999,
中孚快捷酒店,,03767892888,
在水一方酒店,,03767444397,18737100910
水云轩宾馆,,03767444128,
山盟海酒店,,03767444629,
贵祥大酒店,,03767977777,
格林豪泰快捷酒店（商城黄柏山路时代商贸城店）,,03763013888,
尚客优连锁酒店（花园路店）,,03767367666,
金穗大酒店,,03767970000,7972222
天一泉聚酒店,,03767444418,13569742186
恒泰大酒店,,03763017999,
西河酒家,,13526013858,
财神酒店,,03767366888,
祥友客栈,,18837619286,18790128375
时光青年公寓,,18238268863,
聚龙湾山庄,,03767301777,
敬秀宾馆,,13839703691,15037676177
鼎鑫宾馆,,03767444061,
铁佛寺花园酒店,,03767951999,
点食成金大酒店,,03767975656,
金福来宾馆,,03767959866,15517617388
惠泉宾馆,,03767444368,13839732652
和贵缘宾馆,,03767971368,
万豪大酒店,,03767886777,
商城服务区宾馆,,03763859397,13419956051
网吧宾馆,,13783971199,
梦之旅宾馆,,18738636222,
万顺宾馆,,15518588570,15938201283
茶缘农庄,,13526014599,
崇福国际大酒店,,03763018899,
白云宾馆,,03767444568,15649181988
汤泉池园丁宾馆,,03767444318,
文峰宾馆,,15837615522,
兴河园宾馆,,03767959888,
转盘宾馆,,03767932035,
茗阳汤泉国际旅游度假会议中心,,03767888333,7888222
新城宾馆,,13949167502,13949171369
金刚台迎宾馆,,03763018189,18238283178
美晨宾馆,,03767890999,
南司宾馆,,03767330277,
惠民宾馆,,03767348168,
骏峰宾馆,,15203978883,
金帝宾馆,,03767971689,
大地红宾馆,,03767651099,
华兴国际酒店,,03767616888,
名人商务宾馆,,03767896888,
鑫晟商务宾馆,,03767444669,
惠民商务宾馆,,03767868818,
永兴宾馆,,03767920955,
防汛路旅馆,,18903763150,17703762346
汤泉池假日酒店,,03767444120,
金杭宾馆,,03767891555,
一嘉时尚商务宾馆,,03767953899,
农机宾馆,,03767861502,7863000
汤泉池全强宾馆,,03767444606,
锦绣商城迎宾馆,,03767885888,
君怡城市客栈,,03763018555,
东风阁酒店,,15037673222,
东方宾馆,,03767312111,
日月潭宾馆,,03767444369,
双喜酒店,,03767458899,
温都宾馆,,03767444108,18737637731
红星酒楼,,03767863708,
君悦宾馆,,03767868568,
黄柏山旅游宾馆,,03767419102,
五洲宾馆,,03767869111,
望湖宾馆,,03767444478,
缘聚宾馆,,18737680280,
裕华宾馆南门,,03767920199,
商城宾馆,,03767955888,
鸿昌旅馆,,03767861560,
园丁宾馆,,03767444318,
阳光酒店,,03767881398,
鑫鑫宾馆,,13939743276,
吉祥旅社（余集镇中心卫生院西）,,03767455757,
中源假日宾馆,,03767444333,
金水宾馆,,03767444329,
凯悦宾馆,,03767444122,
前程宾馆,,13782922788,
升荣旅馆,,03767927756,13837623157
和平宾馆,,13783971286,
圣亚达宾馆,,03767444566,
锦绣家园宾馆,,03767860666,
假日港湾,,03767888887,
九九红宾馆,,03767444448,
金霞宾馆,,03767958299,
楼外楼大酒店,,03767930068,13607615799
穗丰宾馆,,18338601358,
泰丰酒店,,03767348058,
日月宾馆,,13137388357,
明豪宾馆,,03767971199,
天泉宾馆,,03767444031,
日月大酒店,,03767929229,
合缘宾馆,,03763266866,
金达宾馆,,03763261188,
友谊宾馆（崇福大道）,,03767866669,
紫荆花温泉宾馆,,03767444888,
玉清园宾馆,,03767444322,
富源宾馆,,03767926498,
