姓,名,家庭手机,工作手机
向阳快捷宾馆,,05985083188,
雅都商务宾馆（永安店）,,05983806677,
金花源宾馆,,05983620666,
新聚源宾馆,,05985068989,
新荣宾馆,,05985093366,
桃源宾馆（市场店）,,05983618895,
大丰山宾馆,,05985117177,
心静宾馆,,05983611768,
朝阳宾馆,,05986331648,15159186953
康乐旅馆,,15659617113,
99连锁商务酒店（大田店）,,05987318899,
88快捷宾馆,,05987398989,
金都宾馆,,05986337988,
水晶商务酒店,,05987208899,13328907171
君达宾馆,,05985122777,
雅都商务宾馆,,05987869116,
江湾农庄,,18005053380,
三华宾馆,,05987862042,18760265337
金龙宾馆（金峰巷店）,,05987898346,13328916413
大金湖丹霞缘度假居,,13375901386,
华南宾馆,,05982262325,
凤凰宾馆,,05987260688,
鑫鹭宾馆,,13690923796,
中仙商务宾馆,,05986423338,13599358895
港湾商务宾馆,,05987319666,
泰宁大金湖农家院（原水乡渔村农家饭庄）,,15859888287,
华明宾馆,,05986302009,
喜盈门宾馆,,05983621555,3664668
凤凰快捷酒店,,05985111666,
凤凰快捷连锁酒店（零点店）,,05985135888,
农家乐宾馆,,05987837153,
新北洲宾馆,,05987861068,
祥云宾馆,,05986311345,
红山宾馆,,05983721333,
金桥商务宾馆,,05983630966,
大金湖坊上农家客栈,,15159171583,
桥虹旅馆,,15716005006,
荣祥宾馆,,05986687998,
汉庭宾馆（永安店）,,05983778888,3848880
聚源宾馆,,05985058058,
大金湖同福客栈,,05987811878,13960581768
南谷金饶山宾馆,,05987837094,
驿缘森林人家,,13799178149,
福兴宾馆,,05986313439,
如意商务宾馆,,05985068188,18906985561
吉祥宾馆,,05988953488,8873388
南谷蝴蝶谷宾馆,,05987839977,
盛亚宾馆,,05982260156,
环湖宾馆,,13860563909,
梦家啦宾馆,,05986313375,
泉上旅社,,05986839466,
爱心宾馆,,18065873777,
万豪宾馆,,05982353668,
同享酒店,,18905981171,18859815990
金泰·鑫盛宾馆,,05985190150,13459808723
财富宾馆,,05985091968,15080555698
理想宾馆,,05986608898,
圣庭快捷宾馆,,05986828288,
南大门商务酒店,,05988731678,
大金湖下坊农家度假山庄,,05987791717,13950994525
建设宾馆,,05988395111,
供销宾馆,,05985322835,
家馨宾馆（三官堂路店）,,05985061555,
红太阳宾馆,,05982356898,18502129397
星期天商务宾馆,,05986687888,6687666
水畔居小宾馆,,05986831917,
虹苑宾馆,,05985850899,
怡园宾馆,,05985026888,
顺风宾馆,,05988770233,15759050537
红灯笼宾馆,,05986325662,15396185168
宏盛宾馆,,05985859679,13507583281
清流县龙津如家小宾馆,,05985326656,13605977392
鑫海商务宾馆,,05986682699,
供销宾馆,,05986300968,
大洋宾馆,,05986313339,13850896975
水岸华庭宾馆,,05988880666,
三明万嘉宾馆,,05988560789,
诚信宾馆,,05986820778,
可馨住宿,,13375071358,
湘闽商务宾馆,,05986395333,
泰宁佰葳快捷宾馆,,05987868258,
紫阳快捷公寓,,05986326776,
99连锁酒店（永安蓝燕店）,,05983888899,
旺顺宾馆,,05982965152,13605967162
丰悦宾馆,,05986302698,
闽都宾馆,,05986433168,18960597636
假日酒店（碧林南路店）,,05985900800,
城市杰座商务宾馆,,05988301111,
永春商务宾馆,,05988060123,
丰源宾馆,,05982321299,
四季阳光商务宾馆,,05988775333,
安安宾馆,,05982329118,
山泉商务宾馆,,05982356888,
四海宾馆,,05982359768,
金鼎宾馆,,05985335006,
新桃源宾馆,,05983664999,
燕江宾馆,,05983615919,
红都商务宾馆,,14759852207,13860567275
青山南苑宾馆,,05983978666,
驿家宾馆,,05987277555,
全嘉福宾馆,,05983980751,
宝龙宾馆,,05986852999,
鑫岩宾馆,,05987323111,
君悦商务宾馆,,05985856988,
蓝月亮宾馆,,05988807666,
三明荣誉酒店,,05987995508,
沙县快捷宾馆,,05988863111,13605973556
宝树宾馆,,05982226889,
汉庭宾馆,,05983965888,
金湖宾馆,,05988899888,
金源宾馆（双园新村店）,,05987992666,7992566
99连锁酒店（梅列店）,,05988622999,
江湾宾馆,,05987995009,
津茂宾馆,,05988512345,
三元宾馆,,05988526100,
明珠宾馆,,13276059219,
公路港民宿,,13616956564,
龚家院子,,18558920985,18950984776
驿路公寓,,05985089568,
君悦商务宾馆,,05986313336,
东闽宾馆,,05985855585,
丹霞红商务宾馆（泰宁店）,,05987865988,
麒麟山花园酒店,,05985173000,5173333
新金帝宾馆,,05982353698,
禹祥商务酒店,,05985555566,5555577
友圆仁宾馆,,05982883088,
友谊商务宾馆（环城路店）,,05986333316,
军转宾馆,,05988511860,
山水精品酒店,,05987995688,7995333
鸿星商务宾馆,,05987996388,
尊和客栈,,05988050611,
宝龙酒店（双山花园店）,,05985698698,5698666
新绿都大酒店,,05988521399,
假日宾馆（2店）,,05985854869,
假日宾馆（1店）,,05985828889,13960557568
四季阳光主题客栈,,05988709111,8706111
日月星商务酒店,,05988957666,
金麒麟公寓酒店,,05988700900,
闽东宾馆（原闽中宾馆）,,05988511777,
步云阁宾馆,,05982356288,
祥安宾馆,,05982966312,13860589582
鑫盛快捷酒店,,05988713988,
商业宾馆,,05988753655,8753699
君悦大酒店,,05988959666,
新公安宾馆,,05988243739,8283353
九洲商务宾馆,,05985900888,
燕秀商务宾馆,,05983873666,
豪庭商务宾馆,,05988091588,8609666
御品商务宾馆,,05985091818,13960565348
富园宾馆,,05985868048,
城市之星大酒店,,05988856116,8866188
飞龙大酒店,,05982818898,
厦桥商务酒店,,05987313999,
桃姐公寓,,05983631955,3658177
华天商务酒店,,05986330068,
五一国际大酒店（列东街店）,,05988229888,
汉庭商务酒店（凤凰路店）,,05985719999,
长实商务宾馆,,05985061333,5061999
天河商务宾馆,,05988880777,
如佳商务宾馆,,05985055999,
鑫缘宾馆,,05988759099,
邮政宾馆,,05987866299,
阳光大酒店,,05988050777,
明都大酒店,,05986309338,
山城山庄,,05985335666,5335688
明都宾馆,,05982812222,
源味大酒店,,05985786666,
吉丽商务酒店,,05985181666,
安鑫宾馆,,05982359569,
列西饭店,,05988967888,8967668
忆江南快捷酒店,,05988775111,
喜迎门大酒店,,05983734567,
国美大酒店,,05985698999,
和佳宾馆,,05988236000,8511899
千禧假日精品酒店,,05988088888,
云深国际花园酒店,,05983213333,
翰博大酒店,,05988987666,8388999
水石酒店,,13906085320,
港湾大酒店,,05983239999,
天鹅国际大酒店,,05986689999,
锦乐大酒店,,05982228888,
国安假日酒店,,05985888888,
金阳明星度假山庄,,05987791888,
汉唐大酒店,,05985556666,
荷花大酒店,,05983918888,
金悦商务宾馆,,05985178777,
三明客家宾馆,,05985180888,
白鹭休闲山庄,,05988368848,15396172021
绿圆大酒店,,05985816828,
君华大酒店,,05988056666,
旺安居酒店,,05986687888,6621555
兰逸精品酒店（汽车站店）,,05983696333,
友联商务酒店,,05983899333,
友圆宾馆,,05985070988,
济元堂宾馆,,05987831000,
万悦酒店公寓（原五洲商务酒店公寓）,,05983558221,3885999
金山宾馆,,05988807199,
侠客港农家乐,,13860577311,
客商汇精品酒店,,05986757777,13328592000
速8酒店（将乐水南店）,,05982229888,
体育商务宾馆,,05986657888,
海西宾馆,,18859888878,
鸿宾旅社,,05983980989,
农家宾馆,,13055555458,
西方财富精品酒店,,05988824888,8824999
三明泰宁白鹭居森林人家,,05987811801,
飞龙宾馆,,05983955111,
三明宾馆·天元国际,,05988963889,8563333
世茂陽光酒店,,05985369899,13507550480
博客宾馆,,05986313605,
霞鹤生态酒店,,05983865678,
永宁宾馆,,13285968619,
丽都大酒店（原兰馨大酒店）,,05985928888,
沈熹榕盛宾馆,,05986333669,6333668
丹霞名府公寓,,13960599886,
泊捷酒店,,05988965888,
金乾酒店,,05988799366,8799399
大金湖坊上农家客栈,,18759745185,13459849644
维多利商务酒店,,05985115888,
马岩山庄,,05985505666,
吉祥宾馆,,05987835940,
爱佳宾馆,,05985335188,18259778111
知音宾馆,,05987832448,
翠园宾馆,,05985322988,5324550
隆兴宾馆,,05988775226,
大金湖码头湖景花园1号,,13110581262,
泰宁金湖码头下坊26栋,,15259883886,
盛泰宾馆,,05987837581,13605965501
如意宾馆,,05985092988,
友谊宾馆,,05987862697,
城东大饭店,,05988303666,
金鹰宾馆,,05987835167,18950970357
康城大酒店,,05985752888,
儒家宾馆,,05988399568,
橡树湾商务酒店（尤溪店）,,05988767699,15806062128
喜来登家庭小宾馆,,05987830635,
明珠宾馆,,05982810899,
金亿大酒店,,05987835111,
大金湖码头下坊山庄32栋,,13110581262,
下坊度假山庄20栋,,13110849280,
坊上农家,,13328901551,15860879664
悦来商务公寓,,05983841999,
凤凰99客栈,,05985115999,
鑫钻宾馆,,05988266888,18960556311
天下喜来客宾馆,,15980738229,15392309713
聚元快捷宾馆,,05988916699,13507564099
中裕大酒店,,05988060999,
侠天下农家乐,,18960585398,
名扬大厦（客房部）,,05988511700,
君来民宿,,13859141396,
岁月如歌客栈,,18960585398,
金饶山好再来旅店,,13055569077,
金洋宾馆,,18250426972,
香米拉商务酒店,,05985106666,
皇廷丽景酒店,,05988567777,
竹晟生态酒店,,05983686555,
大福城商务酒店,,05983266888,
三明嘉华酒店,,05988513666,13024993390
迎宾大酒店,,05986766666,
聚祥瑞大酒店,,05983963999,3965999
五一商务宾馆,,05983989089,
君峰公寓,,05985010888,
龙京商务宾馆,,05985361800,18020851667
富华源大酒店,,05987265668,
御见客栈,,05986229000,
云林缘香居,,18960585398,
棋运客栈,,13788896701,
鑫源宾馆（金湖东路店）,,05987831187,13328901087
华昌宾馆（小陶镇）,,05983703387,
鹤满楼民宿,,13960550128,
和顺宾馆,,18065828505,13799159067
三明金叶复有限公司招待所,,05985100888,
麦稞宾馆,,05986682333,
普盛驿站,,05987867888,
景泰商务宾馆,,05986688552,18065812686
欣欣宾馆,,05987842353,
大金湖农家客栈,,13850833267,
龙湖宾馆,,05988050779,8050877
世纪宾馆,,05985053999,
汉歌精品酒店,,05982331888,
天芳悦潭温泉度假村,,05985299199,
景江燕城宾馆,,05983566555,
好实惠快捷宾馆,,05987834008,
蒙恩客栈,,15080570438,18850749181
山水大酒店,,05982262111,
汉宁快捷宾馆,,05987822288,15859889549
水岸酒店,,15859822231,
泊捷时尚酒店（华都店）,,05988583888,
客家国际大酒店,,05985093333,5099999
家和驿站,,15860891211,
闽中大酒店,,05986219999,
宁宁宾馆,,05987835033,15959849334
峨嵋峰宾馆,,13799178417,
百施特酒店,,05987861566,
三明天元列东饭店,,05988512668,
舒心宾馆,,05983962208,13799186165
新平宾馆,,05985333499,
山水之家住宿,,13178297319,
宝丽金大酒店,,05988918888,
泰宁华大酒店,,05987817888,
君来客栈,,18060160287,
老兵驿站快捷酒店,,13641833156,
蓝天宾馆,,05986825889,5090398
寨下农家乐饭店,,15159170797,
沈兴公寓,,13960550507,
公路港商务酒店,,05983612222,
金源酒店,,05987865111,
香米拉客家商务酒店,,05986682999,
星福宾馆,,05987830016,
梅园国际大酒店,,05988961188,8961177
三福丽思酒店,,05986311999,
梨园宾馆,,05983960767,
久逸宾馆,,05986393599,
回忆民宿,,05985190166,18502140686
汉唐酒店,,05987810999,
金诚山庄六栋,,13950955680,
蓝天宾馆,,05988806288,8806299
友缘宾馆,,05988877688,
农家旅馆,,15159119061,
中央公寓,,13666998336,
安顺快捷公寓,,05986337518,
城东宾馆,,05988758088,
城南宾馆,,05983981067,
如一家商务酒店,,05987299299,13328907171
金悦住宿,,15859888480,
九龙宾馆,,05987818881,
鑫南门宾馆,,05983818989,
悦华宾馆,,05985190888,7839777
通发商务宾馆,,05987333188,7333199
